ID;Rodzic;Poziom;Typ;Nazwa;Część;Część w budźecie księgowym;Budżet Państwa
0004-0004-0004-0001;0004-0004-0004;d;Dysponent;Komisja Nadzoru Finansowego;70;;125496
0005;;a;FUNKCJA 5;OCHRONA PRAW I INTERESÓW SKARBU PAŃSTWA;;;195328
0005-0001;0005;b;Zadanie 5.1;Gospodarowanie mieniem Skarbu Państwa;;;113953
0005-0001-0001;0005-0001;c;Podzadanie 5.1.1;Przekształcenia własnościowe (prywatyzacja);;;8003
0005-0001-0001-0001;0005-0001-0001;d;Dysponent;Ministerstwo Obrony Narodowej;29;;0
0005-0001-0001-0002;0005-0001-0001;d;Dysponent;Ministerstwo Skarbu Państwa;36;;7697
0005-0001-0001-0003;0005-0001-0001;d;Dysponent;Wojewodowie;85;;306
0005-0001-0002;0005-0001;c;Podzadanie 5.1.2;Nadzór właścicielski;;;20943
0005-0001-0002-0001;0005-0001-0002;d;Dysponent;Ministerstwo Skarbu Państwa;36;;20792
0005-0001-0002-0002;0005-0001-0002;d;Dysponent;Wojewodowie;85;;151
0005-0001-0003;0005-0001;c;Podzadanie 5.1.3;Zarządzanie mieniem Skarbu Państwa;;;60340
0005-0001-0003-0001;0005-0001-0003;d;Dysponent;Ministerstwo Obrony Narodowej;29;;0
0005-0001-0003-0002;0005-0001-0003;d;Dysponent;Ministerstwo Skarbu Państwa;36;;11555
0005-0001-0003-0003;0005-0001-0003;d;Dysponent;Wojewodowie;85;;48785
0005-0001-0004;0005-0001;c;Podzadanie 5.1.4;Regulacja stanu prawnego nieruchomości;;;24667
0005-0001-0004-0001;0005-0001-0004;d;Dysponent;Ministerstwo Skarbu Państwa;36;;0
0005-0001-0004-0002;0005-0001-0004;d;Dysponent;Wojewodowie;85;;24667
0005-0002;0005;b;Zadanie 5.2;Roszczenia majątkowe wobec Skarbu Państwa (w tym za mienie pozostawione poza granicami państwa);;;32307
0005-0002-0001;0005-0002;c;Podzadanie 5.2.1;Zaspokajanie roszczeń majątkowych wobec Skarbu Państwa;;;32307
0005-0002-0001-0001;0005-0002-0001;d;Dysponent;Ministerstwo Skarbu Państwa;36;;1820
0005-0002-0001-0002;0005-0002-0001;d;Dysponent;Wojewodowie;85;;30487
0005-0003;0005;b;Zadanie 5.3;Zastępstwo procesowe oraz działalność opiniodawcza i legislacyjna;;;49068
0005-0003-0001;0005-0003;c;Podzadanie 5.3.1;Wykonywanie zastępstwa procesowego;;;46947
0005-0003-0001-0001;0005-0003-0001;d;Dysponent;Prokuratoria Generalna Skarbu Państwa;74;;41591
0005-0003-0001-0002;0005-0003-0001;d;Dysponent;Wojewodowie;85;;5356
0005-0003-0002;0005-0003;c;Podzadanie 5.3.2;Działalność opiniodawcza i legislacyjna;;;2121
0005-0003-0002-0001;0005-0003-0002;d;Dysponent;Wojewodowie;85;;2121
0006;;a;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;;;2809744
0006-0001;0006;b;Zadanie 6.1;Wzrost konkurencyjności gospodarki;;;854760
0006-0001-0001;0006-0001;c;Podzadanie 6.1.1;Tworzenie warunków do zwiększania innowacyjności przedsiębiorstw;;;444509
0006-0001-0001-0001;0006-0001-0001;d;Dysponent;Ministerstwo Gospodarki;20;;444509
0006-0001-0002;0006-0001;c;Podzadanie 6.1.2;Tworzenie warunków dla funkcjonowania przedsiębiorstw, ze szczególnym uwzględnieniem mikro, małych i średnich przedsiębiorstw;;;202661
0006-0001-0002-0001;0006-0001-0002;d;Dysponent;Ministerstwo Gospodarki;20;;202661
0006-0001-0003;0006-0001;c;Podzadanie 6.1.3;Promocja gospodarcza Polski i umiędzynarodowienie gospodarki;;;148493
0006-0001-0003-0001;0006-0001-0003;d;Dysponent;Ministerstwo Gospodarki;20;;148493
0006-0001-0004;0006-0001;c;Podzadanie 6.1.4;System wsparcia inwestorów;;;59097
0006-0001-0004-0001;0006-0001-0004;d;Dysponent;Ministerstwo Gospodarki;20;;59097
0006-0002;0006;b;Zadanie 6.2;Bezpieczeństwo gospodarcze państwa;;;640717
0006-0002-0001;0006-0002;c;Podzadanie 6.2.1;Dywersyfikacja źródeł energii i tworzenie nowych zdolności przesyłowych i transportowych energii elektrycznej, gazu ziemnego i ropy naftowej oraz rozbudowa podziemnych magazynów gazu ziemnego;;;512568
0006-0002-0001-0001;0006-0002-0001;d;Dysponent;Ministerstwo Gospodarki;20;;512164
0006-0002-0001-0002;0006-0002-0001;d;Dysponent;Urząd Regulacji Energetyki;50;;404
0006-0002-0002;0006-0002;c;Podzadanie 6.2.2;Wspieranie bezpieczeństwa energetycznego;;;9405
0006-0002-0002-0001;0006-0002-0002;d;Dysponent;Ministerstwo Gospodarki;20;;3028
0006-0002-0002-0002;0006-0002-0002;d;Dysponent;Urząd Regulacji Energetyki;50;;6275
0006-0002-0002-0003;0006-0002-0002;d;Dysponent;Wojewodowie;85;;102
0006-0002-0003;0006-0002;c;Podzadanie 6.2.3;Potencjał gospodarczy na rzecz bezpieczeństwa państwa;;;118744
0006-0002-0003-0001;0006-0002-0003;d;Dysponent;Ministerstwo Gospodarki;20;;118704
0006-0002-0003-0002;0006-0002-0003;d;Dysponent;Wojewodowie;85;;40
0006-0003;0006;b;Zadanie 6.3;Wspieranie rozwoju i regulacja rynku telekomunikacyjnego i pocztowego;;;46895
0006-0003-0001;0006-0003;c;Podzadanie 6.3.1;Regulacja rynku usług telekomunikacyjnych i pocztowych;;;44923
0006-0003-0001-0001;0006-0003-0001;d;Dysponent;Ministerstwo Infrastruktury;26;;7220
0006-0003-0001-0002;0006-0003-0001;d;Dysponent;Urząd Komunikacji Elektronicznej;76;;37703
0006-0003-0002;0006-0003;c;Podzadanie 6.3.2;Finansowe wspieranie operatorów w zakresie realizacji obowiązku świadczenia powszechnych usług pocztowych;;;1972
0006-0003-0002-0001;0006-0003-0002;d;Dysponent;Ministerstwo Infrastruktury;26;;1972
0006-0004;0006;b;Zadanie 6.4;Wsparcie i promocja turystyki;;;61539
0006-0004-0001;0006-0004;c;Podzadanie 6.4.1;Kreowanie polityki w obszarze turystyki;;;5393
0006-0004-0001-0001;0006-0004-0001;d;Dysponent;Ministerstwo Sportu i Turystyki;40;;5393
0006-0004-0002;0006-0004;c;Podzadanie 6.4.2;Wsparcie produktów turystycznych;;;17766
0006-0004-0002-0001;0006-0004-0002;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;14905
0006-0004-0002-0002;0006-0004-0002;d;Dysponent;Ministerstwo Sportu i Turystyki;40;;2861
0006-0004-0003;0006-0004;c;Podzadanie 6.4.3;Tworzenie i wspieranie systemu marketingu w turystyce;;;35515
0006-0004-0003-0001;0006-0004-0003;d;Dysponent;Ministerstwo Sportu i Turystyki;40;;35515
0006-0004-0004;0006-0004;c;Podzadanie 6.4.4;Podnoszenie jakości usług turystycznych;;;2865
0006-0004-0004-0001;0006-0004-0004;d;Dysponent;Ministerstwo Sportu i Turystyki;40;;882
0006-0004-0004-0002;0006-0004-0004;d;Dysponent;Wojewodowie;85;;1983
0006-0005;0006;b;Zadanie 6.5;Wykonywanie czynności z dziedziny metrologii, probiernictwa i kas rejestrujących;;;127606
0006-0005-0001;0006-0005;c;Podzadanie 6.5.1;Wykonywanie czynności z dziedziny metrologii na potrzeby podmiotów funkcjonujących w gospodarce;;;115876
0006-0005-0001-0001;0006-0005-0001;d;Dysponent;Główny Urząd Miar;64;;115876
0006-0005-0002;0006-0005;c;Podzadanie 6.5.2;Badanie i cechowanie wyrobów z metali szlachetnych oraz nadzór nad obrotem tymi wyrobami;;;11138
0006-0005-0002-0001;0006-0005-0002;d;Dysponent;Główny Urząd Miar;64;;11138
0006-0005-0003;0006-0005;c;Podzadanie 6.5.3;Wykonywanie czynności z zakresu kas rejestrujących na potrzeby podmiotów funkcjonujących w gospodarce;;;592
0006-0005-0003-0001;0006-0005-0003;d;Dysponent;Główny Urząd Miar;64;;592
0006-0006;0006;b;Zadanie 6.6;Wykonywanie czynności z zakresu ochrony oraz praw własności intelektualnej;;;281092
0006-0006-0001;0006-0006;c;Podzadanie 6.6.1;Prawa wyłączne;;;36023
0006-0006-0001-0001;0006-0006-0001;d;Dysponent;Urząd Patentowy RP;61;;36023
0006-0006-0002;0006-0006;c;Podzadanie 6.6.2;Upowszechnianie i promowanie ochrony własności przemysłowej oraz współpraca międzynarodowa;;;11115
0006-0006-0002-0001;0006-0006-0002;d;Dysponent;Urząd Patentowy RP;61;;11115
0006-0006-0003;0006-0006;c;Podzadanie 6.6.3;Ochrona rynku przed przemytem towarów oraz obszaru celnego przed napływem towarów o znaczeniu strategicznym i innych mogących grozić bezpieczeństwu państwa;;;233954
0006-0006-0003-0001;0006-0006-0003;d;Dysponent;Ministerstwo Finansów;19;;233954
0006-0007;0006;b;Zadanie 6.7;Organizacja i promocja działalności normalizacyjnej;;;24236
0006-0007-0001;0006-0007;c;Podzadanie 6.7.1;Organizowanie działalności normalizacyjnej łącznie z realizacją zadań wynikających z członkostwa w Unii Europejskiej;;;14614
0006-0007-0001-0001;0006-0007-0001;d;Dysponent;Polski Komitet Normalizacyjny;65;;14614
0006-0007-0002;0006-0007;c;Podzadanie 6.7.2;Propagowanie informacji normalizacyjnej;;;9622
0006-0007-0002-0001;0006-0007-0002;d;Dysponent;Polski Komitet Normalizacyjny;65;;9622
0006-0008;0006;b;Zadanie 6.8;Nadzór nad rynkiem energii;;;20696
0006-0008-0001;0006-0008;c;Podzadanie 6.8.1;Regulacja działania przedsiębiorstw energetycznych w obszarach niekonkurencyjnych i reglamentowanych;;;16463
0006-0008-0001-0001;0006-0008-0001;d;Dysponent;Urząd Regulacji Energetyki;50;;16463
0006-0008-0002;0006-0008;c;Podzadanie 6.8.2;Promowanie konkurencji na rynku energii;;;1788
0006-0008-0002-0001;0006-0008-0002;d;Dysponent;Urząd Regulacji Energetyki;50;;1788
0006-0008-0003;0006-0008;c;Podzadanie 6.8.3;Realizacja polityki regulacyjnej z uwzględnieniem ochrony środowiska;;;610
0006-0008-0003-0001;0006-0008-0003;d;Dysponent;Urząd Regulacji Energetyki;50;;610
0006-0008-0004;0006-0008;c;Podzadanie 6.8.4;Współpraca w integracji rynku europejskiego;;;1835
0006-0008-0004-0001;0006-0008-0004;d;Dysponent;Urząd Regulacji Energetyki;50;;1835
0006-0009;0006;b;Zadanie 6.9;Nadzór i kontrola nad zakładami górniczymi oraz zakładami wykonującymi roboty geologiczne;;;41700
0006-0009-0001;0006-0009;c;Podzadanie 6.9.1;Nadzór i kontrola nad bezpieczeństwem, higieną pracy i ochroną zdrowia;;;19700
0006-0009-0001-0001;0006-0009-0001;d;Dysponent;Wyższy Urząd Górniczy;60;;19700
0006-0009-0002;0006-0009;c;Podzadanie 6.9.2;Nadzór i kontrola nad bezpieczeństwem wyrobów przeznaczonych do stosowania w zakładach górniczych;;;13200
0006-0009-0002-0001;0006-0009-0002;d;Dysponent;Wyższy Urząd Górniczy;60;;13200
0006-0009-0003;0006-0009;c;Podzadanie 6.9.3;Nadzór i kontrola nad zagospodarowaniem przestrzennym, ochroną środowiska i gospodarką złożem;;;6700
0006-0009-0003-0001;0006-0009-0003;d;Dysponent;Wyższy Urząd Górniczy;60;;6700
0006-0009-0004;0006-0009;c;Podzadanie 6.9.4;Nadzór i kontrola nad projektowaniem, budową, utrzymaniem i rozbiórką obiektów budowlanych zakładów górniczych;;;2100
0006-0009-0004-0001;0006-0009-0004;d;Dysponent;Wyższy Urząd Górniczy;60;;2100
0006-0010;0006;b;Zadanie 6.10;Statystyka publiczna;;;398461
0006-0010-0001;0006-0010;c;Podzadanie 6.10.1;Organizowanie i realizacja badań statystycznych;;;278695
0006-0010-0001-0001;0006-0010-0001;d;Dysponent;Ministerstwo Sportu i Turystyki;40;;1662
0006-0010-0001-0002;0006-0010-0001;d;Dysponent;Ministerstwo Zdrowia;46;;684
0006-0010-0001-0003;0006-0010-0001;d;Dysponent;Urząd Regulacji Energetyki;50;;245
0006-0010-0001-0004;0006-0010-0001;d;Dysponent;Główny Urząd Statystyczny;58;;276104
0006-0010-0002;0006-0010;c;Podzadanie 6.10.2;Przeprowadzanie spisów powszechnych;;;19203
0006-0010-0002-0001;0006-0010-0002;d;Dysponent;Główny Urząd Statystyczny;58;;19203
0006-0010-0003;0006-0010;c;Podzadanie 6.10.3;Analizy, opracowywanie, udostępnianie i upowszechnianie wyników informacji statystycznych;;;55333
0006-0010-0003-0001;0006-0010-0003;d;Dysponent;Główny Urząd Statystyczny;58;;55333
0006-0010-0004;0006-0010;c;Podzadanie 6.10.4;Prowadzenie krajowych rejestrów urzędowych;;;45230
0006-0010-0004-0001;0006-0010-0004;d;Dysponent;Główny Urząd Statystyczny;58;;45230
0006-0011;0006;b;Zadanie 6.11;Nadzór nad bezpieczeństwem jądrowym i ochroną radiologiczną;;;161382
0006-0011-0001;0006-0011;c;Podzadanie 6.11.1;Nadzór nad spełnieniem warunków bezpieczeństwa jądrowego i ochrony radiologicznej w działalnościach związanych z pokojowym wykorzystaniem energii atomowej;;;11297
0006-0011-0001-0001;0006-0011-0001;d;Dysponent;Państwowa Agencja Atomistyki;68;;11297
0006-0011-0002;0006-0011;c;Podzadanie 6.11.2;Ocena sytuacji radiacyjnej kraju;;;1883
0006-0011-0002-0001;0006-0011-0002;d;Dysponent;Państwowa Agencja Atomistyki;68;;1883
0006-0011-0003;0006-0011;c;Podzadanie 6.11.3;Wypełnianie zobowiązań międzynarodowych Polski;;;148202
0006-0011-0003-0001;0006-0011-0003;d;Dysponent;Państwowa Agencja Atomistyki;68;;148202
0006-0012;0006;b;Zadanie 6.12;Ochrona konkurencji i konsumentów;;;150660
0006-0012-0001;0006-0012;c;Podzadanie 6.12.1;Ochrona konkurencji;;;17298
0006-0012-0001-0001;0006-0012-0001;d;Dysponent;Urząd Ochrony Konkurencji i Konsumentów;53;;9171
0006-0012-0001-0002;0006-0012-0001;d;Dysponent;Urząd Komunikacji Elektronicznej;76;;8127
0006-0012-0002;0006-0012;c;Podzadanie 6.12.2;Ochrona konsumentów i nadzór rynku;;;88723
0006-0012-0002-0001;0006-0012-0002;d;Dysponent;Urząd Ochrony Konkurencji i Konsumentów;53;;23409
0006-0012-0002-0002;0006-0012-0002;d;Dysponent;Wojewodowie;85;;65314
0006-0012-0003;0006-0012;c;Podzadanie 6.12.3;Pomoc publiczna;;;3486
0006-0012-0003-0001;0006-0012-0003;d;Dysponent;Urząd Ochrony Konkurencji i Konsumentów;53;;3486
0006-0012-0004;0006-0012;c;Podzadanie 6.12.4;Realizacja zadań w zakresie jakości handlowej artykułów rolno-spożywczych;;;38229
0006-0012-0004-0001;0006-0012-0004;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;35;;12029
0006-0012-0004-0002;0006-0012-0004;d;Dysponent;Wojewodowie;85;;26200
0006-0012-0005;0006-0012;c;Podzadanie 6.12.5;System oceny zgodności;;;2924
0006-0012-0005-0001;0006-0012-0005;d;Dysponent;Urząd Komunikacji Elektronicznej;76;;2924
0007;;a;FUNKCJA 7;GOSPODARKA PRZESTRZENNA, BUDOWNICTWO I MIESZKALNICTWO;;;1766094
0007-0001;0007;b;Zadanie 7.1;Wspieranie budownictwa;;;1377426
0007-0001-0001;0007-0001;c;Podzadanie 7.1.1;Termomodernizacja i remonty zasobów mieszkaniowych;;;229066
0007-0001-0001-0001;0007-0001-0001;d;Dysponent;Ministerstwo Infrastruktury;18;;220000
0007-0001-0001-0002;0007-0001-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;9066
0007-0001-0002;0007-0001;c;Podzadanie 7.1.2;Budownictwo mieszkaniowe;;;484978
0007-0001-0002-0001;0007-0001-0002;d;Dysponent;Ministerstwo Infrastruktury;18;;484978
0007-0001-0003;0007-0001;c;Podzadanie 7.1.3;Realizacja zobowiązań państwa z okresu transformacji gospodarczej;;;660000
0007-0001-0003-0001;0007-0001-0003;d;Dysponent;Ministerstwo Infrastruktury;18;;660000
0007-0001-0004;0007-0001;c;Podzadanie 7.1.4;Rynek budowlany;;;3382
0007-0001-0004-0001;0007-0001-0004;d;Dysponent;Ministerstwo Infrastruktury;18;;3382
0007-0002;0007;b;Zadanie 7.2;Zagospodarowanie przestrzenne i gospodarka nieruchomościami;;;28826
0007-0002-0001;0007-0002;c;Podzadanie 7.2.1;Zagospodarowanie przestrzenne kraju;;;20716
0007-0002-0001-0001;0007-0002-0001;d;Dysponent;Ministerstwo Infrastruktury;18;;3502
0007-0002-0001-0002;0007-0002-0001;d;Dysponent;Wojewodowie;85;;17214
0007-0002-0002;0007-0002;c;Podzadanie 7.2.2;Gospodarka nieruchomościami;;;8110
0007-0002-0002-0001;0007-0002-0002;d;Dysponent;Ministerstwo Infrastruktury;18;;8110
0007-0003;0007;b;Zadanie 7.3;Geodezja i kartografia;;;147680
0007-0003-0001;0007-0003;c;Podzadanie 7.3.1;Nadzór i kontrola w zakresie przestrzegania i stosowania przepisów w dziedzinie geodezji i kartografii;;;20217
0007-0003-0001-0001;0007-0003-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;17;;4455
0007-0003-0001-0002;0007-0003-0001;d;Dysponent;Wojewodowie;85;;15762
0007-0003-0002;0007-0003;c;Podzadanie 7.3.2;Prowadzenie państwowego zasobu geodezyjnego i kartograficznego;;;103140
0007-0003-0002-0001;0007-0003-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;17;;30618
0007-0003-0002-0002;0007-0003-0002;d;Dysponent;Wojewodowie;85;;72522
0007-0003-0003;0007-0003;c;Podzadanie 7.3.3;Budowa infrastruktury informacji przestrzennej;;;24323
0007-0003-0003-0001;0007-0003-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;17;;16883
0007-0003-0003-0002;0007-0003-0003;d;Dysponent;Wojewodowie;85;;7440
0007-0004;0007;b;Zadanie 7.4;Nadzór budowlany;;;212162
0007-0004-0001;0007-0004;c;Podzadanie 7.4.1;Kontrola procesu budowlanego;;;124555
0007-0004-0001-0001;0007-0004-0001;d;Dysponent;Ministerstwo Infrastruktury;18;;3622
0007-0004-0001-0002;0007-0004-0001;d;Dysponent;Wojewodowie;85;;120933
0007-0004-0002;0007-0004;c;Podzadanie 7.4.2;Nadzór nad rynkiem wyrobów budowlanych;;;14969
0007-0004-0002-0001;0007-0004-0002;d;Dysponent;Ministerstwo Infrastruktury;18;;1369
0007-0004-0002-0002;0007-0004-0002;d;Dysponent;Wojewodowie;85;;13600
0007-0004-0003;0007-0004;c;Podzadanie 7.4.3;Orzecznictwo administracyjne;;;72638
0007-0004-0003-0001;0007-0004-0003;d;Dysponent;Ministerstwo Infrastruktury;18;;2868
0007-0004-0003-0002;0007-0004-0003;d;Dysponent;Wojewodowie;85;;69770
0008;;a;FUNKCJA 8;KULTURA FIZYCZNA;;;643832
0008-0001;0008;b;Zadanie 8.1;Promowanie i wspieranie rozwoju sportu dla wszystkich;;;23160
0008-0001-0001;0008-0001;c;Podzadanie 8.1.1;Upowszechnianie sportu w społeczeństwie;;;20630
0008-0001-0001-0001;0008-0001-0001;d;Dysponent;Ministerstwo Sportu i Turystyki;25;;20630
0008-0001-0002;0008-0001;c;Podzadanie 8.1.2;Wspieranie działań promujących sport i jego rozwój;;;2530
0008-0001-0002-0001;0008-0001-0002;d;Dysponent;Ministerstwo Sportu i Turystyki;25;;2530
0008-0002;0008;b;Zadanie 8.2;Wspieranie sportu wyczynowego;;;221351
0008-0002-0001;0008-0002;c;Podzadanie 8.2.1;Wspieranie działań związków sportowych i innych organizacji funkcjonujących w obszarze sportu;;;211849
0008-0002-0001-0001;0008-0002-0001;d;Dysponent;Ministerstwo Sportu i Turystyki;25;;211849
0008-0002-0002;0008-0002;c;Podzadanie 8.2.2;Wspieranie nauki, medycyny i ochrony integralności sportu;;;9502
0008-0002-0002-0001;0008-0002-0002;d;Dysponent;Ministerstwo Sportu i Turystyki;25;;9502
0008-0003;0008;b;Zadanie 8.3;Wspieranie rozwoju infrastruktury sportowej;;;255193
0008-0003-0001;0008-0003;c;Podzadanie 8.3.1;Wspieranie rozwoju infrastruktury w sporcie powszechnym;;;1338
0008-0003-0001-0001;0008-0003-0001;d;Dysponent;Ministerstwo Sportu i Turystyki;25;;1338
0008-0003-0002;0008-0003;c;Podzadanie 8.3.2;Wspieranie rozwoju infrastruktury w sporcie wyczynowym;;;3146
0008-0003-0002-0001;0008-0003-0002;d;Dysponent;Ministerstwo Sportu i Turystyki;25;;3146
0008-0003-0003;0008-0003;c;Podzadanie 8.3.3;Program ``Moje Boisko-Orlik 2012``;;;250709
0008-0003-0003-0001;0008-0003-0003;d;Dysponent;Ministerstwo Sportu i Turystyki;25;;250686
0008-0003-0003-0002;0008-0003-0003;d;Dysponent;Wojewodowie;85;;23
0008-0004;0008;b;Zadanie 8.4;Współorganizacja Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012;;;144128
0008-0004-0001;0008-0004;c;Podzadanie 8.4.1;Przygotowania Polski do współorganizacji Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012;;;144128
0008-0004-0001-0001;0008-0004-0001;d;Dysponent;Ministerstwo Sportu i Turystyki;25;;41137
0008-0004-0001-0002;0008-0004-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;102899
0008-0004-0001-0003;0008-0004-0001;d;Dysponent;Wojewodowie;85;;92
0009;;a;FUNKCJA 9;KULTURA I DZIEDZICTWO NARODOWE;;;1767638
0009-0001;0009;b;Zadanie 9.1;Podtrzymywanie i rozpowszechnianie tradycji narodowej i państwowej;;;41967
0009-0001-0001;0009-0001;c;Podzadanie 9.1.1;Ochrona miejsc pamięci narodowej w kraju i za granicą;;;41331
0009-0001-0001-0001;0009-0001-0001;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;31847
0009-0001-0001-0002;0009-0001-0001;d;Dysponent;Wojewodowie;85;;9484
0009-0001-0002;0009-0001;c;Podzadanie 9.1.2;Restytucja dóbr kultury;;;636
0009-0001-0002-0001;0009-0001-0002;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;636
0009-0002;0009;b;Zadanie 9.2;Ochrona dziedzictwa narodowego;;;842352
0009-0002-0001;0009-0002;c;Podzadanie 9.2.1;Utrzymywanie muzeów;;;347284
0009-0002-0001-0001;0009-0002-0001;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;328819
0009-0002-0001-0002;0009-0002-0001;d;Dysponent;Ministerstwo Obrony Narodowej;29;;16925
0009-0002-0001-0003;0009-0002-0001;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;1540
0009-0002-0002;0009-0002;c;Podzadanie 9.2.2;Ochrona Polskiego dziedzictwa kulturowego za granicą;;;4007
0009-0002-0002-0001;0009-0002-0002;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;4007
0009-0002-0003;0009-0002;c;Podzadanie 9.2.3;Zachowanie, utrzymanie i zagospodarowanie zabytków;;;221356
0009-0002-0003-0001;0009-0002-0003;d;Dysponent;Kancelaria Prezydenta RP;01;;42000
0009-0002-0003-0002;0009-0002-0003;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;119320
0009-0002-0003-0003;0009-0002-0003;d;Dysponent;Wojewodowie;85;;60036
0009-0002-0004;0009-0002;c;Podzadanie 9.2.4;Dokumentowanie, rejestrowanie i ewidencjonowanie zabytków oraz dóbr kultury;;;40610
0009-0002-0004-0001;0009-0002-0004;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;19265
0009-0002-0004-0002;0009-0002-0004;d;Dysponent;Wojewodowie;85;;21345
0009-0002-0005;0009-0002;c;Podzadanie 9.2.5;Utrzymywanie i powiększanie zasobów archiwalnych oraz zbiorów bibliotecznych, filmowych i audiowizulanych;;;229095
0009-0002-0005-0001;0009-0002-0005;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;215942
0009-0002-0005-0002;0009-0002-0005;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;4340
0009-0002-0005-0003;0009-0002-0005;d;Dysponent;Ministerstwo Zdrowia;46;;8813
0009-0003;0009;b;Zadanie 9.3;Działalność artystyczna, upowszechniająca i promująca kulturę polską w kraju i zagranicą;;;586429
0009-0003-0001;0009-0003;c;Podzadanie 9.3.1;Wspieranie działalności artystycznej, upowszechniającej i promującej kulturę polską;;;575354
0009-0003-0001-0001;0009-0003-0001;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;575354
0009-0003-0002;0009-0003;c;Podzadanie 9.3.2;Wspieranie kinematografii;;;11075
0009-0003-0002-0001;0009-0003-0002;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;11075
0009-0004;0009;b;Zadanie 9.4;Budowa i modernizacja infrastruktury kultury;;;296890
0009-0004-0001;0009-0004;c;Podzadanie 9.4.1;Budowa obiektów;;;168013
0009-0004-0001-0001;0009-0004-0001;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;152863
0009-0004-0001-0002;0009-0004-0001;d;Dysponent;Ministerstwo Obrony Narodowej;29;;15150
0009-0004-0002;0009-0004;c;Podzadanie 9.4.2;Modernizacja i wyposażanie obiektów;;;128877
0009-0004-0002-0001;0009-0004-0002;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;107077
0009-0004-0002-0002;0009-0004-0002;d;Dysponent;Ministerstwo Obrony Narodowej;29;;21800
0010;;a;FUNKCJA 10;NAUKA POLSKA;;;5136291
0010-0001;0010;b;Zadanie 10.1;Prowadzenie badań naukowych oraz rozbudowa infrastruktury nauki polskiej;;;3604590
0010-0001-0001;0010-0001;c;Podzadanie 10.1.1;Wspieranie badań naukowych;;;3037127
0010-0001-0001-0001;0010-0001-0001;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;28;;2995329
0010-0001-0001-0002;0010-0001-0001;d;Dysponent;Ministerstwo Sprawiedliwości;37;;19395
0010-0001-0001-0003;0010-0001-0001;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;67;;22403
0010-0001-0002;0010-0001;c;Podzadanie 10.1.2;Rozbudowa infrastruktury badawczej nauki polskiej;;;567463
0010-0001-0002-0001;0010-0001-0002;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;28;;567463
0010-0002;0010;b;Zadanie 10.2;Wzmocnienie badań naukowych służących praktycznym zastosowaniom;;;1419777
0010-0002-0001;0010-0002;c;Podzadanie 10.2.1;Wsparcie badań stosowanych i prac rozwojowych;;;1337186
0010-0002-0001-0001;0010-0002-0001;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;28;;1304724
0010-0002-0001-0002;0010-0002-0001;d;Dysponent;Ministerstwo Obrony Narodowej;29;;30712
0010-0002-0001-0003;0010-0002-0001;d;Dysponent;Ministerstwo Zdrowia;46;;1750
0010-0002-0002;0010-0002;c;Podzadanie 10.2.2;Rozbudowa infrastruktury służącej praktycznym zastosowaniom;;;82591
0010-0002-0002-0001;0010-0002-0002;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;28;;82591
0010-0003;0010;b;Zadanie 10.3;Upowszechnianie, promocja oraz popularyzacja nauki;;;111924
0010-0003-0001;0010-0003;c;Podzadanie 10.3.1;Wspieranie działalności Polskiej Akademii Nauk;;;24838
0010-0003-0001-0001;0010-0003-0001;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;67;;24838
0010-0003-0002;0010-0003;c;Podzadanie 10.3.2;Poszerzanie wiedzy o nauce polskiej oraz wzbogacanie kultury narodowej;;;87086
