ID;Rodzic;Poziom;Typ;Nazwa;Środki europejskie
0030-0002-0002-0001;0030-0002-0002;d;Podzadanie 2.2.1;Zapewnienie działania służby śledczej i kryminalnej;21650
0030-0002-0002-0001-0001;0030-0002-0002-0001;e;Część 42;SPRAWY WEWNĘTRZNE;21650
0030-0002-0003;0030-0002;c;Zadanie 2.4;Ochrona przeciwpożarowa, działalność ratowniczo-gaśnicza oraz zapobiegawcza;70
0030-0002-0003-0003;0030-0002-0003;d;Podzadanie 2.4.3;Rozpoznawanie zagrożeń;70
0030-0002-0003-0003-0001;0030-0002-0003-0003;e;Część 42;SPRAWY WEWNĘTRZNE;70
0030-0004;0030;b;FUNKCJA 7;GOSPODARKA PRZESTRZENNA, BUDOWNICTWO I MIESZKALNICTWO;63034
0030-0004-0002;0030-0004;c;Zadanie 7.3;Geodezja i kartografia;63034
0030-0004-0002-0003;0030-0004-0002;d;Podzadanie 7.3.4;Budowa infrastruktury informacji przestrzennej;63034
0030-0004-0002-0003-0001;0030-0004-0002-0003;e;Część 17;ADMINISTRACJA  PUBLICZNA;63034
0030-0008;0030;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;278161
0030-0008-0001;0030-0008;c;Zadanie 16.1;Obsługa administracyjna obywatela;119448
0030-0008-0001-0003;0030-0008-0001;d;Podzadanie 16.1.3;Wzmacnianie potencjału administracji publicznej;119448
0030-0008-0001-0003-0001;0030-0008-0001-0003;e;Część 17;ADMINISTRACJA  PUBLICZNA;119448
0030-0008-0004;0030-0008;c;Zadanie 16.5;Obsługa cudzoziemców i ruchy migracyjne;1520
0030-0008-0004-0001;0030-0008-0004;d;Podzadanie 16.5.1;Obsługa cudzoziemców;1520
0030-0008-0004-0001-0001;0030-0008-0004-0001;e;Część 42;SPRAWY WEWNĘTRZNE;1520
0030-0008-0006;0030-0008;c;Zadanie 16.9;Informatyzacja działalności i budowa społeczeństwa informacyjnego;157193
0030-0008-0006-0003;0030-0008-0006;d;Podzadanie 16.9.3;Wdrażanie przedsięwzięć informatycznych o publicznym zastosowaniu;145788
0030-0008-0006-0003-0002;0030-0008-0006-0003;e;Część 42;SPRAWY WEWNĘTRZNE;145788
0030-0008-0006-0004;0030-0008-0006;d;Podzadanie 16.9.5;Upowszechnianie i wspieranie e-administracji usług administracji publicznej;11405
0030-0008-0006-0004-0001;0030-0008-0006-0004;e;Część 27;INFORMATYZACJA;11405
0030-0009;0030;b;FUNKCJA 17;RÓWNOMIERNY ROZWÓJ KRAJU;252804
0030-0009-0002;0030-0009;c;Zadanie 17.3;Koordynacja realizacji NSRO 2007-2013 oraz zarządzanie i wdrażanie programów operacyjnych;224136
0030-0009-0002-0001;0030-0009-0002;d;Podzadanie 17.3.9;Wdrażanie PO Innowacyjna Gospodarka;214956
0030-0009-0002-0001-0001;0030-0009-0002-0001;e;Część 27;INFORMATYZACJA;214956
0030-0009-0002-0003;0030-0009-0002;d;Podzadanie 17.3.11;Wdrażanie PO Kapitał Ludzki;9180
0030-0009-0002-0003-0002;0030-0009-0002-0003;e;Część 43;WYZNANIA RELIGIJNE ORAZ MNIEJSZOŚCI NARODOWE I ETNICZNE;9180
0030-0009-0003;0030-0009;c;Zadanie 17.4;Zarządzanie realizacją pozostałych programów finansowanych z udziałem niepodlegających zwrotowi środków pomocowych;28668
0030-0009-0003-0002;0030-0009-0003;d;Podzadanie 17.4.5;Wdrażanie projektów w ramach SPPW;28668
0030-0009-0003-0002-0001;0030-0009-0003-0002;e;Część 42;SPRAWY WEWNĘTRZNE;28668
0032;;a;Dysponent;Ministerstwo Środowiska;3034025
0032-0005;0032;b;FUNKCJA 12;ŚRODOWISKO;3034025
0032-0005-0001;0032-0005;c;Zadanie 12.1;Kształtowanie bioróżnorodności;109717
0032-0005-0001-0001;0032-0005-0001;d;Podzadanie 12.1.1;Realizacja sieci Natura 2000;6010
0032-0005-0001-0001-0001;0032-0005-0001-0001;e;Część 41;ŚRODOWISKO;6010
0032-0005-0001-0002;0032-0005-0001;d;Podzadanie 12.1.2;Ochrona przyrody i krajobrazu, w tym parki narodowe;93849
0032-0005-0001-0002-0001;0032-0005-0001-0002;e;Część 41;ŚRODOWISKO;93849
0032-0005-0001-0006;0032-0005-0001;d;Podzadanie 12.1.6;Przywracanie terenom zdegradowanym wartości przyrodniczych;9858
0032-0005-0001-0006-0001;0032-0005-0001-0006;e;Część 41;ŚRODOWISKO;9858
0032-0005-0004;0032-0005;c;Zadanie 12.4;Gospodarka odpadami;205437
0032-0005-0004-0002;0032-0005-0004;d;Podzadanie 12.4.2;Ograniczanie wpływu odpadów na środowisko;205437
0032-0005-0004-0002-0001;0032-0005-0004-0002;e;Część 41;ŚRODOWISKO;205437
0032-0005-0005;0032-0005;c;Zadanie 12.5;Gospodarowanie zasobami wodnymi;282278
0032-0005-0005-0001;0032-0005-0005;d;Podzadanie 12.5.1;Kształtowanie, ochrona i wykorzystanie zasobów wodnych;9085
0032-0005-0005-0001-0001;0032-0005-0005-0001;e;Część 22;GOSPODARKA  WODNA;9085
0032-0005-0005-0002;0032-0005-0005;d;Podzadanie 12.5.2;Utrzymanie powierzonego majątku związanego z gospodarką wodną;27938
0032-0005-0005-0002-0001;0032-0005-0005-0002;e;Część 22;GOSPODARKA  WODNA;27938
0032-0005-0005-0003;0032-0005-0005;d;Podzadanie 12.5.3;Ochrona przeciwpowodziowa oraz przeciwdziałanie skutkom suszy;245255
0032-0005-0005-0003-0001;0032-0005-0005-0003;e;Część 22;GOSPODARKA  WODNA;143626
0032-0005-0005-0003-0002;0032-0005-0005-0003;e;Część 41;ŚRODOWISKO;101629
0032-0005-0006;0032-0005;c;Zadanie 12.6;Rozbudowa infrastruktury ochrony środowiska;2428826
0032-0005-0006-0001;0032-0005-0006;d;Podzadanie 12.6.1;Gospodarka wodno-ściekowa;2288349
0032-0005-0006-0001-0001;0032-0005-0006-0001;e;Część 41;ŚRODOWISKO;2288349
0032-0005-0006-0002;0032-0005-0006;d;Podzadanie 12.6.2;Przedsięwzięcia dostosowujące przedsiębiorstwa do wymogów ochrony środowiska;122754
0032-0005-0006-0002-0001;0032-0005-0006-0002;e;Część 41;ŚRODOWISKO;122754
0032-0005-0006-0003;0032-0005-0006;d;Podzadanie 12.6.3;Zadania związane z realizacją projektów finansowanych z Funduszu Spójności;17723
0032-0005-0006-0003-0001;0032-0005-0006-0003;e;Część 41;ŚRODOWISKO;17723
0032-0005-0008;0032-0005;c;Zadanie 12.8;Realizacja polityki ekologicznej państwa;5009
0032-0005-0008-0003;0032-0005-0008;d;Podzadanie 12.8.3;Promocja postaw proekologicznych i edukacja środowiskowa;5009
0032-0005-0008-0003-0001;0032-0005-0008-0003;e;Część 41;ŚRODOWISKO;5009
0032-0005-0009;0032-0005;c;Zadanie 12.9;Informatyzacja działalności i budowa społeczeństwa informacyjnego;2758
0032-0005-0009-0002;0032-0005-0009;d;Podzadanie 12.9.2;Budowa i wdrożenie rozwiązań informatycznych;2758
0032-0005-0009-0002-0002;0032-0005-0009-0002;e;Część 41;ŚRODOWISKO;2758
0033;;a;Dysponent;Ministerstwo Zdrowia;439303
0033-0001;0033;b;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;34386
0033-0001-0001;0033-0001;c;Zadanie 3.1;Edukacja i wychowanie;34386
0033-0001-0001-0001;0033-0001-0001;d;Podzadanie 3.1.2;Kształcenie ogólne, zawodowe i ustawiczne;34386
0033-0001-0001-0001-0001;0033-0001-0001-0001;e;Część 46;ZDROWIE;34386
0033-0007;0033;b;FUNKCJA 20;ZDROWIE;404917
0033-0007-0001;0033-0007;c;Zadanie 20.1;Zapewnianie dostępu do świadczeń opieki zdrowotnej;2025
0033-0007-0001-0001;0033-0007-0001;d;Podzadanie 20.1.1;Organizacja oraz nadzór nad systemem opieki zdrowotnej;2025
0033-0007-0001-0001-0001;0033-0007-0001-0001;e;Część 46;ZDROWIE;2025
0033-0007-0002;0033-0007;c;Zadanie 20.2;Ratownictwo medyczne;261118
0033-0007-0002-0001;0033-0007-0002;d;Podzadanie 20.2.1;Zapewnianie prawidłowej działalności lotniczych zespołów ratownictwa medycznego;40842
0033-0007-0002-0001-0001;0033-0007-0002-0001;e;Część 46;ZDROWIE;40842
0033-0007-0002-0002;0033-0007-0002;d;Podzadanie 20.2.2;Zapewnianie prawidłowej działalności szpitalnych oddziałów ratunkowych, centrów urazowych oraz zespołów ratownictwa medycznego, z wyłączeniem lotniczych zespołów ratownictwa medycznego;220276
0033-0007-0002-0002-0001;0033-0007-0002-0002;e;Część 46;ZDROWIE;220276
0033-0007-0004;0033-0007;c;Zadanie 20.4;Wspieranie rozwoju i restrukturyzacji systemu ochrony zdrowia;114372
0033-0007-0004-0001;0033-0007-0004;d;Podzadanie 20.4.1;Inwestycje w infrastrukturę w ochronie zdrowia;114372
0033-0007-0004-0001-0001;0033-0007-0004-0001;e;Część 46;ZDROWIE;114372
0033-0007-0005;0033-0007;c;Zadanie 20.5;Nadzór sanitarno-epidemiologiczny, profilaktyka i promocja zdrowia;5424
0033-0007-0005-0001;0033-0007-0005;d;Podzadanie 20.5.1;Profilaktyka zdrowotna;5424
0033-0007-0005-0001-0001;0033-0007-0005-0001;e;Część 46;ZDROWIE;5424
0033-0007-0006;0033-0007;c;Zadanie 20.6;Informatyzacja działalności i budowa społeczeństwa informacyjnego;21978
0033-0007-0006-0002;0033-0007-0006;d;Podzadanie 20.6.2;Budowa i wdrożenie rozwiązań informatycznych;21978
0033-0007-0006-0002-0001;0033-0007-0006-0002;e;Część 46;ZDROWIE;21978
0042;;a;Dysponent;Rządowe Centrum Legislacji;354
0042-0001;0042;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;354
0042-0001-0001;0042-0001;c;Zadanie 1.3;Obsługa merytoryczna i kancelaryjno-biurowa Prezesa Rady Ministrów i Rady Ministrów;354
0042-0001-0001-0001;0042-0001-0001;d;Podzadanie 1.3.2;Obsługa prawna Rady Ministrów;296
0042-0001-0001-0001-0001;0042-0001-0001-0001;e;Część 75;RZĄDOWE CENTRUM LEGISLACJI;296
0042-0001-0001-0002;0042-0001-0001;d;Podzadanie 1.3.4;Redagowanie i udostępnianie Dziennika Ustaw Rzeczypospolitej Polskiej oraz Dziennika Urzędowego Rzeczypospolitej Polskiej ``Monitor Polski``;58
0042-0001-0001-0002-0001;0042-0001-0001-0002;e;Część 75;RZĄDOWE CENTRUM LEGISLACJI;58
0051;;a;Dysponent;Samorządowe Kolegium Odwoławcze w Bydgoszczy;170
0051-0001;0051;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;170
0051-0001-0001;0051-0001;c;Zadanie 16.7;Sprawowanie funkcji organu wyższego stopnia w indywidualnych sprawach z zakresu administracji publicznej należących do właściwości jednostek samorządu terytorialnego;170
0051-0001-0001-0001;0051-0001-0001;d;Podzadanie 16.7.1;Rozpatrywanie odwołań, zażaleń, żądań wznowienia postępowania, żądań stwierdzenia nieważności decyzji oraz wszczynanie z urzędu postępowań w trybach nadzwyczajnych;170
0051-0001-0001-0001-0001;0051-0001-0001-0001;e;Część 86;Samorządowe kolegia odwoławcze ogółem;170
0088;;a;Dysponent;Samorządowe Kolegium Odwoławcze w Tarnobrzegu;77
0088-0001;0088;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;77
0088-0001-0001;0088-0001;c;Zadanie 16.7;Sprawowanie funkcji organu wyższego stopnia w indywidualnych sprawach z zakresu administracji publicznej należących do właściwości jednostek samorządu terytorialnego;77
0088-0001-0001-0001;0088-0001-0001;d;Podzadanie 16.7.1;Rozpatrywanie odwołań, zażaleń, żądań wznowienia postępowania, żądań stwierdzenia nieważności decyzji oraz wszczynanie z urzędu postępowań w trybach nadzwyczajnych;77
0088-0001-0001-0001-0001;0088-0001-0001-0001;e;Część 86;Samorządowe kolegia odwoławcze ogółem;77
0098;;a;Dysponent;Urząd Komunikacji Elektronicznej;14389
0098-0001;0098;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;14389
0098-0001-0001;0098-0001;c;Zadanie 6.3;Wspieranie i regulacja rynku telekomunikacyjnego i pocztowego;522
0098-0001-0001-0001;0098-0001-0001;d;Podzadanie 6.3.1;Regulacja rynku usług telekomunikacyjnych i pocztowych;522
0098-0001-0001-0001-0001;0098-0001-0001-0001;e;Część 76;URZĄD KOMUNIKACJI  ELEKTRONICZNEJ;522
0098-0001-0003;0098-0001;c;Zadanie 6.13;Informatyzacja działalności i budowa społeczeństwa informacyjnego;13867
0098-0001-0003-0001;0098-0001-0003;d;Podzadanie 6.13.1;Utrzymanie systemów informatycznych;589
0098-0001-0003-0001-0001;0098-0001-0003-0001;e;Część 76;URZĄD KOMUNIKACJI  ELEKTRONICZNEJ;589
0098-0001-0003-0002;0098-0001-0003;d;Podzadanie 6.13.2;Budowa i wdrożenie rozwiązań informatycznych;13278
0098-0001-0003-0002-0001;0098-0001-0003-0002;e;Część 76;URZĄD KOMUNIKACJI  ELEKTRONICZNEJ;13278
0103;;a;Dysponent;Urząd Zamówień Publicznych;454
0103-0001;0103;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;454
0103-0001-0001;0103-0001;c;Zadanie 1.6;Nadzór nad systemem zamówień publicznych;454
0103-0001-0001-0001;0103-0001-0001;d;Podzadanie 1.6.1;Nadzór nad przestrzeganiem zasad systemu zamówień w szczególności dokonywanie kontroli procesu udzielania zamówień w zakresie przewidzianym ustawą;454
0103-0001-0001-0001-0001;0103-0001-0001-0001;e;Część 49;URZĄD ZAMÓWIEŃ PUBLICZNYCH;454
0104;;a;Dysponent;Wojewodowie;413274
0104-0015;0104;b;FUNKCJA 17;RÓWNOMIERNY ROZWÓJ KRAJU;90629
0104-0015-0001;0104-0015;c;Zadanie 17.1;Wsparcie rozwoju regionalnego kraju;59421
0104-0015-0001-0002;0104-0015-0001;d;Podzadanie 17.1.2;Wsparcie rozwoju poszczególnych województw w ramach 16 RPO;59421
0104-0015-0001-0002-0001;0104-0015-0001-0002;e;Część 85;Budżety wojewodów ogółem;59421
0104-0015-0003;0104-0015;c;Zadanie 17.3;Koordynacja realizacji NSRO 2007-2013 oraz zarządzanie i wdrażanie programów operacyjnych;31208
0104-0015-0003-0006;0104-0015-0003;d;Podzadanie 17.3.10;Wdrażanie PO Infrastruktura i Środowisko;28874
0104-0015-0003-0006-0001;0104-0015-0003-0006;e;Część 85;Budżety wojewodów ogółem;28874
0104-0015-0003-0007;0104-0015-0003;d;Podzadanie 17.3.11;Wdrażanie PO Kapitał Ludzki;2334
0104-0015-0003-0007-0001;0104-0015-0003-0007;e;Część 85;Budżety wojewodów ogółem;2334
0104-0018;0104;b;FUNKCJA 21;POLITYKA ROLNA I RYBACKA;322645
0104-0018-0006;0104-0018;c;Zadanie 21.7;Realizacja Wspólnej Polityki Rolnej oraz pomocy krajowej;322645
0104-0018-0006-0003;0104-0018-0006;d;Podzadanie 21.7.5;Program Rozwoju Obszarów Wiejskich 2007-2013;322645
0104-0018-0006-0003-0001;0104-0018-0006-0003;e;Część 85;Budżety wojewodów ogółem;322645
dt-9999;;a;total;Ogółem;84004046
