ID;Rodzic;Poziom;Typ;Nazwa;Część;Część w budźecie księgowym;Środki europejskie
0003-0002-0007;0003-0002;c;Podzadanie 3.2.7;Program wieloletni ``Uniwersytet im. Adama Mickiewicza w Poznaniu 2004-2015``;;;0
0003-0002-0007-0001;0003-0002-0007;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;38;;0
0003-0003;0003;b;Zadanie 3.3;Informatyzacja działalności i budowa społeczeństwa informacyjnego;;;1385
0003-0003-0001;0003-0003;c;Podzadanie 3.3.1;Utrzymanie i rozwój systemów informatycznych;;;0
0003-0003-0001-0001;0003-0003-0001;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;0
0003-0003-0001-0002;0003-0003-0001;d;Dysponent;Wojewodowie;85;;0
0003-0003-0002;0003-0003;c;Podzadanie 3.3.2;Budowa i wdrożenie rozwiązań informatycznych;;;1385
0003-0003-0002-0001;0003-0003-0002;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;1385
0004;;a;FUNKCJA 4;ZARZĄDZANIE FINANSAMI PAŃSTWA;;;36781689
0004-0001;0004;b;Zadanie 4.1;Opracowywanie i wykonywanie budżetu państwa;;;36720695
0004-0001-0001;0004-0001;c;Podzadanie 4.1.1;Opracowanie metodologii i planowanie budżetowe;;;16701
0004-0001-0001-0001;0004-0001-0001;d;Dysponent;Ministerstwo Finansów;19;;16701
0004-0001-0001-0002;0004-0001-0001;d;Dysponent;Ministerstwo Finansów;81;;0
0004-0001-0001-0003;0004-0001-0001;d;Dysponent;Wojewodowie;85;;0
0004-0001-0002;0004-0001;c;Podzadanie 4.1.2;Realizacja budżetu państwa;;;36703994
0004-0001-0002-0001;0004-0001-0002;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0001-0002-0002;0004-0001-0002;d;Dysponent;Ministerstwo Finansów;83;;36703994
0004-0002;0004;b;Zadanie 4.2;Opracowanie systemu finansowania jednostek samorządu terytorialnego (jst) i sfery budżetowej;;;2258
0004-0002-0001;0004-0002;c;Podzadanie 4.2.1;Zapewnienie spójności systemu finansów publicznych;;;0
0004-0002-0001-0001;0004-0002-0001;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0002-0001-0002;0004-0002-0001;d;Dysponent;Ministerstwo Finansów;82;;0
0004-0002-0001-0003;0004-0002-0001;d;Dysponent;Wojewodowie;85;;0
0004-0002-0002;0004-0002;c;Podzadanie 4.2.2;Analiza i ocena funkcjonowania systemu finansowania jst;;;2258
0004-0002-0002-0001;0004-0002-0002;d;Dysponent;Ministerstwo Finansów;19;;2258
0004-0002-0002-0002;0004-0002-0002;d;Dysponent;Wojewodowie;85;;0
0004-0003;0004;b;Zadanie 4.3;Realizacja dochodów z podatków bezpośrednich, pośrednich oraz dochodów niepodatkowych;;;27555
0004-0003-0001;0004-0003;c;Podzadanie 4.3.1;Pobór podatków w tym ustalanie i określanie zobowiązań podatkowych oraz niepodatkowych należności budżetu państwa i jednostek samorządu terytorialnego;;;0
0004-0003-0001-0001;0004-0003-0001;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0003-0001-0002;0004-0003-0001;d;Dysponent;Wojewodowie;85;;0
0004-0003-0002;0004-0003;c;Podzadanie 4.3.2;Zapewnienie sprawnej obsługi podatników;;;13312
0004-0003-0002-0001;0004-0003-0002;d;Dysponent;Ministerstwo Finansów;19;;13312
0004-0003-0003;0004-0003;c;Podzadanie 4.3.3;Pobór ceł i udogodnienia w handlu i podróżach przez granicę;;;14243
0004-0003-0003-0001;0004-0003-0003;d;Dysponent;Ministerstwo Finansów;19;;14243
0004-0003-0004;0004-0003;c;Podzadanie 4.3.4;Prowadzenie postępowań egzekucyjnych;;;0
0004-0003-0004-0001;0004-0003-0004;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0004;0004;b;Zadanie 4.4;Zarządzanie długiem publicznym;;;0
0004-0004-0001;0004-0004;c;Podzadanie 4.4.1;Zarządzanie i obsługa długu krajowego;;;0
0004-0004-0001-0001;0004-0004-0001;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0004-0001-0002;0004-0004-0001;d;Dysponent;Ministerstwo Finansów;79;;0
0004-0004-0002;0004-0004;c;Podzadanie 4.4.2;Zarządzanie i obsługa długu zagranicznego;;;0
0004-0004-0002-0001;0004-0004-0002;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0004-0002-0002;0004-0004-0002;d;Dysponent;Ministerstwo Finansów;78;;0
0004-0005;0004;b;Zadanie 4.5;Przeciwdziałanie zagrożeniom bezpieczeństwa finansowego państwa;;;1314
0004-0005-0001;0004-0005;c;Podzadanie 4.5.1;Prowadzenie postępowań karnych skarbowych;;;0
0004-0005-0001-0001;0004-0005-0001;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0005-0002;0004-0005;c;Podzadanie 4.5.2;Przeciwdziałanie praniu pieniędzy i finansowaniu terroryzmu;;;0
0004-0005-0002-0001;0004-0005-0002;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0005-0002-0002;0004-0005-0002;d;Dysponent;Wojewodowie;85;;0
0004-0005-0003;0004-0005;c;Podzadanie 4.5.3;Wywiad skarbowy;;;0
0004-0005-0003-0001;0004-0005-0003;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0005-0004;0004-0005;c;Podzadanie 4.5.4;Ochrona rynku przed przemytem towarów;;;1314
0004-0005-0004-0001;0004-0005-0004;d;Dysponent;Ministerstwo Finansów;19;;1314
0004-0006;0004;b;Zadanie 4.6;Koordynowanie i organizowanie współpracy finansowej, kredytowej i płatniczej z zagranicą oraz w ramach Unii Europejskiej;;;0
0004-0006-0001;0004-0006;c;Podzadanie 4.6.1;Nadzór w zakresie finansowych instrumentów wspierania eksportu;;;0
0004-0006-0001-0001;0004-0006-0001;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0006-0002;0004-0006;c;Podzadanie 4.6.2;Środki własne UE;;;0
0004-0006-0002-0001;0004-0006-0002;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0006-0002-0002;0004-0006-0002;d;Dysponent;Ministerstwo Finansów;84;;0
0004-0007;0004;b;Zadanie 4.7;Działania kontrolne w zakresie poboru należności budżetu państwa;;;0
0004-0007-0001;0004-0007;c;Podzadanie 4.7.1;Prowadzenie kontroli podatkowych;;;0
0004-0007-0001-0001;0004-0007-0001;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0007-0002;0004-0007;c;Podzadanie 4.7.2;Prowadzenie kontroli wykonywanej przez Służbę Celną;;;0
0004-0007-0002-0001;0004-0007-0002;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0007-0003;0004-0007;c;Podzadanie 4.7.3;Prowadzenie czynności sprawdzających;;;0
0004-0007-0003-0001;0004-0007-0003;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0008;0004;b;Zadanie 4.8;Kontrola skarbowa oraz nadzór nad organami kontroli skarbowej;;;0
0004-0008-0001;0004-0008;c;Podzadanie 4.8.1;Analiza, zarządzanie i wykorzystywanie danych uzyskanych w wyniku działań organów kontroli skarbowej;;;0
0004-0008-0001-0001;0004-0008-0001;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0008-0002;0004-0008;c;Podzadanie 4.8.2;Inicjowanie i prowadzenie postępowań kontrolnych prowadzonych przez organ kontroli skarbowej;;;0
0004-0008-0002-0001;0004-0008-0002;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0008-0003;0004-0008;c;Podzadanie 4.8.3;Audyt i kontrola środków pochodzących z UE;;;0
0004-0008-0003-0001;0004-0008-0003;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0009;0004;b;Zadanie 4.9;Nadzór nad rynkiem kapitałowym, ubezpieczeniowym, emerytalnym i bankowym;;;0
0004-0009-0001;0004-0009;c;Podzadanie 4.9.1;Nadzór nad podmiotami rynku kapitałowego;;;0
0004-0009-0001-0001;0004-0009-0001;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0009-0001-0002;0004-0009-0001;d;Dysponent;Komisja Nadzoru Finansowego;70;;0
0004-0009-0002;0004-0009;c;Podzadanie 4.9.2;Nadzór nad działalnością zakładów ubezpieczeń;;;0
0004-0009-0002-0001;0004-0009-0002;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0009-0002-0002;0004-0009-0002;d;Dysponent;Komisja Nadzoru Finansowego;70;;0
0004-0009-0003;0004-0009;c;Podzadanie 4.9.3;Nadzór nad działalnością rynku emerytalnego;;;0
0004-0009-0003-0001;0004-0009-0003;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0009-0003-0002;0004-0009-0003;d;Dysponent;Komisja Nadzoru Finansowego;70;;0
0004-0009-0004;0004-0009;c;Podzadanie 4.9.4;Nadzór bankowy;;;0
0004-0009-0004-0001;0004-0009-0004;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0009-0004-0002;0004-0009-0004;d;Dysponent;Komisja Nadzoru Finansowego;70;;0
0004-0009-0005;0004-0009;c;Podzadanie 4.9.5;Nadzór nad pośrednikami finansowymi;;;0
0004-0009-0005-0001;0004-0009-0005;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0009-0006;0004-0009;c;Podzadanie 4.9.6;Ochrona interesów nieprofesjonalnych uczestników rynku finansowego;;;0
0004-0009-0006-0001;0004-0009-0006;d;Dysponent;Ministerstwo Finansów;19;;0
0004-0010;0004;b;Zadanie 4.10;Informatyzacja działalności i budowa społeczeństwa informacyjnego;;;29867
0004-0010-0001;0004-0010;c;Podzadanie 4.10.1;Utrzymanie systemów informatycznych;;;20127
0004-0010-0001-0001;0004-0010-0001;d;Dysponent;Ministerstwo Finansów;19;;20127
0004-0010-0002;0004-0010;c;Podzadanie 4.10.2;Budowa i wdrożenie rozwiązań informatycznych;;;9740
0004-0010-0002-0001;0004-0010-0002;d;Dysponent;Ministerstwo Finansów;19;;9740
0005;;a;FUNKCJA 5;OCHRONA PRAW I INTERESÓW SKARBU PAŃSTWA;;;0
0005-0001;0005;b;Zadanie 5.1;Gospodarowanie mieniem Skarbu Państwa;;;0
0005-0001-0001;0005-0001;c;Podzadanie 5.1.1;Przekształcenia własnościowe (prywatyzacja);;;0
0005-0001-0001-0001;0005-0001-0001;d;Dysponent;Ministerstwo Obrony Narodowej;29;;0
0005-0001-0001-0002;0005-0001-0001;d;Dysponent;Ministerstwo Skarbu Państwa;36;;0
0005-0001-0001-0003;0005-0001-0001;d;Dysponent;Wojewodowie;85;;0
0005-0001-0002;0005-0001;c;Podzadanie 5.1.2;Nadzór właścicielski;;;0
0005-0001-0002-0001;0005-0001-0002;d;Dysponent;Ministerstwo Skarbu Państwa;36;;0
0005-0001-0002-0002;0005-0001-0002;d;Dysponent;Wojewodowie;85;;0
0005-0001-0003;0005-0001;c;Podzadanie 5.1.3;Zarządzanie mieniem Skarbu Państwa;;;0
0005-0001-0003-0001;0005-0001-0003;d;Dysponent;Ministerstwo Finansów;19;;0
0005-0001-0003-0002;0005-0001-0003;d;Dysponent;Ministerstwo Obrony Narodowej;29;;0
0005-0001-0003-0003;0005-0001-0003;d;Dysponent;Ministerstwo Skarbu Państwa;36;;0
0005-0001-0003-0004;0005-0001-0003;d;Dysponent;Wojewodowie;85;;0
0005-0001-0004;0005-0001;c;Podzadanie 5.1.4;Regulacja stanu prawnego nieruchomości;;;0
0005-0001-0004-0001;0005-0001-0004;d;Dysponent;Ministerstwo Skarbu Państwa;36;;0
0005-0001-0004-0002;0005-0001-0004;d;Dysponent;Wojewodowie;85;;0
0005-0002;0005;b;Zadanie 5.2;Roszczenia majątkowe wobec Skarbu Państwa (w tym za mienie pozostawione poza granicami państwa);;;0
0005-0002-0001;0005-0002;c;Podzadanie 5.2.1;Zaspokajanie roszczeń majątkowych wobec Skarbu Państwa;;;0
0005-0002-0001-0001;0005-0002-0001;d;Dysponent;Ministerstwo Skarbu Państwa;36;;0
0005-0002-0001-0002;0005-0002-0001;d;Dysponent;Wojewodowie;85;;0
0005-0002-0002;0005-0002;c;Podzadanie 5.2.2;Rewindykacja mienia i rekompensaty za mienie pozostawione poza granicami państwa;;;0
0005-0002-0002-0001;0005-0002-0002;d;Dysponent;Wojewodowie;85;;0
0005-0003;0005;b;Zadanie 5.3;Zastępstwo procesowe oraz działalność opiniodawcza i legislacyjna;;;0
0005-0003-0001;0005-0003;c;Podzadanie 5.3.1;Wykonywanie zastępstwa procesowego;;;0
0005-0003-0001-0001;0005-0003-0001;d;Dysponent;Prokuratoria Generalna Skarbu Państwa;74;;0
0005-0003-0001-0002;0005-0003-0001;d;Dysponent;Wojewodowie;85;;0
0005-0003-0002;0005-0003;c;Podzadanie 5.3.2;Działalność opiniodawcza i legislacyjna;;;0
0005-0003-0002-0001;0005-0003-0002;d;Dysponent;Ministerstwo Finansów;19;;0
0005-0003-0002-0002;0005-0003-0002;d;Dysponent;Wojewodowie;85;;0
0006;;a;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;;;1643467
0006-0001;0006;b;Zadanie 6.1;Wzrost konkurencyjności gospodarki;;;1245544
0006-0001-0001;0006-0001;c;Podzadanie 6.1.1;Zmiana systemu stanowienia prawa i usprawnienie systemu oceny skutków regulacji;;;7892
0006-0001-0001-0001;0006-0001-0001;d;Dysponent;Ministerstwo Gospodarki;20;;7892
0006-0001-0002;0006-0001;c;Podzadanie 6.1.2;Tworzenie warunków do zwiększania innowacyjności przedsiębiorstw;;;1095013
0006-0001-0002-0001;0006-0001-0002;d;Dysponent;Ministerstwo Gospodarki;20;;1095013
0006-0001-0003;0006-0001;c;Podzadanie 6.1.3;Tworzenie warunków dla funkcjonowania przedsiębiorstw;;;22457
0006-0001-0003-0001;0006-0001-0003;d;Dysponent;Ministerstwo Gospodarki;20;;22457
0006-0001-0004;0006-0001;c;Podzadanie 6.1.4;Wspieranie mikro, małych i średnich przedsiębiorstw;;;0
0006-0001-0004-0001;0006-0001-0004;d;Dysponent;Ministerstwo Gospodarki;20;;0
0006-0001-0005;0006-0001;c;Podzadanie 6.1.5;System wsparcia inwestorów;;;94093
0006-0001-0005-0001;0006-0001-0005;d;Dysponent;Ministerstwo Gospodarki;20;;94093
0006-0001-0006;0006-0001;c;Podzadanie 6.1.6;Współtworzenie polityki gospodarczej i wspólnej polityki handlowej Unii Europejskiej uwzgledniajacej interesy Polski;;;0
0006-0001-0006-0001;0006-0001-0006;d;Dysponent;Ministerstwo Gospodarki;20;;0
0006-0001-0007;0006-0001;c;Podzadanie 6.1.7;Promocja gospodarcza Polski;;;4839
0006-0001-0007-0001;0006-0001-0007;d;Dysponent;Ministerstwo Gospodarki;20;;4839
0006-0001-0008;0006-0001;c;Podzadanie 6.1.8;Intensyfikacja wymiany handlowej w zakresie produktu, usług i kapitału;;;21250
0006-0001-0008-0001;0006-0001-0008;d;Dysponent;Ministerstwo Gospodarki;20;;21250
0006-0002;0006;b;Zadanie 6.2;Bezpieczeństwo gospodarcze państwa;;;300000
0006-0002-0001;0006-0002;c;Podzadanie 6.2.1;Dywersyfikacja źródeł energii i tworzenie nowych zdolności przesyłowych i transportowych energii elektrycznej, gazu ziemnego i ropy naftowej oraz rozbudowa podziemnych magazynów gazu ziemnego;;;96332
0006-0002-0001-0001;0006-0002-0001;d;Dysponent;Ministerstwo Gospodarki;20;;96332
0006-0002-0002;0006-0002;c;Podzadanie 6.2.2;Tworzenie warunków dla funkcjonowania górnictwa węgla kamiennego;;;0
0006-0002-0002-0001;0006-0002-0002;d;Dysponent;Ministerstwo Gospodarki;20;;0
0006-0002-0003;0006-0002;c;Podzadanie 6.2.3;Wspieranie bezpieczeństwa energetycznego;;;203668
0006-0002-0003-0001;0006-0002-0003;d;Dysponent;Ministerstwo Gospodarki;20;;203668
0006-0002-0003-0002;0006-0002-0003;d;Dysponent;Urząd Regulacji Energetyki;50;;0
0006-0002-0003-0003;0006-0002-0003;d;Dysponent;Wojewodowie;85;;0
0006-0002-0004;0006-0002;c;Podzadanie 6.2.4;Wspieranie wykorzystania odnawialnych źródeł energii i biopaliw ciekłych w transporcie;;;0
0006-0002-0004-0001;0006-0002-0004;d;Dysponent;Ministerstwo Gospodarki;20;;0
0006-0002-0004-0002;0006-0002-0004;d;Dysponent;Ministerstwo Środowiska;41;;0
0006-0002-0005;0006-0002;c;Podzadanie 6.2.5;Potencjał gospodarczy na rzecz bezpieczeństwa państwa;;;0
0006-0002-0005-0001;0006-0002-0005;d;Dysponent;Ministerstwo Gospodarki;20;;0
0006-0002-0006;0006-0002;c;Podzadanie 6.2.6;Budowa infrastruktury dla energetyki jądrowej;;;0
0006-0002-0006-0001;0006-0002-0006;d;Dysponent;Ministerstwo Gospodarki;20;;0
0006-0003;0006;b;Zadanie 6.3;Wspieranie i regulacja rynku telekomunikacyjnego i pocztowego;;;713
0006-0003-0001;0006-0003;c;Podzadanie 6.3.1;Regulacja rynku usług telekomunikacyjnych i pocztowych;;;713
0006-0003-0001-0001;0006-0003-0001;d;Dysponent;Ministerstwo Infrastruktury;26;;191
0006-0003-0001-0002;0006-0003-0001;d;Dysponent;Urząd Komunikacji Elektronicznej;76;;522
0006-0003-0002;0006-0003;c;Podzadanie 6.3.2;Rekompensowanie operatorom kosztów nieodpłatnego doręczania przesyłek pocztowych ustawowo zwolnionych z opłat;;;0
0006-0003-0002-0001;0006-0003-0002;d;Dysponent;Ministerstwo Infrastruktury;26;;0
0006-0004;0006;b;Zadanie 6.4;Wsparcie i promocja turystyki;;;52437
0006-0004-0001;0006-0004;c;Podzadanie 6.4.1;Kreowanie polityki w obszarze turystyki;;;0
0006-0004-0001-0001;0006-0004-0001;d;Dysponent;Ministerstwo Sportu i Turystyki;40;;0
0006-0004-0002;0006-0004;c;Podzadanie 6.4.2;Wsparcie produktów turystycznych;;;52437
0006-0004-0002-0001;0006-0004-0002;d;Dysponent;Ministerstwo Sportu i Turystyki;40;;0
0006-0004-0002-0002;0006-0004-0002;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;52437
0006-0004-0003;0006-0004;c;Podzadanie 6.4.3;Przygotowanie wykwalifikowanych kadr dla turystyki;;;0
0006-0004-0003-0001;0006-0004-0003;d;Dysponent;Ministerstwo Sportu i Turystyki;40;;0
0006-0004-0003-0002;0006-0004-0003;d;Dysponent;Wojewodowie;85;;0
0006-0004-0004;0006-0004;c;Podzadanie 6.4.4;Tworzenie i wspieranie systemu marketingu w turystyce;;;0
0006-0004-0004-0001;0006-0004-0004;d;Dysponent;Ministerstwo Sportu i Turystyki;40;;0
0006-0005;0006;b;Zadanie 6.5;Wykonywanie czynności z dziedziny metrologii i probiernictwa;;;0
0006-0005-0001;0006-0005;c;Podzadanie 6.5.1;Wykonywanie czynności z dziedziny metrologii na potrzeby podmiotów funkcjonujących w gospodarce;;;0
0006-0005-0001-0001;0006-0005-0001;d;Dysponent;Główny Urząd Miar;64;;0
0006-0005-0002;0006-0005;c;Podzadanie 6.5.2;Badanie i cechowanie wyrobów z metali szlachetnych oraz nadzór nad obrotem tymi wyrobami;;;0
0006-0005-0002-0001;0006-0005-0002;d;Dysponent;Główny Urząd Miar;64;;0
0006-0006;0006;b;Zadanie 6.6;Wykonywanie czynności z zakresu ochrony własności intelektualnej;;;0
0006-0006-0001;0006-0006;c;Podzadanie 6.6.1;Prawa wyłączne;;;0
0006-0006-0001-0001;0006-0006-0001;d;Dysponent;Urząd Patentowy RP;61;;0
0006-0006-0002;0006-0006;c;Podzadanie 6.6.2;Upowszechnianie i promowanie ochrony własności przemysłowej oraz współpraca międzynarodowa;;;0
0006-0006-0002-0001;0006-0006-0002;d;Dysponent;Urząd Patentowy RP;61;;0
0006-0006-0003;0006-0006;c;Podzadanie 6.6.3;Egzekwowanie zakazów i ograniczeń związanych z posiadaniem, rozpowszechnianiem lub obrotem towarami;;;0
0006-0006-0003-0001;0006-0006-0003;d;Dysponent;Ministerstwo Finansów;19;;0
0006-0007;0006;b;Zadanie 6.7;Organizacja i promocja działalności normalizacyjnej;;;0
0006-0007-0001;0006-0007;c;Podzadanie 6.7.1;Organizowanie działalności normalizacyjnej łącznie z realizacją zadań wynikających z członkostwa w Unii Europejskiej;;;0
0006-0007-0001-0001;0006-0007-0001;d;Dysponent;Polski Komitet Normalizacyjny;65;;0
0006-0007-0002;0006-0007;c;Podzadanie 6.7.2;Propagowanie informacji normalizacyjnej;;;0
0006-0007-0002-0001;0006-0007-0002;d;Dysponent;Polski Komitet Normalizacyjny;65;;0
0006-0008;0006;b;Zadanie 6.8;Nadzór nad rynkiem energii;;;0
0006-0008-0001;0006-0008;c;Podzadanie 6.8.1;Regulacja działania przedsiębiorstw energetycznych w obszarach niekonkurencyjnych i reglamentowanych;;;0
0006-0008-0001-0001;0006-0008-0001;d;Dysponent;Urząd Regulacji Energetyki;50;;0
0006-0008-0002;0006-0008;c;Podzadanie 6.8.2;Promowanie konkurencji na rynku energii;;;0
0006-0008-0002-0001;0006-0008-0002;d;Dysponent;Urząd Regulacji Energetyki;50;;0
0006-0008-0003;0006-0008;c;Podzadanie 6.8.3;Realizacja polityki regulacyjnej z uwzględnieniem ochrony środowiska;;;0
0006-0008-0003-0001;0006-0008-0003;d;Dysponent;Urząd Regulacji Energetyki;50;;0
0006-0008-0004;0006-0008;c;Podzadanie 6.8.4;Współpraca w integracji rynku europejskiego;;;0
0006-0008-0004-0001;0006-0008-0004;d;Dysponent;Urząd Regulacji Energetyki;50;;0
0006-0009;0006;b;Zadanie 6.9;Nadzór i kontrola nad zakładami górniczymi oraz zakładami wykonującymi roboty geologiczne;;;0
0006-0009-0001;0006-0009;c;Podzadanie 6.9.1;Nadzór i kontrola nad bezpieczeństwem, higieną pracy i ochroną zdrowia;;;0
0006-0009-0001-0001;0006-0009-0001;d;Dysponent;Wyższy Urząd Górniczy;60;;0
0006-0009-0002;0006-0009;c;Podzadanie 6.9.2;Nadzór i kontrola nad bezpieczeństwem wyrobów przeznaczonych do stosowania w zakładach górniczych;;;0
0006-0009-0002-0001;0006-0009-0002;d;Dysponent;Wyższy Urząd Górniczy;60;;0
0006-0009-0003;0006-0009;c;Podzadanie 6.9.3;Nadzór i kontrola nad zagospodarowaniem przestrzennym, ochroną środowiska i gospodarką złożem;;;0
0006-0009-0003-0001;0006-0009-0003;d;Dysponent;Wyższy Urząd Górniczy;60;;0
0006-0009-0004;0006-0009;c;Podzadanie 6.9.4;Nadzór i kontrola nad projektowaniem, budową, utrzymaniem i rozbiórką obiektów budowlanych zakładów górniczych;;;0
0006-0009-0004-0001;0006-0009-0004;d;Dysponent;Ministerstwo Środowiska;41;;0
0006-0009-0004-0002;0006-0009-0004;d;Dysponent;Wyższy Urząd Górniczy;60;;0
0006-0010;0006;b;Zadanie 6.10;Statystyka publiczna;;;30906
0006-0010-0001;0006-0010;c;Podzadanie 6.10.1;Organizowanie i prowadzenie badań statystycznych;;;30580
0006-0010-0001-0001;0006-0010-0001;d;Dysponent;Ministerstwo Finansów;19;;0
0006-0010-0001-0002;0006-0010-0001;d;Dysponent;Ministerstwo Sportu i Turystyki;40;;0
0006-0010-0001-0003;0006-0010-0001;d;Dysponent;Główny Urząd Statystyczny;58;;30580
0006-0010-0002;0006-0010;c;Podzadanie 6.10.2;Badania i analizy statystyczne;;;0
0006-0010-0002-0001;0006-0010-0002;d;Dysponent;Główny Urząd Statystyczny;58;;0
0006-0010-0003;0006-0010;c;Podzadanie 6.10.3;Przeprowadzanie spisów powszechnych;;;0
0006-0010-0003-0001;0006-0010-0003;d;Dysponent;Główny Urząd Statystyczny;58;;0
0006-0010-0004;0006-0010;c;Podzadanie 6.10.4;Udostępnianie i upowszechnianie wyników informacji statystycznych oraz innych opracowań;;;0
0006-0010-0004-0001;0006-0010-0004;d;Dysponent;Ministerstwo Finansów;19;;0
0006-0010-0004-0002;0006-0010-0004;d;Dysponent;Główny Urząd Statystyczny;58;;0
0006-0010-0005;0006-0010;c;Podzadanie 6.10.5;Prowadzenie krajowych rejestrów urzędowych;;;326
0006-0010-0005-0001;0006-0010-0005;d;Dysponent;Główny Urząd Statystyczny;58;;326
0006-0010-0005-0002;0006-0010-0005;d;Dysponent;Wojewodowie;85;;0
0006-0011;0006;b;Zadanie 6.11;Nadzór nad bezpieczeństwem jądrowym i ochroną radiologiczną;;;0
0006-0011-0001;0006-0011;c;Podzadanie 6.11.1;Nadzór nad spełnieniem warunków bezpieczeństwa jądrowego i ochrony radiologicznej w działalnościach związanych z pokojowym wykorzystaniem energii atomowej;;;0
0006-0011-0001-0001;0006-0011-0001;d;Dysponent;Państwowa Agencja Atomistyki;68;;0
0006-0011-0002;0006-0011;c;Podzadanie 6.11.2;Ocena sytuacji radiacyjnej kraju;;;0
0006-0011-0002-0001;0006-0011-0002;d;Dysponent;Państwowa Agencja Atomistyki;68;;0
0006-0011-0003;0006-0011;c;Podzadanie 6.11.3;Wypełnianie zobowiązań międzynarodowych Polski;;;0
0006-0011-0003-0001;0006-0011-0003;d;Dysponent;Państwowa Agencja Atomistyki;68;;0
0006-0012;0006;b;Zadanie 6.12;Ochrona konkurencji i konsumentów;;;0
0006-0012-0001;0006-0012;c;Podzadanie 6.12.1;Ochrona konkurencji;;;0
0006-0012-0001-0001;0006-0012-0001;d;Dysponent;Urząd Ochrony Konkurencji i Konsumentów;53;;0
0006-0012-0001-0002;0006-0012-0001;d;Dysponent;Urząd Komunikacji Elektronicznej;76;;0
0006-0012-0001-0003;0006-0012-0001;d;Dysponent;Wojewodowie;85;;0
0006-0012-0002;0006-0012;c;Podzadanie 6.12.2;Ochrona konsumentów i nadzór rynku;;;0
0006-0012-0002-0001;0006-0012-0002;d;Dysponent;Urząd Ochrony Konkurencji i Konsumentów;53;;0
0006-0012-0002-0002;0006-0012-0002;d;Dysponent;Wojewodowie;85;;0
0006-0012-0003;0006-0012;c;Podzadanie 6.12.3;Pomoc publiczna;;;0
0006-0012-0003-0001;0006-0012-0003;d;Dysponent;Urząd Ochrony Konkurencji i Konsumentów;53;;0
0006-0012-0004;0006-0012;c;Podzadanie 6.12.4;Realizacja zadań w zakresie jakości handlowej artykułów rolno-spożywczych;;;0
0006-0012-0004-0001;0006-0012-0004;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;35;;0
0006-0012-0004-0002;0006-0012-0004;d;Dysponent;Wojewodowie;85;;0
0006-0012-0005;0006-0012;c;Podzadanie 6.12.5;System oceny zgodności;;;0
0006-0012-0005-0001;0006-0012-0005;d;Dysponent;Urząd Komunikacji Elektronicznej;76;;0
0006-0013;0006;b;Zadanie 6.13;Informatyzacja działalności i budowa społeczeństwa informacyjnego;;;13867
0006-0013-0001;0006-0013;c;Podzadanie 6.13.1;Utrzymanie systemów informatycznych;;;589
0006-0013-0001-0001;0006-0013-0001;d;Dysponent;Ministerstwo Sportu i Turystyki;40;;0
0006-0013-0001-0002;0006-0013-0001;d;Dysponent;Urząd Komunikacji Elektronicznej;76;;589
0006-0013-0002;0006-0013;c;Podzadanie 6.13.2;Budowa i wdrożenie rozwiązań informatycznych;;;13278
0006-0013-0002-0001;0006-0013-0002;d;Dysponent;Ministerstwo Sportu i Turystyki;40;;0
0006-0013-0002-0002;0006-0013-0002;d;Dysponent;Urząd Komunikacji Elektronicznej;76;;13278
0007;;a;FUNKCJA 7;GOSPODARKA PRZESTRZENNA, BUDOWNICTWO I MIESZKALNICTWO;;;63034
0007-0001;0007;b;Zadanie 7.1;Wspieranie budownictwa;;;0
0007-0001-0001;0007-0001;c;Podzadanie 7.1.1;Termomodernizacja i remonty zasobów mieszkaniowych;;;0
0007-0001-0001-0001;0007-0001-0001;d;Dysponent;Ministerstwo Infrastruktury;18;;0
0007-0001-0001-0002;0007-0001-0001;d;Dysponent;Ministerstwo Obrony Narodowej;29;;0
