ID;Rodzic;Poziom;Numer;Treść;Paragrafy;Przewidywane wykonanie w 2010;Plan na 2011
018-002-001;018-002;c;18.2.1;wydatki inwestycyjne (własne) i wydatki na zakupy inwestycyjne (własne);6110, 6120;13998;16000
019;;a;19;PLAN FINANSOWY FUNDUSZU ROZWOJU PRZYWIĘZIENNYCH ZAKŁADÓW PRACY;;1951;821
019-001;019;b;19.1;Dotacje na realizację zadań bieżących;2440, 2450;50;0
019-002;019;b;19.2;Wydatki bieżące (własne);x;1;121
019-002-001;019-002;c;19.2.1;pozostałe, w tym:;;1;121
019-002-001-001;019-002-001;d;19.2.1.1;umorzenia;;0;120
019-002-001-002;019-002-001;d;19.2.1.2;inne;;1;1
019-002-001-002-001;019-002-001-002;e;19.2.1.2.1;opłaty i prowizje bankowe;4300;1;1
019-003;019;b;19.3;Wydatki inwestycyjne;x;1900;700
019-003-001;019-003;c;19.3.1;dotacje inwestycyjne;6260, 6270;1900;700
020;;a;20;PLAN FINANSOWY FUNDUSZU MODERNIZACJI SIŁ ZBROJNYCH;;119485;81007
020-001;020;b;20.1;Wydatki inwestycyjne;x;119485;81007
020-001-001;020-001;c;20.1.1;wydatki inwestycyjne (własne) i wydatki na zakupy inwestycyjne (własne);6110, 6120;119485;81007
021;;a;21;PLAN FINANSOWY FUNDUSZU WSPARCIA STRAśY GRANICZNEJ;;1688;2545
021-001;021;b;21.1;Wydatki bieżące (własne);x;1589;2237
021-001-001;021-001;c;21.1.1;- pozostałe, w tym:;x;1589;2237
021-001-001-001;021-001-001;d;21.1.1.1;remonty;4270;122;85
021-001-001-002;021-001-001;d;21.1.1.2;- inne, w tym:;x;1467;2152
021-001-001-002-001;021-001-001-002;e;21.1.1.2.1;zakup materiałów i wyposażenia;4210;1322;1962
021-001-001-002-002;021-001-001-002;e;21.1.1.2.2;zakup środków żywności;4220;15;25
021-001-001-002-003;021-001-001-002;e;21.1.1.2.3;-zakup pomocy naukowych, dydaktycznych i książek;4240;0;15
021-001-001-002-004;021-001-001-002;e;21.1.1.2.4;zakup usług pozostałych;4300;103;150
021-001-001-002-005;021-001-001-002;e;21.1.1.2.5;zakup materiałów papierniczych do sprzętu drukarskiego i urządzeń kserograficznych;4740;12;0
021-001-001-002-006;021-001-001-002;e;21.1.1.2.6;- zakup akcesoriów komputerowych, w tym programów i licencji;4750;15;0
021-002;021;b;21.2;Wydatki inwestycyjne;x;99;308
021-002-001;021-002;c;21.2.1;wydatki inwestycyjne (własne) i wydatki na zakupy inwestycyjne (własne);6110, 6120;99;308
022;;a;22;PLAN FINANSOWY FUNDUSZU ROZWIĄZYWANIA PROBLEMÓW HAZARDOWYCH;;4000;22340
022-001;022;b;22.1;Dotacje na realizację zadań bieżących;2440, 2450;4000;22340
023;;a;23;PLAN FINANSOWY FUNDUSZU REPRYWATYZACJI;;1579696;732700
023-001;023;b;23.1;Wydatki bieżące (własne);x;1579696;732700
023-001-001;023-001;c;23.1.1;- pozostałe, w tym;x;1579696;732700
023-001-001-001;023-001-001;d;23.1.1.1;inne;;1579696;732700
023-001-001-001-001;023-001-001-001;e;23.1.1.1.1;przelewy różne;2970;1000000;0
023-001-001-001-002;023-001-001-001;e;23.1.1.1.2;wynagrodzenia bezosobowe;4170;100;100
023-001-001-001-003;023-001-001-001;e;23.1.1.1.3;zakup usług pozostałych;4300;10;5000
023-001-001-001-004;023-001-001-001;e;23.1.1.1.4;- zakup usług obejm. wykon. ekspertyz, analiz i opinii;4390;50;100
023-001-001-001-005;023-001-001-001;e;23.1.1.1.5;pozostałe odsetki;4580;19500;25000
023-001-001-001-006;023-001-001-001;e;23.1.1.1.6;kary i odszkodowania wypłacane na rzecz osób fizycznych;4590;4550;3600
023-001-001-001-007;023-001-001-001;e;23.1.1.1.7;koszty postępowania sądowego i prokuratorskiego;4610;6500;6500
023-001-001-001-008;023-001-001-001;e;23.1.1.1.8;wydatki na cele związane z zaspokojeniem roszczeń byłych właścicieli mienia przejętego przez Skarb Państwa;4930;548986;692400
023-002;023;b;23.2;Wydatki inwestycyjne;x;0;0
023-002-001;023-002;c;23.2.1;wydatki inwestycyjne (własne) i wydatki na zakupy inwestycyjne (własne);6120;0;0
024;;a;24;PLAN FINANSOWY FUNDUSZU RESTRUKTURYZACJI PRZEDSIĘBIORCÓW;;1835986;865772
024-001;024;b;24.1;Wydatki bieżące (własne);x;1834156;862844
024-001-001;024-001;c;24.1.1;- pozostałe, w tym;x;1834156;862844
024-001-001-001;024-001-001;d;24.1.1.1;- inne, w tym:;;1834156;862844
024-001-001-001-001;024-001-001-001;e;24.1.1.1.1;dotacje na realizację zadań bieżących dla jednostek niezaliczanych do sektora finansów publicznych;2450;50670;32300
024-001-001-001-002;024-001-001-001;e;24.1.1.1.2;wydatki na zakup i objęcie akcji oraz wniesienie wkładów do spółek prawa handlowego;6010;1678978;776219
024-001-001-001-003;024-001-001-001;e;24.1.1.1.3;udzielone pożyczki i kredyty;9910;34008;36325
024-001-001-001-004;024-001-001-001;e;24.1.1.1.4;- koszty postępowania kompensacyjnego w stoczniach;x;70500;18000
024-002;024;b;24.2;Wydatki inwestycyjne:;x;1830;2928
024-002-001;024-002;c;24.2.1;-dotacja na remont tężni w Ciechocinku;6270;1830;2928
025;;a;25;PLAN FINANSOWY FUNDUSZU SKARBU PAŃSTWA;;339184;182159
025-001;025;b;25.1;Wydatki bieżące (własne);x;334684;179039
025-001-001;025-001;c;25.1.1;- pozostałe, w tym;x;334684;179039
025-001-001-001;025-001-001;d;25.1.1.1;inne;;334684;179039
025-001-001-001-001;025-001-001-001;e;25.1.1.1.1;różne przelewy;2970;95793;0
025-001-001-001-002;025-001-001-001;e;25.1.1.1.2;składki na ubezpieczenia społeczne;4110;16;136
025-001-001-001-003;025-001-001-001;e;25.1.1.1.3;składki na fundusz Pracy;4120;2;23
025-001-001-001-004;025-001-001-001;e;25.1.1.1.4;wynagrodzenia bezosobowe;4170;670;1309
025-001-001-001-005;025-001-001-001;e;25.1.1.1.5;zakup materiałów i wyposażenia;4210;418;437
025-001-001-001-006;025-001-001-001;e;25.1.1.1.6;zakup energii;4260;645;790
025-001-001-001-007;025-001-001-001;e;25.1.1.1.7;zakup usług remontowych;4270;96;279
025-001-001-001-008;025-001-001-001;e;25.1.1.1.8;zakup usług pozostałych;4300;132768;129080
025-001-001-001-009;025-001-001-001;e;25.1.1.1.9;zakup usług dostępu do sieci Internet;4350;522;275
025-001-001-001-010;025-001-001-001;e;25.1.1.1.10;opłaty z tytułu zakupu usług telefonii komórkowej;4360;2;1
025-001-001-001-011;025-001-001-001;e;25.1.1.1.11;opłaty z tytułu zakupu usług telefonii stacjonarnej;4370;19;26
025-001-001-001-012;025-001-001-001;e;25.1.1.1.12;zakup usług obejmujących tłumaczenia;4380;152;172
025-001-001-001-013;025-001-001-001;e;25.1.1.1.13;- zakup usług obejmujących wykonanie ekspertyz, analiz, opinii;4390;72328;32774
025-001-001-001-014;025-001-001-001;e;25.1.1.1.14;- opłaty za administrowanie i czynsze za budynki, lokale;4400;800;116
025-001-001-001-015;025-001-001-001;e;25.1.1.1.15;podróże służbowe zagraniczne;4420;450;450
025-001-001-001-016;025-001-001-001;e;25.1.1.1.16;różne opłaty i składki;4430;148;199
025-001-001-001-017;025-001-001-001;e;25.1.1.1.17;podatek od nieruchomości;4480;554;539
025-001-001-001-018;025-001-001-001;e;25.1.1.1.18;pozostałe podatki na rzecz budżetów jednostek samorządu terytorialnego;4500;10;20
025-001-001-001-019;025-001-001-001;e;25.1.1.1.19;podatek od towarów i usług (VAT);4530;20;40
025-001-001-001-020;025-001-001-001;e;25.1.1.1.20;pozostałe odsetki;4580;1695;2615
025-001-001-001-021;025-001-001-001;e;25.1.1.1.21;kary i odszkodowania wypłacane na rzecz osób fizycznych;4590;2450;3100
025-001-001-001-022;025-001-001-001;e;25.1.1.1.22;kary i odszkodowania wypłacane na rzecz osób prawnych;4600;1021;1050
025-001-001-001-023;025-001-001-001;e;25.1.1.1.23;koszty postępowania sądowego i prokuratorskiego;4610;2355;2605
025-001-001-001-024;025-001-001-001;e;25.1.1.1.24;- zakup akcesoriów komputerowych w tym licencji i programów;4750;540;0
025-001-001-001-025;025-001-001-001;e;25.1.1.1.25; dofinansowania procesów likwidacyjnych i upadłości przedsiębiorstw państwowych oraz spółek, w których Skarb Państwa jest udziałowcem lub akcjonariuszem;4940;4528;2858
025-001-001-001-026;025-001-001-001;e;25.1.1.1.26;- wydatki na zakup i objęcie akcji, wniesienie wkładów do spółek;6010;16505;100
025-001-001-001-027;025-001-001-001;e;25.1.1.1.27;rozliczenia z bankami związane z obsługą długu publicznego;8010;131;40
025-001-001-001-028;025-001-001-001;e;25.1.1.1.28;odsetki od kredytów i pożyczek związanych z obsługą długu krajowego;8070;46;5
025-002;025;b;25.2;Wydatki inwestycyjne;x;4500;3120
025-002-001;025-002;c;25.2.1;wydatki inwestycyjne (własne) i wydatki na zakupy inwestycyjne (własne);6120;4500;3120
026;;a;26;PLAN FINANSOWY FUNDUSZU KREDYTU TECHNOLOGICZNEGO;;32336;124635
026-001;026;b;26.1;Dotacje na realizację zadań bieżących;2440, 2450;1500;15000
026-002;026;b;26.2;Środki z Unii Europejskiej;2008, 6208;8500;85000
026-003;026;b;26.3;Wydatki bieżące (własne);x;22032;24295
026-003-001;026-003;c;26.3.1;wynagrodzenia;4010-4100, 4170, 4180;1900;2000
026-003-002;026-003;c;26.3.2;składki na ubezpieczenia społeczne;4110;488;510
026-003-003;026-003;c;26.3.3;składki na fundusz Pracy;4120;43;45
026-003-004;026-003;c;26.3.4;inne;;4251;4240
026-003-005;026-003;c;26.3.5;prowizja z tytułu obsługi Funduszu;;850;2500
026-003-006;026-003;c;26.3.6;umorzenia części kredytów technologicznych;;14500;15000
026-004;026;b;26.4;Wydatki inwestycyjne;x;304;340
026-004-001;026-004;c;26.4.1;wydatki inwestycyjne (własne) i wydatki na zakupy inwestycyjne (własne);6110, 6120;304;340
027;;a;27;PLAN FINANSOWY FUNDUSZU REKOMPENSACYJNEGO;;920490;703000
027-001;027;b;27.1;Wydatki bieżące (własne);x;920090;702000
027-001-001;027-001;c;27.1.1;inne;x;920090;702000
027-001-001-001;027-001-001;d;27.1.1.1;zakup usług pozostałych;4300;2090;2000
027-001-001-002;027-001-001;d;27.1.1.2;kary i odszkodowania wypłacone na rzecz osób fizycznych;4590;918000;700000
027-002;027;b;27.2;Wydatki inwestycyjne;x;400;1000
027-002-001;027-002;c;27.2.1;wydatki inwestycyjne (własne) i wydatki na zakupy inwestycyjne (własne);6110, 6120;400;1000
999999;;a;Total;Ogółem;;203525809;203488379
