ID;Rodzic;Poziom;Typ;Nazwa;Środki europejskie
0023-0006-0003-0001;0023-0006-0003;d;Podzadanie 11.3.1;Wsparcie wywiadowcze;0
0023-0006-0003-0001-0001;0023-0006-0003-0001;e;Część 29;OBRONA NARODOWA;0
0023-0006-0003-0002;0023-0006-0003;d;Podzadanie 11.3.2;Ochrona kontrwywiadowcza;0
0023-0006-0003-0002-0001;0023-0006-0003-0002;e;Część 29;OBRONA NARODOWA;0
0023-0006-0004;0023-0006;c;Zadanie 11.4;Realizacja zobowiązań sojuszniczych i międzynarodowych oraz uczestnictwo w działaniach na rzecz pokoju i stabilizacji międzynarodowej;0
0023-0006-0004-0001;0023-0006-0004;d;Podzadanie 11.4.1;Misje i operacje NATO, UE oraz koalicyjne;0
0023-0006-0004-0001-0001;0023-0006-0004-0001;e;Część 29;OBRONA NARODOWA;0
0023-0006-0004-0002;0023-0006-0004;d;Podzadanie 11.4.2;Działalność w strukturach NATO, UE oraz przedstawicielstw dyplomatycznych i strukturach wielonarodowych;0
0023-0006-0004-0002-0001;0023-0006-0004-0002;e;Część 29;OBRONA NARODOWA;0
0023-0006-0005;0023-0006;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;0
0023-0006-0005-0001;0023-0006-0005;d;Podzadanie 11.5.1;Mobilizacja gospodarki;0
0023-0006-0005-0001-0001;0023-0006-0005-0001;e;Część 29;OBRONA NARODOWA;0
0023-0006-0005-0002;0023-0006-0005;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;0
0023-0006-0005-0002-0001;0023-0006-0005-0002;e;Część 29;OBRONA NARODOWA;0
0023-0007;0023;b;FUNKCJA 13;ZABEZPIECZENIE SPOŁECZNE I WSPIERANIE RODZINY;0
0023-0007-0001;0023-0007;c;Zadanie 13.3;Ubezpieczenia społeczne;0
0023-0007-0001-0001;0023-0007-0001;d;Podzadanie 13.3.3;Świadczenia społeczne żołnierzy i funkcjonariuszy;0
0023-0007-0001-0001-0001;0023-0007-0001-0001;e;Część 29;OBRONA NARODOWA;0
0023-0007-0001-0002;0023-0007-0001;d;Podzadanie 13.3.4;Prewencja i rehabilitacja;0
0023-0007-0001-0002-0001;0023-0007-0001-0002;e;Część 29;OBRONA NARODOWA;0
0023-0007-0002;0023-0007;c;Zadanie 13.6;Przeciwdziałanie dyskryminacji;0
0023-0007-0002-0001;0023-0007-0002;d;Podzadanie 13.6.1;Tworzenie warunków dla rozwoju podmiotów prowadzących działalność pożytku publicznego, współpracy tych podmiotów z organami administracji publicznej oraz dialogu obywatelskiego;0
0023-0007-0002-0001-0001;0023-0007-0002-0001;e;Część 29;OBRONA NARODOWA;0
0023-0008;0023;b;FUNKCJA 14;RYNEK PRACY;0
0023-0008-0001;0023-0008;c;Zadanie 14.1;Wspieranie zatrudnienia i przeciwdziałanie bezrobociu;0
0023-0008-0001-0001;0023-0008-0001;d;Podzadanie 14.1.1;Wspieranie programów aktywizacji;0
0023-0008-0001-0001-0001;0023-0008-0001-0001;e;Część 29;OBRONA NARODOWA;0
0023-0009;0023;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;0
0023-0009-0001;0023-0009;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;0
0023-0009-0001-0001;0023-0009-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;0
0023-0009-0001-0001-0001;0023-0009-0001-0001;e;Część 29;OBRONA NARODOWA;0
0023-0010;0023;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0023-0010-0001;0023-0010;c;Zadanie 16.3;Utrzymanie stosunków między Państwem a kościołem i związkami wyznaniowymi;0
0023-0010-0001-0001;0023-0010-0001;d;Podzadanie 16.3.2;Realizacja zadań z zakresu stosunków pomiędzy Państwem a Kościołem;0
0023-0010-0001-0001-0001;0023-0010-0001-0001;e;Część 29;OBRONA NARODOWA;0
0023-0011;0023;b;FUNKCJA 18;SPRAWIEDLIWOŚĆ;0
0023-0011-0001;0023-0011;c;Zadanie 18.1;Sprawowanie wymiaru sprawiedliwości przez sądy powszechne i wojskowe;0
0023-0011-0001-0001;0023-0011-0001;d;Podzadanie 18.1.1;Działalność orzecznicza;0
0023-0011-0001-0001-0001;0023-0011-0001-0001;e;Część 29;OBRONA NARODOWA;0
0023-0011-0001-0002;0023-0011-0001;d;Podzadanie 18.1.2;Działalność pozaorzecznicza;0
0023-0011-0001-0002-0001;0023-0011-0001-0002;e;Część 29;OBRONA NARODOWA;0
0023-0012;0023;b;FUNKCJA 20;ZDROWIE;0
0023-0012-0001;0023-0012;c;Zadanie 20.1;Zapewnianie dostępu do świadczeń opieki zdrowotnej;0
0023-0012-0001-0001;0023-0012-0001;d;Podzadanie 20.1.1;Organizacja oraz nadzór nad systemem opieki zdrowotnej;0
0023-0012-0001-0001-0001;0023-0012-0001-0001;e;Część 29;OBRONA NARODOWA;0
0023-0012-0001-0002;0023-0012-0001;d;Podzadanie 20.1.5;Zapewnianie funkcjonowania publicznej służby krwi;0
0023-0012-0001-0002-0001;0023-0012-0001-0002;e;Część 29;OBRONA NARODOWA;0
0023-0012-0002;0023-0012;c;Zadanie 20.4;Wspieranie rozwoju i restrukturyzacji systemu ochrony zdrowia;0
0023-0012-0002-0001;0023-0012-0002;d;Podzadanie 20.4.1;Inwestycje w infrastrukturę w ochronie zdrowia;0
0023-0012-0002-0001-0001;0023-0012-0002-0001;e;Część 29;OBRONA NARODOWA;0
0023-0013;0023;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;0
0023-0013-0001;0023-0013;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;0
0023-0013-0001-0002;0023-0013-0001;d;Część 29;OBRONA NARODOWA;0
0023-0013-0002;0023-0013;c;Zadanie 22.2;Obsługa administracyjna;0
0023-0013-0002-0003;0023-0013-0002;d;Część 29;OBRONA NARODOWA;0
0023-0013-0003;0023-0013;c;Zadanie 22.3;Obsługa techniczna;0
0023-0013-0003-0004;0023-0013-0003;d;Część 29;OBRONA NARODOWA;0
0024;;a;Dysponent;Ministerstwo Pracy i Polityki Społecznej;826292
0024-0001;0024;b;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;0
0024-0001-0001;0024-0001;c;Zadanie 3.1;Edukacja i wychowanie;0
0024-0001-0001-0001;0024-0001-0001;d;Podzadanie 3.1.2;Kształcenie ogólne, zawodowe i ustawiczne;0
0024-0001-0001-0001-0001;0024-0001-0001-0001;e;Część 31;PRACA;0
0024-0001-0001-0002;0024-0001-0001;d;Podzadanie 3.1.6;Edukacja pozalekcyjna i pozaszkolna;0
0024-0001-0001-0002-0001;0024-0001-0001-0002;e;Część 31;PRACA;0
0024-0001-0001-0003;0024-0001-0001;d;Podzadanie 3.1.7;Wspieranie dostępu do podręczników;0
0024-0001-0001-0003-0001;0024-0001-0001-0003;e;Część 31;PRACA;0
0024-0002;0024;b;FUNKCJA 13;ZABEZPIECZENIE SPOŁECZNE I WSPIERANIE RODZINY;4670
0024-0002-0001;0024-0002;c;Zadanie 13.1;Pomoc i integracja społeczna;0
0024-0002-0001-0001;0024-0002-0001;d;Podzadanie 13.1.1;Wspieranie osób zagrożonych wykluczeniem społecznym;0
0024-0002-0001-0001-0001;0024-0002-0001-0001;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;0
0024-0002-0001-0002;0024-0002-0001;d;Podzadanie 13.1.2;Tworzenie, wdrażanie oraz realizacja przepisów o pomocy społecznej;0
0024-0002-0001-0002-0001;0024-0002-0001-0002;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;0
0024-0002-0002;0024-0002;c;Zadanie 13.2;Aktywizacja społeczna osób niepełnosprawnych;0
0024-0002-0002-0001;0024-0002-0002;d;Podzadanie 13.2.1;Wspomaganie aktywizacji społecznej osób niepełnosprawnych;0
0024-0002-0002-0001-0001;0024-0002-0002-0001;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;0
0024-0002-0002-0002;0024-0002-0002;d;Podzadanie 13.2.2;Prowadzenie dialogu obywatelskiego w zakresie aktywizacji społecznej osób niepełnosprawnych;0
0024-0002-0002-0002-0001;0024-0002-0002-0002;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;0
0024-0002-0003;0024-0002;c;Zadanie 13.3;Ubezpieczenia społeczne;0
0024-0002-0003-0001;0024-0002-0003;d;Podzadanie 13.3.5;Świadczenia emerytalne dla funkcjonariuszy i żołnierzy;0
0024-0002-0003-0001-0001;0024-0002-0003-0001;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;0
0024-0002-0003-0002;0024-0002-0003;d;Podzadanie 13.3.6;Uposażenia dla sędziów i prokuratorów  w stanie spoczynku i uposażenia rodzinne;0
0024-0002-0003-0002-0001;0024-0002-0003-0002;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;0
0024-0002-0003-0003;0024-0002-0003;d;Podzadanie 13.3.7;Wypłata świadczeń zleconych do realizacji Zakładowi Ubezpieczeń Społecznych i Kasie Rolniczego Ubezpieczenia Społecznego;0
0024-0002-0003-0003-0001;0024-0002-0003-0003;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;0
0024-0002-0004;0024-0002;c;Zadanie 13.4;Sprawy kombatantów i osób represjonowanych;0
0024-0002-0004-0001;0024-0002-0004;d;Podzadanie 13.4.2;Wsparcie socjalne dla kombatantów, ofiar represji i innych osób uprawnionych;0
0024-0002-0004-0001-0001;0024-0002-0004-0001;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;0
0024-0002-0005;0024-0002;c;Zadanie 13.5;Wspieranie rodziny;0
0024-0002-0005-0001;0024-0002-0005;d;Podzadanie 13.5.1;Świadczenia rodzinne;0
0024-0002-0005-0001-0001;0024-0002-0005-0001;e;Część 63;RODZINA;0
0024-0002-0005-0002;0024-0002-0005;d;Podzadanie 13.5.2;Świadczenia z funduszu alimentacyjnego;0
0024-0002-0005-0002-0001;0024-0002-0005-0002;e;Część 63;RODZINA;0
0024-0002-0006;0024-0002;c;Zadanie 13.6;Przeciwdziałanie dyskryminacji;4670
0024-0002-0006-0001;0024-0002-0006;d;Podzadanie 13.6.1;Tworzenie warunków dla rozwoju podmiotów prowadzących działalność pożytku publicznego, współpracy tych podmiotów z organami administracji publicznej oraz dialogu obywatelskiego;4670
0024-0002-0006-0001-0001;0024-0002-0006-0001;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;4670
0024-0002-0006-0002;0024-0002-0006;d;Podzadanie 13.6.2;Wyrównywanie statusu kobiet i mężczyzn w życiu społeczno-gospodarczym;0
0024-0002-0006-0002-0001;0024-0002-0006-0002;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;0
0024-0002-0006-0003;0024-0002-0006;d;Podzadanie 13.6.3;Nadzór nad fundacjami i stowarzyszeniami oraz organizacjami pożytku publicznego;0
0024-0002-0006-0003-0001;0024-0002-0006-0003;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;0
0024-0003;0024;b;FUNKCJA 14;RYNEK PRACY;452129
0024-0003-0001;0024-0003;c;Zadanie 14.1;Wspieranie zatrudnienia i przeciwdziałanie bezrobociu;410453
0024-0003-0001-0001;0024-0003-0001;d;Podzadanie 14.1.1;Wspieranie programów aktywizacji;387503
0024-0003-0001-0001-0001;0024-0003-0001-0001;e;Część 31;PRACA;387503
0024-0003-0001-0002;0024-0003-0001;d;Podzadanie 14.1.2;Wspieranie i modernizacja urzędów pracy;22950
0024-0003-0001-0002-0001;0024-0003-0001-0002;e;Część 31;PRACA;22950
0024-0003-0002;0024-0003;c;Zadanie 14.2;Budowa nowoczesnych stosunków pracy;0
0024-0003-0002-0001;0024-0003-0002;d;Podzadanie 14.2.1;Elastyczność i bezpieczeństwo w zatrudnieniu;0
0024-0003-0002-0001-0001;0024-0003-0002-0001;e;Część 31;PRACA;0
0024-0003-0002-0002;0024-0003-0002;d;Podzadanie 14.2.3;Bezpieczeństwo i higiena pracy;0
0024-0003-0002-0002-0001;0024-0003-0002-0002;e;Część 31;PRACA;0
0024-0003-0003;0024-0003;c;Zadanie 14.3;Aktywizacja zawodowa osób niepełnosprawnych;38322
0024-0003-0003-0001;0024-0003-0003;d;Podzadanie 14.3.1;Analiza sytuacji osób niepełnosprawnych na rynku pracy;38322
0024-0003-0003-0001-0001;0024-0003-0003-0001;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;38322
0024-0003-0004;0024-0003;c;Zadanie 14.4;Informatyzacja działalności i budowa społeczeństwa informacyjnego;3354
0024-0003-0004-0001;0024-0003-0004;d;Podzadanie 14.4.1;Utrzymanie systemów informatycznych;0
0024-0003-0004-0001-0001;0024-0003-0004-0001;e;Część 31;PRACA;0
0024-0003-0004-0002;0024-0003-0004;d;Podzadanie 14.4.2;Budowa i wdrożenie rozwiązań informatycznych;3354
0024-0003-0004-0002-0001;0024-0003-0004-0002;e;Część 31;PRACA;3354
0024-0004;0024;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;0
0024-0004-0001;0024-0004;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;0
0024-0004-0001-0001;0024-0004-0001;d;Podzadanie 15.5.1;Kształtowanie i koordynacja współpracy międzynarodowej organów administracji rządowej w odniesieniu do spraw zagranicznych;0
0024-0004-0001-0001-0001;0024-0004-0001-0001;e;Część 31;PRACA;0
0024-0004-0001-0001-0002;0024-0004-0001-0001;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;0
0024-0004-0001-0001-0003;0024-0004-0001-0001;e;Część 63;RODZINA;0
0024-0004-0001-0002;0024-0004-0001;d;Podzadanie 15.5.2;Kształtowanie i koordynacja współpracy międzynarodowej organów administracji rządowej w odniesieniu do spraw członkowstwa Polski w UE;0
0024-0004-0001-0002-0001;0024-0004-0001-0002;e;Część 31;PRACA;0
0024-0004-0001-0002-0002;0024-0004-0001-0002;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;0
0024-0004-0001-0002-0003;0024-0004-0001-0002;e;Część 63;RODZINA;0
0024-0004-0001-0003;0024-0004-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;0
0024-0004-0001-0003-0001;0024-0004-0001-0003;e;Część 31;PRACA;0
0024-0004-0001-0003-0002;0024-0004-0001-0003;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;0
0024-0004-0001-0003-0003;0024-0004-0001-0003;e;Część 63;RODZINA;0
0024-0005;0024;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0024-0005-0001;0024-0005;c;Zadanie 16.2;Podtrzymywanie tożsamości kulturowej mniejszości narodowych i etnicznych;0
0024-0005-0001-0001;0024-0005-0001;d;Podzadanie 16.2.2;Realizacja zasady równego traktowania osób bez względu na pochodzenie etniczne;0
0024-0005-0001-0001-0001;0024-0005-0001-0001;e;Część 63;RODZINA;0
0024-0005-0002;0024-0005;c;Zadanie 16.8;Budowa społeczeństwa obywatelskiego;0
0024-0005-0002-0001;0024-0005-0002;d;Podzadanie 16.8.3;Nadzór i kontrola nad organizacjami pożytku publicznego oraz fundacjami, dla których ministrem właściwym jest Minister Pracy i Polityki Społecznej;0
0024-0005-0002-0001-0001;0024-0005-0002-0001;e;Część 31;PRACA;0
0024-0005-0002-0001-0002;0024-0005-0002-0001;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;0
0024-0005-0002-0001-0003;0024-0005-0002-0001;e;Część 63;RODZINA;0
0024-0006;0024;b;FUNKCJA 17;RÓWNOMIERNY ROZWÓJ KRAJU;369493
0024-0006-0001;0024-0006;c;Zadanie 17.1;Wsparcie rozwoju regionalnego kraju;754
0024-0006-0001-0001;0024-0006-0001;d;Podzadanie 17.1.2;Wsparcie rozwoju poszczególnych województw w ramach 16 RPO;754
0024-0006-0001-0001-0001;0024-0006-0001-0001;e;Część 31;PRACA;754
0024-0006-0002;0024-0006;c;Zadanie 17.3;Koordynacja realizacji NSRO 2007-2013 oraz zarządzanie i wdrażanie programów operacyjnych;368739
0024-0006-0002-0001;0024-0006-0002;d;Podzadanie 17.3.7;Rozliczanie środków pochodzących z UE w ramach NSRO;0
0024-0006-0002-0001-0001;0024-0006-0002-0001;e;Część 31;PRACA;0
0024-0006-0002-0002;0024-0006-0002;d;Podzadanie 17.3.10;Wdrażanie PO Infrastruktura i Środowisko;368739
0024-0006-0002-0002-0001;0024-0006-0002-0002;e;Część 31;PRACA;368739
0024-0006-0003;0024-0006;c;Zadanie 17.4;Zarządzanie realizacją pozostałych programów finansowanych z udziałem niepodlegających zwrotowi środków pomocowych;0
0024-0006-0003-0001;0024-0006-0003;d;Podzadanie 17.4.2;Zarządzanie realizacją zadań w ramach Szwajcarsko-Polskiego Programu Współpracy (SPPW);0
0024-0006-0003-0001-0001;0024-0006-0003-0001;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;0
0024-0007;0024;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;0
0024-0007-0001;0024-0007;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;0
0024-0007-0001-0002;0024-0007-0001;d;Część 31;PRACA;0
0024-0007-0001-0003;0024-0007-0001;d;Część 44;ZABEZPIECZENIE SPOŁECZNE;0
0024-0007-0001-0004;0024-0007-0001;d;Część 63;RODZINA;0
0024-0007-0002;0024-0007;c;Zadanie 22.2;Obsługa administracyjna;0
0024-0007-0002-0005;0024-0007-0002;d;Część 31;PRACA;0
0024-0007-0002-0006;0024-0007-0002;d;Część 44;ZABEZPIECZENIE SPOŁECZNE;0
0024-0007-0002-0007;0024-0007-0002;d;Część 63;RODZINA;0
0024-0007-0003;0024-0007;c;Zadanie 22.3;Obsługa techniczna;0
0024-0007-0003-0008;0024-0007-0003;d;Część 31;PRACA;0
0024-0007-0003-0009;0024-0007-0003;d;Część 44;ZABEZPIECZENIE SPOŁECZNE;0
0024-0007-0003-0010;0024-0007-0003;d;Część 63;RODZINA;0
0025;;a;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;10277660
0025-0001;0025;b;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;5173
0025-0001-0001;0025-0001;c;Zadanie 3.1;Edukacja i wychowanie;5173
0025-0001-0001-0001;0025-0001-0001;d;Podzadanie 3.1.2;Kształcenie ogólne, zawodowe i ustawiczne;5173
0025-0001-0001-0001-0001;0025-0001-0001-0001;e;Część 32;ROLNICTWO;5173
0025-0001-0001-0002;0025-0001-0001;d;Podzadanie 3.1.3;Kształcenie i doskonalenie nauczycieli oraz kształtowanie ich pragmatyki zawodowej;0
0025-0001-0001-0002-0001;0025-0001-0001-0002;e;Część 32;ROLNICTWO;0
0025-0001-0001-0002-0002;0025-0001-0001-0002;e;Część 33;ROZWÓJ WSI;0
0025-0001-0001-0003;0025-0001-0001;d;Podzadanie 3.1.6;Edukacja pozalekcyjna i pozaszkolna;0
0025-0001-0001-0003-0001;0025-0001-0001-0003;e;Część 32;ROLNICTWO;0
0025-0001-0001-0004;0025-0001-0001;d;Podzadanie 3.1.9;Prowadzenie działalności edukacyjnej, badawczej i popularyzatorskiej przez IPN;0
0025-0001-0001-0004-0001;0025-0001-0001-0004;e;Część 32;ROLNICTWO;0
0025-0002;0025;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;0
0025-0002-0001;0025-0002;c;Zadanie 6.12;Ochrona konkurencji i konsumentów;0
0025-0002-0001-0001;0025-0002-0001;d;Podzadanie 6.12.4;Realizacja zadań w zakresie jakości handlowej artykułów rolno-spożywczych;0
0025-0002-0001-0001-0001;0025-0002-0001-0001;e;Część 35;RYNKI ROLNE;0
0025-0003;0025;b;FUNKCJA 9;KULTURA I DZIEDZICTWO NARODOWE;0
0025-0003-0001;0025-0003;c;Zadanie 9.2;Ochrona dziedzictwa narodowego;0
0025-0003-0001-0001;0025-0003-0001;d;Podzadanie 9.2.1;Utrzymywanie muzeów;0
0025-0003-0001-0001-0001;0025-0003-0001-0001;e;Część 32;ROLNICTWO;0
0025-0003-0001-0002;0025-0003-0001;d;Podzadanie 9.2.5;Utrzymywanie i powiększanie zasobów archiwalnych i filmowych;0
0025-0003-0001-0002-0001;0025-0003-0001-0002;e;Część 32;ROLNICTWO;0
0025-0004;0025;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;0
0025-0004-0001;0025-0004;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;0
0025-0004-0001-0001;0025-0004-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;0
0025-0004-0001-0001-0001;0025-0004-0001-0001;e;Część 32;ROLNICTWO;0
0025-0004-0001-0001-0002;0025-0004-0001-0001;e;Część 33;ROZWÓJ WSI;0
0025-0004-0001-0001-0003;0025-0004-0001-0001;e;Część 35;RYNKI ROLNE;0
0025-0004-0001-0001-0004;0025-0004-0001-0001;e;Część 62;RYBOŁÓWSTWO;0
0025-0005;0025;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;0
0025-0005-0001;0025-0005;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;0
0025-0005-0001-0001;0025-0005-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;0
0025-0005-0001-0001-0001;0025-0005-0001-0001;e;Część 32;ROLNICTWO;0
0025-0005-0001-0001-0002;0025-0005-0001-0001;e;Część 33;ROZWÓJ WSI;0
0025-0005-0001-0001-0003;0025-0005-0001-0001;e;Część 35;RYNKI ROLNE;0
0025-0005-0001-0001-0004;0025-0005-0001-0001;e;Część 62;RYBOŁÓWSTWO;0
0025-0006;0025;b;FUNKCJA 21;POLITYKA ROLNA I RYBACKA;10272487
0025-0006-0001;0025-0006;c;Zadanie 21.1;Wspieranie rozwoju produkcji roślinnej i ochrona roślin uprawnych;0
0025-0006-0001-0001;0025-0006-0001;d;Podzadanie 21.1.1;Wspieranie postępu biologicznego w produkcji roślinnej;0
0025-0006-0001-0001-0001;0025-0006-0001-0001;e;Część 32;ROLNICTWO;0
0025-0006-0001-0002;0025-0006-0001;d;Podzadanie 21.1.2;Badania, rejestracja, rekomendacja i ochrona prawna odmian roślin uprawnych;0
0025-0006-0001-0002-0001;0025-0006-0001-0002;e;Część 32;ROLNICTWO;0
0025-0006-0001-0003;0025-0006-0001;d;Podzadanie 21.1.3;Nadzór nad zdrowiem roślin, obrotem i stosowaniem środków ochrony roślin oraz wytwarzaniem, oceną i obrotem materiałem siewnym;0
0025-0006-0001-0003-0001;0025-0006-0001-0003;e;Część 32;ROLNICTWO;0
0025-0006-0001-0004;0025-0006-0001;d;Podzadanie 21.1.4;Ochrona roślin;0
0025-0006-0001-0004-0001;0025-0006-0001-0004;e;Część 32;ROLNICTWO;0
0025-0006-0002;0025-0006;c;Zadanie 21.2;Wspieranie rozwoju produkcji zwierzęcej i hodowli zwierząt;0
0025-0006-0002-0001;0025-0006-0002;d;Podzadanie 21.2.1;Wspieranie postępu biologicznego w produkcji zwierzęcej;0
0025-0006-0002-0001-0001;0025-0006-0002-0001;e;Część 32;ROLNICTWO;0
0025-0006-0002-0002;0025-0006-0002;d;Podzadanie 21.2.2;Wspieranie działalności kontrolnej;0
0025-0006-0002-0002-0001;0025-0006-0002-0002;e;Część 32;ROLNICTWO;0
0025-0006-0003;0025-0006;c;Zadanie 21.3;Ochrona zdrowia i dobrostanu zwierząt oraz zdrowia publicznego w zakresie weterynarii;0
0025-0006-0003-0001;0025-0006-0003;d;Podzadanie 21.3.1;Ochrona zdrowia i dobrostanu zwierząt;0
0025-0006-0003-0001-0001;0025-0006-0003-0001;e;Część 32;ROLNICTWO;0
0025-0006-0003-0002;0025-0006-0003;d;Podzadanie 21.3.2;Nadzór nad zdrowotną jakością środków spożywczych pochodzenia zwierzęcego i pasz w miejscach ich pozyskiwania, wytwarzania, przetwarzania i składowania;0
0025-0006-0003-0002-0001;0025-0006-0003-0002;e;Część 32;ROLNICTWO;0
0025-0006-0003-0003;0025-0006-0003;d;Podzadanie 21.3.3;Realizacja zadań laboratoriów referencyjnych i innych zadań zleconych;0
0025-0006-0003-0003-0001;0025-0006-0003-0003;e;Część 32;ROLNICTWO;0
0025-0006-0004;0025-0006;c;Zadanie 21.4;Kształtowanie ustroju rolnego państwa oraz rolnictwo ekologiczne i żywność regionalna, tradycyjna i systemy jakości żywności;0
0025-0006-0004-0001;0025-0006-0004;d;Podzadanie 21.4.1;Kształtowanie ustroju rolnego państwa;0
0025-0006-0004-0001-0001;0025-0006-0004-0001;e;Część 32;ROLNICTWO;0
0025-0006-0004-0001-0002;0025-0006-0004-0001;e;Część 35;RYNKI ROLNE;0
0025-0006-0004-0002;0025-0006-0004;d;Podzadanie 21.4.2;Rolnictwo ekologiczne;0
0025-0006-0004-0002-0001;0025-0006-0004-0002;e;Część 32;ROLNICTWO;0
0025-0006-0004-0002-0002;0025-0006-0004-0002;e;Część 33;ROZWÓJ WSI;0
0025-0006-0004-0002-0003;0025-0006-0004-0002;e;Część 35;RYNKI ROLNE;0
0025-0006-0004-0003;0025-0006-0004;d;Podzadanie 21.4.3;Żywność regionalna, tradycyjna i systemy jakości żywności;0
0025-0006-0004-0003-0001;0025-0006-0004-0003;e;Część 32;ROLNICTWO;0
0025-0006-0004-0003-0002;0025-0006-0004-0003;e;Część 33;ROZWÓJ WSI;0
0025-0006-0004-0003-0003;0025-0006-0004-0003;e;Część 35;RYNKI ROLNE;0
0025-0006-0004-0004;0025-0006-0004;d;Podzadanie 21.4.4;Agrochemiczna obsługa rolnictwa w Polsce;0
0025-0006-0004-0004-0001;0025-0006-0004-0004;e;Część 32;ROLNICTWO;0
0025-0006-0005;0025-0006;c;Zadanie 21.6;Wspieranie rybactwa śródlądowego i rybołówstwa morskiego;249747
0025-0006-0005-0001;0025-0006-0005;d;Podzadanie 21.6.1;Wspieranie rybactwa śródlądowego;0
0025-0006-0005-0001-0001;0025-0006-0005-0001;e;Część 62;RYBOŁÓWSTWO;0
0025-0006-0005-0002;0025-0006-0005;d;Podzadanie 21.6.2;Wspieranie rybołówstwa morskiego;0
0025-0006-0005-0002-0001;0025-0006-0005-0002;e;Część 62;RYBOŁÓWSTWO;0
0025-0006-0005-0003;0025-0006-0005;d;Podzadanie 21.6.3;PO Zrównoważony rozwój sektora rybołówstwa i nadbrzeżnych obszarów rybackich 2007-2013;249747
0025-0006-0005-0003-0001;0025-0006-0005-0003;e;Część 62;RYBOŁÓWSTWO;249747
0025-0006-0006;0025-0006;c;Zadanie 21.7;Realizacja Wspólnej Polityki Rolnej oraz pomocy krajowej;10022740
0025-0006-0006-0001;0025-0006-0006;d;Podzadanie 21.7.1;Doradztwo rolnicze;0
0025-0006-0006-0001-0001;0025-0006-0006-0001;e;Część 33;ROZWÓJ WSI;0
0025-0006-0006-0002;0025-0006-0006;d;Podzadanie 21.7.2;Pomoc krajowa;0
0025-0006-0006-0002-0001;0025-0006-0006-0002;e;Część 32;ROLNICTWO;0
0025-0006-0006-0002-0002;0025-0006-0006-0002;e;Część 33;ROZWÓJ WSI;0
0025-0006-0006-0002-0003;0025-0006-0006-0002;e;Część 35;RYNKI ROLNE;0
0025-0006-0006-0003;0025-0006-0006;d;Podzadanie 21.7.3;WPR finansowane z EFRG;971322
0025-0006-0006-0003-0001;0025-0006-0006-0003;e;Część 33;ROZWÓJ WSI;674764
0025-0006-0006-0003-0002;0025-0006-0006-0003;e;Część 35;RYNKI ROLNE;296558
