ID;Rodzic;Poziom;Typ;Treść;Budżet Państwa
0021-0002-0002;0021-0002;c;Zadanie 9.2;Ochrona dziedzictwa narodowego;581192
0021-0002-0002-0001;0021-0002-0002;d;Podzadanie 9.2.1;Utrzymywanie muzeów;263476
0021-0002-0002-0001-0001;0021-0002-0002-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;263476
0021-0002-0002-0002;0021-0002-0002;d;Podzadanie 9.2.2;Ochrona Polskiego dziedzictwa kulturowego w kraju i za granicą;2848
0021-0002-0002-0002-0001;0021-0002-0002-0002;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;2848
0021-0002-0002-0003;0021-0002-0002;d;Podzadanie 9.2.3;Zachowanie, utrzymanie i zagospodarowanie zabytków;52475
0021-0002-0002-0003-0001;0021-0002-0002-0003;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;52475
0021-0002-0002-0004;0021-0002-0002;d;Podzadanie 9.2.4;Dokumentacja, rejestry i ewidencja zabytków oraz dóbr kultury;20992
0021-0002-0002-0004-0001;0021-0002-0002-0004;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;20992
0021-0002-0002-0005;0021-0002-0002;d;Podzadanie 9.2.5;Utrzymywanie i powiększanie zasobów archiwalnych i filmowych;123540
0021-0002-0002-0005-0001;0021-0002-0002-0005;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;123540
0021-0002-0002-0006;0021-0002-0002;d;Podzadanie 9.2.6;Utrzymywanie bibliotek oraz innych instytucji, działających w sektorze książki;117861
0021-0002-0002-0006-0001;0021-0002-0002-0006;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;117861
0021-0002-0003;0021-0002;c;Zadanie 9.3;Działalność artystyczna i promocja kultury;396321
0021-0002-0003-0001;0021-0002-0003;d;Podzadanie 9.3.1;Wspieranie działalności artystycznej;239646
0021-0002-0003-0001-0001;0021-0002-0003-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;239646
0021-0002-0003-0002;0021-0002-0003;d;Podzadanie 9.3.2;Upowszechnianie i promocja kultury polskiej;145894
0021-0002-0003-0002-0001;0021-0002-0003-0002;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;145894
0021-0002-0003-0003;0021-0002-0003;d;Podzadanie 9.3.3;Wspieranie kinematografii;10781
0021-0002-0003-0003-0001;0021-0002-0003-0003;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;10781
0021-0002-0004;0021-0002;c;Zadanie 9.4;Budowa i modernizacja infrastruktury kultury;134395
0021-0002-0004-0001;0021-0002-0004;d;Podzadanie 9.4.1;Budowa obiektów w sferze kultury;53820
0021-0002-0004-0001-0001;0021-0002-0004-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;53820
0021-0002-0004-0002;0021-0002-0004;d;Podzadanie 9.4.2;Modernizacja i wyposażanie obiektów służących kulturze;80575
0021-0002-0004-0002-0001;0021-0002-0004-0002;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;80575
0021-0003;0021;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;11539
0021-0003-0001;0021-0003;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;11539
0021-0003-0001-0001;0021-0003-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;11539
0021-0003-0001-0001-0001;0021-0003-0001-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;11539
0021-0004;0021;b;FUNKCJA 17;RÓWNOMIERNY ROZWÓJ KRAJU;132863
0021-0004-0001;0021-0004;c;Zadanie 17.1;Wsparcie rozwoju regionalnego kraju;2628
0021-0004-0001-0001;0021-0004-0001;d;Podzadanie 17.1.2;Wsparcie rozwoju poszczególnych województw w ramach 16 RPO;2628
0021-0004-0001-0001-0001;0021-0004-0001-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;2628
0021-0004-0002;0021-0004;c;Zadanie 17.3;Koordynacja realizacji NSRO 2007-2013 oraz zarządzanie i wdrażanie programów operacyjnych;76829
0021-0004-0002-0001;0021-0004-0002;d;Podzadanie 17.3.10;Wdrażanie PO Infrastruktura i Środowisko;76829
0021-0004-0002-0001-0001;0021-0004-0002-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;76829
0021-0004-0002-0002;0021-0004-0002;d;Podzadanie 17.3.13;Wdrażanie PO Europejskiej Współpracy Terytorialnej i Europejskiego Instrumentu Sąsiedztwa i Partnerstwa;0
0021-0004-0002-0002-0001;0021-0004-0002-0002;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;0
0021-0004-0003;0021-0004;c;Zadanie 17.4;Zarządzanie realizacją pozostałych programów finansowanych z udziałem niepodlegających zwrotowi środków pomocowych;53406
0021-0004-0003-0001;0021-0004-0003;d;Podzadanie 17.4.1;Zarządzanie realizacją zadań w ramach Mechanizmu Finansowego EOG oraz Norweskiego Mechanizmu Finansowego;752
0021-0004-0003-0001-0001;0021-0004-0003-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;752
0021-0004-0003-0002;0021-0004-0003;d;Podzadanie 17.4.3;Wdrażanie projektów w ramach Mechanizmu Finansowego EOG oraz Norweskiego Mechanizmu Finansowego;52654
0021-0004-0003-0002-0001;0021-0004-0003-0002;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;52654
0021-0005;0021;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;49521
0021-0005-0001;0021-0005;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;19026
0021-0005-0001-0002;0021-0005-0001;d;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;19026
0021-0005-0002;0021-0005;c;Zadanie 22.2;Obsługa administracyjna;17813
0021-0005-0002-0003;0021-0005-0002;d;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;17813
0021-0005-0003;0021-0005;c;Zadanie 22.3;Obsługa techniczna;12682
0021-0005-0003-0004;0021-0005-0003;d;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;12682
0022;;a;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;14208350
0022-0001;0022;b;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;9506799
0022-0001-0001;0022-0001;c;Zadanie 3.2;Szkolnictwo wyższe;9506799
0022-0001-0001-0001;0022-0001-0001;d;Podzadanie 3.2.1;Zarządzanie systemem szkolnictwa wyższego;28892
0022-0001-0001-0001-0001;0022-0001-0001-0001;e;Część 38;SZKOLNICTWO  WYśSZE;28892
0022-0001-0001-0002;0022-0001-0001;d;Podzadanie 3.2.2;Kształcenie w szkolnictwie wyższym akademickim;7462965
0022-0001-0001-0002-0001;0022-0001-0001-0002;e;Część 38;SZKOLNICTWO  WYśSZE;7462965
0022-0001-0001-0003;0022-0001-0001;d;Podzadanie 3.2.4;Wsparcie procesu studiowania;1565599
0022-0001-0001-0003-0001;0022-0001-0001-0003;e;Część 38;SZKOLNICTWO  WYśSZE;1565599
0022-0001-0001-0004;0022-0001-0001;d;Podzadanie 3.2.5;Infrastruktura szkolnictwa wyższego;310389
0022-0001-0001-0004-0001;0022-0001-0001-0004;e;Część 38;SZKOLNICTWO  WYśSZE;310389
0022-0001-0001-0005;0022-0001-0001;d;Podzadanie 3.2.6;Program wieloletni ``Budowa kampusu 600-lecia Odnowienia Uniwersytetu Jagiellońskiego``;55000
0022-0001-0001-0005-0001;0022-0001-0001-0005;e;Część 38;SZKOLNICTWO  WYśSZE;55000
0022-0001-0001-0006;0022-0001-0001;d;Podzadanie 3.2.7;Program wieloletni ``Uniwersytet im. Adama Mickiewicza w Poznaniu 2004-2015``;83954
0022-0001-0001-0006-0001;0022-0001-0001-0006;e;Część 38;SZKOLNICTWO  WYśSZE;83954
0022-0002;0022;b;FUNKCJA 10;NAUKA POLSKA;4572923
0022-0002-0001;0022-0002;c;Zadanie 10.1;Prowadzenie badań naukowych;2894573
0022-0002-0001-0001;0022-0002-0001;d;Podzadanie 10.1.1;Wspieranie badań naukowych;2894573
0022-0002-0001-0001-0001;0022-0002-0001-0001;e;Część 28;NAUKA;2894573
0022-0002-0002;0022-0002;c;Zadanie 10.2;Wzmocnienie badań naukowych służących praktycznym zastosowaniom;1141345
0022-0002-0002-0001;0022-0002-0002;d;Podzadanie 10.2.1;Wsparcie badań stosowanych i prac rozwojowych;972571
0022-0002-0002-0001-0001;0022-0002-0002-0001;e;Część 28;NAUKA;972571
0022-0002-0002-0002;0022-0002-0002;d;Podzadanie 10.2.2;Program wieloletni ``Poprawa bezpieczeństwa i warunków pracy – I i II etap``;10500
0022-0002-0002-0002-0001;0022-0002-0002-0002;e;Część 28;NAUKA;10500
0022-0002-0002-0003;0022-0002-0002;d;Podzadanie 10.2.3;Program wieloletni ``Polskie Sztuczne Serce``;3474
0022-0002-0002-0003-0001;0022-0002-0002-0003;e;Część 28;NAUKA;3474
0022-0002-0002-0004;0022-0002-0002;d;Podzadanie 10.2.4;Badania naukowe w dziedzinie obronności;154800
0022-0002-0002-0004-0001;0022-0002-0002-0004;e;Część 28;NAUKA;154800
0022-0002-0003;0022-0002;c;Zadanie 10.3;Rozbudowa infrastruktury nauki polskiej;272080
0022-0002-0003-0001;0022-0002-0003;d;Podzadanie 10.3.1;Inwestycje wspierające badania naukowe;272080
0022-0002-0003-0001-0001;0022-0002-0003-0001;e;Część 28;NAUKA;272080
0022-0002-0004;0022-0002;c;Zadanie 10.4;Upowszechnianie, promocja oraz popularyzacja nauki;28480
0022-0002-0004-0001;0022-0002-0004;d;Podzadanie 10.4.2;Program wieloletni ``Ekspozycja Centrum Nauki Kopernik``;20680
0022-0002-0004-0001-0001;0022-0002-0004-0001;e;Część 28;NAUKA;20680
0022-0002-0004-0002;0022-0002-0004;d;Podzadanie 10.4.3;Poszerzanie wiedzy o nauce polskiej oraz wzbogacanie kultury narodowej;7800
0022-0002-0004-0002-0001;0022-0002-0004-0002;e;Część 28;NAUKA;7800
0022-0002-0005;0022-0002;c;Zadanie 10.5;Informatyzacja działalności i budowa społeczeństwa informacyjnego;236445
0022-0002-0005-0001;0022-0002-0005;d;Podzadanie 10.5.1;Utrzymanie systemów informatycznych nauki;20000
0022-0002-0005-0001-0001;0022-0002-0005-0001;e;Część 28;NAUKA;20000
0022-0002-0005-0002;0022-0002-0005;d;Podzadanie 10.5.2;Rozbudowa infrastruktury informatycznej nauki;216445
0022-0002-0005-0002-0001;0022-0002-0005-0002;e;Część 28;NAUKA;216445
0022-0003;0022;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;0
0022-0003-0001;0022-0003;c;Zadanie 11.1;Utrzymanie zdolności obronnych;0
0022-0003-0001-0001;0022-0003-0001;d;Podzadanie 11.1.9;Wsparcie utrzymania zdolności operacyjnych;0
0022-0003-0001-0001-0001;0022-0003-0001-0001;e;Część 38;SZKOLNICTWO  WYśSZE;0
0022-0004;0022;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;35752
0022-0004-0001;0022-0004;c;Zadanie 15.4;Kształtowanie międzynarodowego wizerunku RP;32224
0022-0004-0001-0001;0022-0004-0001;d;Podzadanie 15.4.1;Prowadzenie promocji kraju;32224
0022-0004-0001-0001-0001;0022-0004-0001-0001;e;Część 38;SZKOLNICTWO  WYśSZE;32224
0022-0004-0002;0022-0004;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;3528
0022-0004-0002-0001;0022-0004-0002;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;3528
0022-0004-0002-0001-0001;0022-0004-0002-0001;e;Część 28;NAUKA;3265
0022-0004-0002-0001-0002;0022-0004-0002-0001;e;Część 38;SZKOLNICTWO  WYśSZE;263
0022-0005;0022;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;4664
0022-0005-0001;0022-0005;c;Zadanie 16.4;Wspieranie Polonii i Polaków za granicą;4664
0022-0005-0001-0001;0022-0005-0001;d;Podzadanie 16.4.1;Współpraca i wspieranie Polonii i Polaków za granicą;4664
0022-0005-0001-0001-0001;0022-0005-0001-0001;e;Część 38;SZKOLNICTWO  WYśSZE;4664
0022-0006;0022;b;FUNKCJA 20;ZDROWIE;10131
0022-0006-0001;0022-0006;c;Zadanie 20.1;Zapewnianie dostępu do świadczeń opieki zdrowotnej;10131
0022-0006-0001-0001;0022-0006-0001;d;Podzadanie 20.1.6;Składki na ubezpieczenia zdrowotne opłacane z budżetu państwa za osoby uprawnione;10131
0022-0006-0001-0001-0001;0022-0006-0001-0001;e;Część 38;SZKOLNICTWO  WYśSZE;10131
0022-0007;0022;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;78081
0022-0007-0001;0022-0007;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;4704
0022-0007-0001-0002;0022-0007-0001;d;Część 28;NAUKA;4689
0022-0007-0001-0003;0022-0007-0001;d;Część 38;SZKOLNICTWO  WYśSZE;15
0022-0007-0002;0022-0007;c;Zadanie 22.2;Obsługa administracyjna;61481
0022-0007-0002-0004;0022-0007-0002;d;Część 28;NAUKA;46805
0022-0007-0002-0005;0022-0007-0002;d;Część 38;SZKOLNICTWO  WYśSZE;14676
0022-0007-0003;0022-0007;c;Zadanie 22.3;Obsługa techniczna;11896
0022-0007-0003-0006;0022-0007-0003;d;Część 28;NAUKA;8231
0022-0007-0003-0007;0022-0007-0003;d;Część 38;SZKOLNICTWO  WYśSZE;3665
0023;;a;Dysponent;Ministerstwo Obrony Narodowej;27259614
0023-0001;0023;b;FUNKCJA 2;BEZPIECZEŃSTWO WEWNĘTRZNE I PORZĄDEK PUBLICZNY;39276
0023-0001-0001;0023-0001;c;Zadanie 2.3;Strzeżenie praworządności i czuwanie nad ściganiem przestępstw przez prokuraturę;39276
0023-0001-0001-0001;0023-0001-0001;d;Podzadanie 2.3.1;Przygotowanie postępowania przygotowawczego i procesowego;39276
0023-0001-0001-0001-0001;0023-0001-0001-0001;e;Część 29;OBRONA NARODOWA;39276
0023-0002;0023;b;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;294434
0023-0002-0001;0023-0002;c;Zadanie 3.2;Szkolnictwo wyższe;294434
0023-0002-0001-0001;0023-0002-0001;d;Podzadanie 3.2.2;Kształcenie w szkolnictwie wyższym akademickim;272694
0023-0002-0001-0001-0001;0023-0002-0001-0001;e;Część 29;OBRONA NARODOWA;272694
0023-0002-0001-0002;0023-0002-0001;d;Podzadanie 3.2.5;Infrastruktura szkolnictwa wyższego;21740
0023-0002-0001-0002-0001;0023-0002-0001-0002;e;Część 29;OBRONA NARODOWA;21740
0023-0003;0023;b;FUNKCJA 5;OCHRONA PRAW I INTERESÓW SKARBU PAŃSTWA;0
0023-0003-0001;0023-0003;c;Zadanie 5.1;Gospodarowanie mieniem Skarbu Państwa;0
0023-0003-0001-0001;0023-0003-0001;d;Podzadanie 5.1.1;Przekształcenia własnościowe (prywatyzacja);0
0023-0003-0001-0001-0001;0023-0003-0001-0001;e;Część 29;OBRONA NARODOWA;0
0023-0003-0001-0002;0023-0003-0001;d;Podzadanie 5.1.3;Zarządzanie mieniem Skarbu Państwa;0
0023-0003-0001-0002-0001;0023-0003-0001-0002;e;Część 29;OBRONA NARODOWA;0
0023-0004;0023;b;FUNKCJA 7;GOSPODARKA PRZESTRZENNA, BUDOWNICTWO I MIESZKALNICTWO;0
0023-0004-0001;0023-0004;c;Zadanie 7.1;Wspieranie budownictwa;0
0023-0004-0001-0001;0023-0004-0001;d;Podzadanie 7.1.1;Termomodernizacja i remonty zasobów mieszkaniowych;0
0023-0004-0001-0001-0001;0023-0004-0001-0001;e;Część 29;OBRONA NARODOWA;0
0023-0005;0023;b;FUNKCJA 9;KULTURA I DZIEDZICTWO NARODOWE;48215
0023-0005-0001;0023-0005;c;Zadanie 9.2;Ochrona dziedzictwa narodowego;16525
0023-0005-0001-0001;0023-0005-0001;d;Podzadanie 9.2.1;Utrzymywanie muzeów;16525
0023-0005-0001-0001-0001;0023-0005-0001-0001;e;Część 29;OBRONA NARODOWA;16525
0023-0005-0002;0023-0005;c;Zadanie 9.4;Budowa i modernizacja infrastruktury kultury;31690
0023-0005-0002-0001;0023-0005-0002;d;Podzadanie 9.4.1;Budowa obiektów w sferze kultury;23650
0023-0005-0002-0001-0001;0023-0005-0002-0001;e;Część 29;OBRONA NARODOWA;23650
0023-0005-0002-0002;0023-0005-0002;d;Podzadanie 9.4.2;Modernizacja i wyposażanie obiektów służących kulturze;8040
0023-0005-0002-0002-0001;0023-0005-0002-0002;e;Część 29;OBRONA NARODOWA;8040
0023-0006;0023;b;FUNKCJA 10;NAUKA POLSKA;38313
0023-0006-0001;0023-0006;c;Zadanie 10.2;Wzmocnienie badań naukowych służących praktycznym zastosowaniom;38313
0023-0006-0001-0001;0023-0006-0001;d;Podzadanie 10.2.4;Badania naukowe w dziedzinie obronności;38313
0023-0006-0001-0001-0001;0023-0006-0001-0001;e;Część 29;OBRONA NARODOWA;38313
0023-0007;0023;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;20462036
0023-0007-0001;0023-0007;c;Zadanie 11.1;Utrzymanie zdolności obronnych;11618722
0023-0007-0001-0001;0023-0007-0001;d;Podzadanie 11.1.1;Utrzymanie zdolności operacyjnych Wojsk Lądowych;2876824
0023-0007-0001-0001-0001;0023-0007-0001-0001;e;Część 29;OBRONA NARODOWA;2876824
0023-0007-0001-0002;0023-0007-0001;d;Podzadanie 11.1.2;Utrzymanie zdolności operacyjnych Sił Powietrznych;1360557
0023-0007-0001-0002-0001;0023-0007-0001-0002;e;Część 29;OBRONA NARODOWA;1360557
0023-0007-0001-0003;0023-0007-0001;d;Podzadanie 11.1.3;Utrzymanie zdolności operacyjnych Marynarki Wojennej;606344
0023-0007-0001-0003-0001;0023-0007-0001-0003;e;Część 29;OBRONA NARODOWA;606344
0023-0007-0001-0004;0023-0007-0001;d;Podzadanie 11.1.4;Utrzymanie zdolności operacyjnych Wojsk Specjalnych;242470
0023-0007-0001-0004-0001;0023-0007-0001-0004;e;Część 29;OBRONA NARODOWA;242470
0023-0007-0001-0005;0023-0007-0001;d;Podzadanie 11.1.5;Utrzymanie zdolności operacyjnych Żandarmerii Wojskowej;228304
0023-0007-0001-0005-0001;0023-0007-0001-0005;e;Część 29;OBRONA NARODOWA;228304
0023-0007-0001-0006;0023-0007-0001;d;Podzadanie 11.1.6;Zabezpieczenie dowodzenia Siłami Zbrojnymi RP;260816
0023-0007-0001-0006-0001;0023-0007-0001-0006;e;Część 29;OBRONA NARODOWA;260816
0023-0007-0001-0007;0023-0007-0001;d;Podzadanie 11.1.7;Zabezpieczenie logistyczne zdolności operacyjnych SZ;5419689
0023-0007-0001-0007-0001;0023-0007-0001-0007;e;Część 29;OBRONA NARODOWA;5419689
0023-0007-0001-0008;0023-0007-0001;d;Podzadanie 11.1.8;Zabezpieczenie medyczne zdolności operacyjnych SZ;145920
0023-0007-0001-0008-0001;0023-0007-0001-0008;e;Część 29;OBRONA NARODOWA;145920
0023-0007-0001-0009;0023-0007-0001;d;Podzadanie 11.1.10;Zakwaterowanie Sił Zbrojnych;477798
0023-0007-0001-0009-0001;0023-0007-0001-0009;e;Część 29;OBRONA NARODOWA;477798
0023-0007-0002;0023-0007;c;Zadanie 11.2;Rozwój zdolności obronnych;7191803
0023-0007-0002-0001;0023-0007-0002;d;Podzadanie 11.2.1;Programy operacyjne;7056143
0023-0007-0002-0001-0001;0023-0007-0002-0001;e;Część 29;OBRONA NARODOWA;7056143
0023-0007-0002-0002;0023-0007-0002;d;Podzadanie 11.2.2;Programy NATO i UE;135660
0023-0007-0002-0002-0001;0023-0007-0002-0002;e;Część 29;OBRONA NARODOWA;135660
0023-0007-0003;0023-0007;c;Zadanie 11.3;Wsparcie wywiadowcze i ochrona kontrwywiadowcza;263763
0023-0007-0003-0001;0023-0007-0003;d;Podzadanie 11.3.1;Wsparcie wywiadowcze;106260
0023-0007-0003-0001-0001;0023-0007-0003-0001;e;Część 29;OBRONA NARODOWA;106260
0023-0007-0003-0002;0023-0007-0003;d;Podzadanie 11.3.2;Ochrona kontrwywiadowcza;157503
0023-0007-0003-0002-0001;0023-0007-0003-0002;e;Część 29;OBRONA NARODOWA;157503
0023-0007-0004;0023-0007;c;Zadanie 11.4;Realizacja zobowiązań sojuszniczych i międzynarodowych oraz uczestnictwo w działaniach na rzecz pokoju i stabilizacji międzynarodowej;1108143
0023-0007-0004-0001;0023-0007-0004;d;Podzadanie 11.4.1;Misje i operacje NATO, UE oraz koalicyjne;772428
0023-0007-0004-0001-0001;0023-0007-0004-0001;e;Część 29;OBRONA NARODOWA;772428
0023-0007-0004-0002;0023-0007-0004;d;Podzadanie 11.4.2;Działalność w strukturach NATO, UE oraz przedstawicielstw dyplomatycznych i strukturach wielonarodowych;335715
0023-0007-0004-0002-0001;0023-0007-0004-0002;e;Część 29;OBRONA NARODOWA;335715
0023-0007-0005;0023-0007;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;24200
0023-0007-0005-0001;0023-0007-0005;d;Podzadanie 11.5.1;Mobilizacja gospodarki;23000
0023-0007-0005-0001-0001;0023-0007-0005-0001;e;Część 29;OBRONA NARODOWA;23000
0023-0007-0005-0002;0023-0007-0005;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;1200
0023-0007-0005-0002-0001;0023-0007-0005-0002;e;Część 29;OBRONA NARODOWA;1200
0023-0007-0006;0023-0007;c;Zadanie 11.6;Posługa duszpasterska;24867
0023-0007-0006-0001;0023-0007-0006;d;Podzadanie 11.6.1;Posługa duszpasterska Ordynariatu Polowego WP;20530
0023-0007-0006-0001-0001;0023-0007-0006-0001;e;Część 29;OBRONA NARODOWA;20530
0023-0007-0006-0002;0023-0007-0006;d;Podzadanie 11.6.2;Posługa duszpasterska Ordynariatu Prawosławnego;2682
0023-0007-0006-0002-0001;0023-0007-0006-0002;e;Część 29;OBRONA NARODOWA;2682
0023-0007-0006-0003;0023-0007-0006;d;Podzadanie 11.6.3;Posługa duszpasterska Ewangelickiego Duszpasterstwa Wojskowego;1655
0023-0007-0006-0003-0001;0023-0007-0006-0003;e;Część 29;OBRONA NARODOWA;1655
0023-0007-0007;0023-0007;c;Zadanie 11.7;Informatyzacja działalności i budowa społeczeństwa informacyjnego;230538
0023-0007-0007-0001;0023-0007-0007;d;Podzadanie 11.7.1;Utrzymanie systemów informatycznych;160565
0023-0007-0007-0001-0001;0023-0007-0007-0001;e;Część 29;OBRONA NARODOWA;160565
0023-0007-0007-0002;0023-0007-0007;d;Podzadanie 11.7.2;Budowa i wdrożenie rozwiązań informatycznych;69973
0023-0007-0007-0002-0001;0023-0007-0007-0002;e;Część 29;OBRONA NARODOWA;69973
0023-0008;0023;b;FUNKCJA 13;ZABEZPIECZENIE SPOŁECZNE I WSPIERANIE RODZINY;6019702
0023-0008-0001;0023-0008;c;Zadanie 13.3;Ubezpieczenia społeczne;6019702
0023-0008-0001-0001;0023-0008-0001;d;Podzadanie 13.3.5;Świadczenia emerytalne dla funkcjonariuszy i żołnierzy;5773836
0023-0008-0001-0001-0001;0023-0008-0001-0001;e;Część 29;OBRONA NARODOWA;5773836
0023-0008-0001-0002;0023-0008-0001;d;Podzadanie 13.3.6;Uposażenia dla sędziów i prokuratorów  w stanie spoczynku i uposażenia rodzinne;319
0023-0008-0001-0002-0001;0023-0008-0001-0002;e;Część 29;OBRONA NARODOWA;319
0023-0008-0001-0003;0023-0008-0001;d;Podzadanie 13.3.10;Świadczenia pieniężne dla żołnierzy zwolnionych z zawodowej służby wojskowej;245547
0023-0008-0001-0003-0001;0023-0008-0001-0003;e;Część 29;OBRONA NARODOWA;245547
0023-0009;0023;b;FUNKCJA 14;RYNEK PRACY;14631
0023-0009-0001;0023-0009;c;Zadanie 14.1;Wspieranie zatrudnienia i przeciwdziałanie bezrobociu;14631
0023-0009-0001-0001;0023-0009-0001;d;Podzadanie 14.1.1;Wspieranie programów aktywizacji;14631
0023-0009-0001-0001-0001;0023-0009-0001-0001;e;Część 29;OBRONA NARODOWA;14631
0023-0010;0023;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;3248
0023-0010-0001;0023-0010;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;3248
0023-0010-0001-0001;0023-0010-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;3248
0023-0010-0001-0001-0001;0023-0010-0001-0001;e;Część 29;OBRONA NARODOWA;3248
0023-0011;0023;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;8620
0023-0011-0001;0023-0011;c;Zadanie 16.8;Budowa społeczeństwa obywatelskiego;8620
0023-0011-0001-0001;0023-0011-0001;d;Podzadanie 16.8.1;Tworzenie warunków dla rozwoju podmiotów prowadzących działalność pożytku publicznego, współpracy tych podmiotów z organami administracji publicznej oraz dialogu obywatelskiego;8620
0023-0011-0001-0001-0001;0023-0011-0001-0001;e;Część 29;OBRONA NARODOWA;8620
0023-0012;0023;b;FUNKCJA 18;SPRAWIEDLIWOŚĆ;20289
0023-0012-0001;0023-0012;c;Zadanie 18.1;Sprawowanie wymiaru sprawiedliwości przez sądy powszechne i wojskowe;20289
0023-0012-0001-0001;0023-0012-0001;d;Podzadanie 18.1.1;Działalność orzecznicza;18216
0023-0012-0001-0001-0001;0023-0012-0001-0001;e;Część 29;OBRONA NARODOWA;18216
0023-0012-0001-0002;0023-0012-0001;d;Podzadanie 18.1.4;Zapewnienie warunków organizacyjnych i technicznych funkcjonowania sądów;2073
0023-0012-0001-0002-0001;0023-0012-0001-0002;e;Część 29;OBRONA NARODOWA;2073
0023-0013;0023;b;FUNKCJA 20;ZDROWIE;104732
0023-0013-0001;0023-0013;c;Zadanie 20.1;Zapewnianie dostępu do świadczeń opieki zdrowotnej;8238
0023-0013-0001-0001;0023-0013-0001;d;Podzadanie 20.1.5;Zapewnianie funkcjonowania publicznej służby krwi;6800
0023-0013-0001-0001-0001;0023-0013-0001-0001;e;Część 29;OBRONA NARODOWA;6800
0023-0013-0001-0002;0023-0013-0001;d;Podzadanie 20.1.6;Składki na ubezpieczenia zdrowotne opłacane z budżetu państwa za osoby uprawnione;1438
0023-0013-0001-0002-0001;0023-0013-0001-0002;e;Część 29;OBRONA NARODOWA;1438
0023-0013-0002;0023-0013;c;Zadanie 20.4;Wspieranie rozwoju i restrukturyzacji systemu ochrony zdrowia;96494
0023-0013-0002-0001;0023-0013-0002;d;Podzadanie 20.4.1;Inwestycje w infrastrukturę w ochronie zdrowia;96494
0023-0013-0002-0001-0001;0023-0013-0002-0001;e;Część 29;OBRONA NARODOWA;96494
0023-0014;0023;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;206118
0023-0014-0001;0023-0014;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;149345
0023-0014-0001-0002;0023-0014-0001;d;Część 29;OBRONA NARODOWA;149345
