ID;Rodzic;Poziom;Typ;Treść;Budżet Państwa
0020-0008-0005-0001-0001;0020-0008-0005-0001;e;Część 39;TRANSPORT;0
0020-0008-0005-0002;0020-0008-0005;d;Podzadanie 19.5.2;Wspieranie transportu intermodalnego;0
0020-0008-0005-0002-0001;0020-0008-0005-0002;e;Część 39;TRANSPORT;0
0020-0008-0005-0003;0020-0008-0005;d;Podzadanie 19.5.3;Wspieranie rozwoju transportu miejskiego;0
0020-0008-0005-0003-0001;0020-0008-0005-0003;e;Część 39;TRANSPORT;0
0020-0009;0020;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;80779
0020-0009-0001;0020-0009;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;29891
0020-0009-0001-0002;0020-0009-0001;d;Część 18;BUDOWNICTWO,  GOSPODARKA  PRZESTRZENNA  I MIESZKANIOWA;10163
0020-0009-0001-0003;0020-0009-0001;d;Część 21;GOSPODARKA  MORSKA;1549
0020-0009-0001-0004;0020-0009-0001;d;Część 26;ŁĄCZNOŚĆ;2462
0020-0009-0001-0005;0020-0009-0001;d;Część 39;TRANSPORT;15717
0020-0009-0002;0020-0009;c;Zadanie 22.2;Obsługa administracyjna;26199
0020-0009-0002-0006;0020-0009-0002;d;Część 18;BUDOWNICTWO,  GOSPODARKA  PRZESTRZENNA  I MIESZKANIOWA;6015
0020-0009-0002-0007;0020-0009-0002;d;Część 21;GOSPODARKA  MORSKA;2388
0020-0009-0002-0008;0020-0009-0002;d;Część 26;ŁĄCZNOŚĆ;2235
0020-0009-0002-0009;0020-0009-0002;d;Część 39;TRANSPORT;15561
0020-0009-0003;0020-0009;c;Zadanie 22.3;Obsługa techniczna;24689
0020-0009-0003-0010;0020-0009-0003;d;Część 18;BUDOWNICTWO,  GOSPODARKA  PRZESTRZENNA  I MIESZKANIOWA;9819
0020-0009-0003-0011;0020-0009-0003;d;Część 21;GOSPODARKA  MORSKA;2209
0020-0009-0003-0012;0020-0009-0003;d;Część 26;ŁĄCZNOŚĆ;2945
0020-0009-0003-0013;0020-0009-0003;d;Część 39;TRANSPORT;9716
0021;;a;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;2838007
0021-0001;0021;b;FUNKCJA 2;BEZPIECZEŃSTWO WEWNĘTRZNE I PORZĄDEK PUBLICZNY;50
0021-0001-0001;0021-0001;c;Zadanie 2.5; Zarządzanie kryzysowe i obrona cywilna;50
0021-0001-0001-0001;0021-0001-0001;d;Podzadanie 2.5.1;Koordynacja przedsięwzięć z zakresu zarządzania kryzysowego;40
0021-0001-0001-0001-0001;0021-0001-0001-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;40
0021-0001-0001-0002;0021-0001-0001;d;Podzadanie 2.5.3;Obrona cywilna;10
0021-0001-0001-0002-0001;0021-0001-0001-0002;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;10
0021-0002;0021;b;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;1187363
0021-0002-0001;0021-0002;c;Zadanie 3.1;Edukacja i wychowanie;722977
0021-0002-0001-0001;0021-0002-0001;d;Podzadanie 3.1.2;Kształcenie ogólne, zawodowe i ustawiczne;669484
0021-0002-0001-0001-0001;0021-0002-0001-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;669484
0021-0002-0001-0002;0021-0002-0001;d;Podzadanie 3.1.3;Kształcenie i doskonalenie nauczycieli oraz kształtowanie ich pragmatyki zawodowej;6263
0021-0002-0001-0002-0001;0021-0002-0001-0002;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;6263
0021-0002-0001-0003;0021-0002-0001;d;Podzadanie 3.1.7;Wspieranie dostępu do podręczników;27430
0021-0002-0001-0003-0001;0021-0002-0001-0003;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;27430
0021-0002-0001-0004;0021-0002-0001;d;Podzadanie 3.1.9;Prowadzenie działalności edukacyjnej, badawczej i popularyzatorskiej przez IPN;19800
0021-0002-0001-0004-0001;0021-0002-0001-0004;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;19800
0021-0002-0002;0021-0002;c;Zadanie 3.2;Szkolnictwo wyższe;464386
0021-0002-0002-0001;0021-0002-0002;d;Podzadanie 3.2.1;Zarządzanie systemem szkolnictwa wyższego;837
0021-0002-0002-0001-0001;0021-0002-0002-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;837
0021-0002-0002-0002;0021-0002-0002;d;Podzadanie 3.2.2;Kształcenie w szkolnictwie wyższym akademickim;412229
0021-0002-0002-0002-0001;0021-0002-0002-0002;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;412229
0021-0002-0002-0003;0021-0002-0002;d;Podzadanie 3.2.3;Kształcenie w szkolnictwie wyższym zawodowym;29720
0021-0002-0002-0003-0001;0021-0002-0002-0003;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;29720
0021-0002-0002-0004;0021-0002-0002;d;Podzadanie 3.2.4;Wsparcie procesu studiowania;21600
0021-0002-0002-0004-0001;0021-0002-0002-0004;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;21600
0021-0003;0021;b;FUNKCJA 9;KULTURA I DZIEDZICTWO NARODOWE;1566205
0021-0003-0001;0021-0003;c;Zadanie 9.1;Podtrzymywanie i rozpowszechnianie tradycji narodowej i państwowej;32483
0021-0003-0001-0001;0021-0003-0001;d;Podzadanie 9.1.1;Ochrona miejsc pamięci narodowej w kraju i za granicą;31847
0021-0003-0001-0001-0001;0021-0003-0001-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;31847
0021-0003-0001-0002;0021-0003-0001;d;Podzadanie 9.1.2;Restytucja dóbr kultury;636
0021-0003-0001-0002-0001;0021-0003-0001-0002;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;636
0021-0003-0002;0021-0003;c;Zadanie 9.2;Ochrona dziedzictwa narodowego;687353
0021-0003-0002-0001;0021-0003-0002;d;Podzadanie 9.2.1;Utrzymywanie muzeów;328819
0021-0003-0002-0001-0001;0021-0003-0002-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;328819
0021-0003-0002-0002;0021-0003-0002;d;Podzadanie 9.2.2;Ochrona Polskiego dziedzictwa kulturowego w kraju i za granicą;4007
0021-0003-0002-0002-0001;0021-0003-0002-0002;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;4007
0021-0003-0002-0003;0021-0003-0002;d;Podzadanie 9.2.3;Zachowanie, utrzymanie i zagospodarowanie zabytków;119320
0021-0003-0002-0003-0001;0021-0003-0002-0003;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;119320
0021-0003-0002-0004;0021-0003-0002;d;Podzadanie 9.2.4;Dokumentacja, rejestry i ewidencja zabytków oraz dóbr kultury;19265
0021-0003-0002-0004-0001;0021-0003-0002-0004;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;19265
0021-0003-0002-0005;0021-0003-0002;d;Podzadanie 9.2.5;Utrzymywanie i powiększanie zasobów archiwalnych i filmowych;215942
0021-0003-0002-0005-0001;0021-0003-0002-0005;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;215942
0021-0003-0003;0021-0003;c;Zadanie 9.3;Działalność artystyczna i promocja kultury;586429
0021-0003-0003-0001;0021-0003-0003;d;Podzadanie 9.3.1;Wspieranie działalności artystycznej;575354
0021-0003-0003-0001-0001;0021-0003-0003-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;575354
0021-0003-0003-0002;0021-0003-0003;d;Podzadanie 9.3.2;Upowszechnianie i promocja kultury polskiej;11075
0021-0003-0003-0002-0001;0021-0003-0003-0002;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;11075
0021-0003-0004;0021-0003;c;Zadanie 9.4;Budowa i modernizacja infrastruktury kultury;259940
0021-0003-0004-0001;0021-0003-0004;d;Podzadanie 9.4.1;Budowa obiektów w sferze kultury;152863
0021-0003-0004-0001-0001;0021-0003-0004-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;152863
0021-0003-0004-0002;0021-0003-0004;d;Podzadanie 9.4.2;Modernizacja i wyposażanie obiektów służących kulturze;107077
0021-0003-0004-0002-0001;0021-0003-0004-0002;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;107077
0021-0004;0021;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;112
0021-0004-0001;0021-0004;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;112
0021-0004-0001-0001;0021-0004-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;112
0021-0004-0001-0001-0001;0021-0004-0001-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;112
0021-0005;0021;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;0
0021-0005-0001;0021-0005;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;0
0021-0005-0001-0001;0021-0005-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;0
0021-0005-0001-0001-0001;0021-0005-0001-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;0
0021-0006;0021;b;FUNKCJA 17;RÓWNOMIERNY ROZWÓJ KRAJU;50152
0021-0006-0001;0021-0006;c;Zadanie 17.1;Wsparcie rozwoju regionalnego kraju;7465
0021-0006-0001-0001;0021-0006-0001;d;Podzadanie 17.1.2;Wsparcie rozwoju poszczególnych województw w ramach 16 RPO;7465
0021-0006-0001-0001-0001;0021-0006-0001-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;7465
0021-0006-0002;0021-0006;c;Zadanie 17.3;Koordynacja realizacji NSRO 2007-2013 oraz zarządzanie i wdrażanie programów operacyjnych;28780
0021-0006-0002-0001;0021-0006-0002;d;Podzadanie 17.3.6;Zarządzanie realizacją PO Europejskiej Współpracy Terytorialnej i Europejskiego Instrumentu Sąsiedztwa i Partnerstwa;321
0021-0006-0002-0001-0001;0021-0006-0002-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;321
0021-0006-0002-0002;0021-0006-0002;d;Podzadanie 17.3.7;Rozliczanie środków pochodzących z UE w ramach NSRO;2461
0021-0006-0002-0002-0001;0021-0006-0002-0002;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;2461
0021-0006-0002-0003;0021-0006-0002;d;Podzadanie 17.3.9;Wdrażanie PO Innowacyjna Gospodarka;25998
0021-0006-0002-0003-0001;0021-0006-0002-0003;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;25998
0021-0006-0003;0021-0006;c;Zadanie 17.4;Zarządzanie realizacją pozostałych programów finansowanych z udziałem niepodlegających zwrotowi środków pomocowych;13907
0021-0006-0003-0001;0021-0006-0003;d;Podzadanie 17.4.1;Zarządzanie realizacją zadań w ramach Mechanizmu Finansowego EOG oraz Norweskiego Mechanizmu Finansowego;11780
0021-0006-0003-0001-0001;0021-0006-0003-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;11780
0021-0006-0003-0002;0021-0006-0003;d;Podzadanie 17.4.2;Zarządzanie realizacją zadań w ramach Szwajcarsko-Polskiego Programu Współpracy (SPPW);2127
0021-0006-0003-0002-0001;0021-0006-0003-0002;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;2127
0021-0007;0021;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;34125
0021-0007-0001;0021-0007;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;10387
0021-0007-0001-0002;0021-0007-0001;d;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;10387
0021-0007-0002;0021-0007;c;Zadanie 22.2;Obsługa administracyjna;9621
0021-0007-0002-0003;0021-0007-0002;d;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;9621
0021-0007-0003;0021-0007;c;Zadanie 22.3;Obsługa techniczna;14117
0021-0007-0003-0004;0021-0007-0003;d;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;14117
0022;;a;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;14836414
0022-0001;0022;b;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;9660756
0022-0001-0001;0022-0001;c;Zadanie 3.2;Szkolnictwo wyższe;9660756
0022-0001-0001-0001;0022-0001-0001;d;Podzadanie 3.2.1;Zarządzanie systemem szkolnictwa wyższego;34329
0022-0001-0001-0001-0001;0022-0001-0001-0001;e;Część 38;SZKOLNICTWO  WYśSZE;34329
0022-0001-0001-0002;0022-0001-0001;d;Podzadanie 3.2.2;Kształcenie w szkolnictwie wyższym akademickim;7531478
0022-0001-0001-0002-0001;0022-0001-0001-0002;e;Część 38;SZKOLNICTWO  WYśSZE;7531478
0022-0001-0001-0003;0022-0001-0001;d;Podzadanie 3.2.3;Kształcenie w szkolnictwie wyższym zawodowym;1655240
0022-0001-0001-0003-0001;0022-0001-0001-0003;e;Część 38;SZKOLNICTWO  WYśSZE;1655240
0022-0001-0001-0004;0022-0001-0001;d;Podzadanie 3.2.4;Wsparcie procesu studiowania;439709
0022-0001-0001-0004-0001;0022-0001-0001-0004;e;Część 38;SZKOLNICTWO  WYśSZE;439709
0022-0002;0022;b;FUNKCJA 10;NAUKA POLSKA;5084434
0022-0002-0001;0022-0002;c;Zadanie 10.1;Prowadzenie badań naukowych;3585195
0022-0002-0001-0001;0022-0002-0001;d;Podzadanie 10.1.1;Wspieranie badań naukowych;3017732
0022-0002-0001-0001-0001;0022-0002-0001-0001;e;Część 28;NAUKA;2995329
0022-0002-0001-0001-0002;0022-0002-0001-0001;e;Część 67;POLSKA AKADEMIA NAUK;22403
0022-0002-0001-0002;0022-0002-0001;d;Podzadanie 10.1.2;Rozbudowa infrastruktury badawczej nauki polskiej;567463
0022-0002-0001-0002-0001;0022-0002-0001-0002;e;Część 28;NAUKA;567463
0022-0002-0002;0022-0002;c;Zadanie 10.2;Wzmocnienie badań naukowych służących praktycznym zastosowaniom;1387315
0022-0002-0002-0001;0022-0002-0002;d;Podzadanie 10.2.1;Wsparcie badań stosowanych i prac rozwojowych;1304724
0022-0002-0002-0001-0001;0022-0002-0002-0001;e;Część 28;NAUKA;1304724
0022-0002-0002-0002;0022-0002-0002;d;Podzadanie 10.2.2;Program wieloletni ``Poprawa bezpieczeństwa i warunków pracy – I i II etap``;82591
0022-0002-0002-0002-0001;0022-0002-0002-0002;e;Część 28;NAUKA;82591
0022-0002-0003;0022-0002;c;Zadanie 10.3;Rozbudowa infrastruktury nauki polskiej;111924
0022-0002-0003-0001;0022-0002-0003;d;Podzadanie 10.3.1;Inwestycje wspierające badania naukowe;24838
0022-0002-0003-0001-0001;0022-0002-0003-0001;e;Część 67;POLSKA AKADEMIA NAUK;24838
0022-0002-0003-0002;0022-0002-0003;d;Podzadanie 10.3.2;Poszerzanie wiedzy o nauce polskiej oraz wzbogacanie kultury narodowej;87086
0022-0002-0003-0002-0001;0022-0002-0003-0002;e;Część 28;NAUKA;53154
0022-0002-0003-0002-0002;0022-0002-0003-0002;e;Część 67;POLSKA AKADEMIA NAUK;33932
0022-0003;0022;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;39
0022-0003-0001;0022-0003;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;39
0022-0003-0001-0001;0022-0003-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;39
0022-0003-0001-0001-0001;0022-0003-0001-0001;e;Część 28;NAUKA;15
0022-0003-0001-0001-0002;0022-0003-0001-0001;e;Część 38;SZKOLNICTWO  WYśSZE;24
0022-0004;0022;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;7324
0022-0004-0001;0022-0004;c;Zadanie 15.4;Kształtowanie międzynarodowego wizerunku RP;6985
0022-0004-0001-0001;0022-0004-0001;d;Podzadanie 15.4.1;Prowadzenie promocji kraju;6985
0022-0004-0001-0001-0001;0022-0004-0001-0001;e;Część 38;SZKOLNICTWO  WYśSZE;6985
0022-0004-0002;0022-0004;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;339
0022-0004-0002-0001;0022-0004-0002;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;339
0022-0004-0002-0001-0001;0022-0004-0002-0001;e;Część 28;NAUKA;339
0022-0004-0002-0001-0002;0022-0004-0002-0001;e;Część 38;SZKOLNICTWO  WYśSZE;0
0022-0005;0022;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;431
0022-0005-0001;0022-0005;c;Zadanie 16.4;Wspieranie Polonii i Polaków za granicą;431
0022-0005-0001-0001;0022-0005-0001;d;Podzadanie 16.4.1;Współpraca i wspieranie Polonii i Polaków za granicą;431
0022-0005-0001-0001-0001;0022-0005-0001-0001;e;Część 38;SZKOLNICTWO  WYśSZE;431
0022-0006;0022;b;FUNKCJA 20;ZDROWIE;12042
0022-0006-0001;0022-0006;c;Zadanie 20.1;Zapewnianie dostępu do świadczeń opieki zdrowotnej;12042
0022-0006-0001-0001;0022-0006-0001;d;Podzadanie 20.1.1;Organizacja oraz nadzór nad systemem opieki zdrowotnej;12042
0022-0006-0001-0001-0001;0022-0006-0001-0001;e;Część 38;SZKOLNICTWO  WYśSZE;12042
0022-0007;0022;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;71388
0022-0007-0001;0022-0007;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;18227
0022-0007-0001-0002;0022-0007-0001;d;Część 28;NAUKA;10551
0022-0007-0001-0003;0022-0007-0001;d;Część 38;SZKOLNICTWO  WYśSZE;7676
0022-0007-0002;0022-0007;c;Zadanie 22.2;Obsługa administracyjna;33425
0022-0007-0002-0004;0022-0007-0002;d;Część 28;NAUKA;30628
0022-0007-0002-0005;0022-0007-0002;d;Część 38;SZKOLNICTWO  WYśSZE;2797
0022-0007-0003;0022-0007;c;Zadanie 22.3;Obsługa techniczna;19736
0022-0007-0003-0006;0022-0007-0003;d;Część 28;NAUKA;15896
0022-0007-0003-0007;0022-0007-0003;d;Część 38;SZKOLNICTWO  WYśSZE;3840
0023;;a;Dysponent;Ministerstwo Obrony Narodowej;29303017
0023-0001;0023;b;FUNKCJA 2;BEZPIECZEŃSTWO WEWNĘTRZNE I PORZĄDEK PUBLICZNY;40859
0023-0001-0001;0023-0001;c;Zadanie 2.3;Strzeżenie praworządności i czuwanie nad ściganiem przestępstw przez prokuraturę;40859
0023-0001-0001-0001;0023-0001-0001;d;Podzadanie 2.3.1;Przygotowanie postępowania przygotowawczego i procesowego;40859
0023-0001-0001-0001-0001;0023-0001-0001-0001;e;Część 29;OBRONA NARODOWA;40859
0023-0002;0023;b;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;309305
0023-0002-0001;0023-0002;c;Zadanie 3.2;Szkolnictwo wyższe;309305
0023-0002-0001-0001;0023-0002-0001;d;Podzadanie 3.2.1;Zarządzanie systemem szkolnictwa wyższego;79
0023-0002-0001-0001-0001;0023-0002-0001-0001;e;Część 29;OBRONA NARODOWA;79
0023-0002-0001-0002;0023-0002-0001;d;Podzadanie 3.2.2;Kształcenie w szkolnictwie wyższym akademickim;274025
0023-0002-0001-0002-0001;0023-0002-0001-0002;e;Część 29;OBRONA NARODOWA;274025
0023-0002-0001-0003;0023-0002-0001;d;Podzadanie 3.2.4;Wsparcie procesu studiowania;35201
0023-0002-0001-0003-0001;0023-0002-0001-0003;e;Część 29;OBRONA NARODOWA;35201
0023-0003;0023;b;FUNKCJA 5;OCHRONA PRAW I INTERESÓW SKARBU PAŃSTWA;0
0023-0003-0001;0023-0003;c;Zadanie 5.1;Gospodarowanie mieniem Skarbu Państwa;0
0023-0003-0001-0001;0023-0003-0001;d;Podzadanie 5.1.1;Przekształcenia własnościowe (prywatyzacja);0
0023-0003-0001-0001-0001;0023-0003-0001-0001;e;Część 29;OBRONA NARODOWA;0
0023-0003-0001-0002;0023-0003-0001;d;Podzadanie 5.1.3;Zarządzanie mieniem Skarbu Państwa;0
0023-0003-0001-0002-0001;0023-0003-0001-0002;e;Część 29;OBRONA NARODOWA;0
0023-0004;0023;b;FUNKCJA 9;KULTURA I DZIEDZICTWO NARODOWE;53875
0023-0004-0001;0023-0004;c;Zadanie 9.2;Ochrona dziedzictwa narodowego;16925
0023-0004-0001-0001;0023-0004-0001;d;Podzadanie 9.2.1;Utrzymywanie muzeów;16925
0023-0004-0001-0001-0001;0023-0004-0001-0001;e;Część 29;OBRONA NARODOWA;16925
0023-0004-0002;0023-0004;c;Zadanie 9.4;Budowa i modernizacja infrastruktury kultury;36950
0023-0004-0002-0001;0023-0004-0002;d;Podzadanie 9.4.1;Budowa obiektów w sferze kultury;15150
0023-0004-0002-0001-0001;0023-0004-0002-0001;e;Część 29;OBRONA NARODOWA;15150
0023-0004-0002-0002;0023-0004-0002;d;Podzadanie 9.4.2;Modernizacja i wyposażanie obiektów służących kulturze;21800
0023-0004-0002-0002-0001;0023-0004-0002-0002;e;Część 29;OBRONA NARODOWA;21800
0023-0005;0023;b;FUNKCJA 10;NAUKA POLSKA;30712
0023-0005-0001;0023-0005;c;Zadanie 10.2;Wzmocnienie badań naukowych służących praktycznym zastosowaniom;30712
0023-0005-0001-0001;0023-0005-0001;d;Podzadanie 10.2.1;Wsparcie badań stosowanych i prac rozwojowych;30712
0023-0005-0001-0001-0001;0023-0005-0001-0001;e;Część 29;OBRONA NARODOWA;30712
0023-0006;0023;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;22115318
0023-0006-0001;0023-0006;c;Zadanie 11.1;Utrzymanie zdolności obronnych;12017935
0023-0006-0001-0001;0023-0006-0001;d;Podzadanie 11.1.1;Utrzymanie zdolności operacyjnych Wojsk Lądowych;2755613
0023-0006-0001-0001-0001;0023-0006-0001-0001;e;Część 29;OBRONA NARODOWA;2755613
0023-0006-0001-0002;0023-0006-0001;d;Podzadanie 11.1.2;Utrzymanie zdolności operacyjnych Sił Powietrznych;1388530
0023-0006-0001-0002-0001;0023-0006-0001-0002;e;Część 29;OBRONA NARODOWA;1388530
0023-0006-0001-0003;0023-0006-0001;d;Podzadanie 11.1.3;Utrzymanie zdolności operacyjnych Marynarki Wojennej;628945
0023-0006-0001-0003-0001;0023-0006-0001-0003;e;Część 29;OBRONA NARODOWA;628945
0023-0006-0001-0004;0023-0006-0001;d;Podzadanie 11.1.4;Utrzymanie zdolności operacyjnych Wojsk Specjalnych;291959
0023-0006-0001-0004-0001;0023-0006-0001-0004;e;Część 29;OBRONA NARODOWA;291959
0023-0006-0001-0005;0023-0006-0001;d;Podzadanie 11.1.5;Utrzymanie zdolności operacyjnych Żandarmerii Wojskowej;201022
0023-0006-0001-0005-0001;0023-0006-0001-0005;e;Część 29;OBRONA NARODOWA;201022
0023-0006-0001-0006;0023-0006-0001;d;Podzadanie 11.1.6;Zabezpieczenie dowodzenia Siłami Zbrojnymi RP;434308
0023-0006-0001-0006-0001;0023-0006-0001-0006;e;Część 29;OBRONA NARODOWA;434308
0023-0006-0001-0007;0023-0006-0001;d;Podzadanie 11.1.7;Zabezpieczenie logistyczne zdolności operacyjnych SZ;5412506
0023-0006-0001-0007-0001;0023-0006-0001-0007;e;Część 29;OBRONA NARODOWA;5412506
0023-0006-0001-0008;0023-0006-0001;d;Podzadanie 11.1.8;Zabezpieczenie medyczne zdolności operacyjnych SZ;158944
0023-0006-0001-0008-0001;0023-0006-0001-0008;e;Część 29;OBRONA NARODOWA;158944
0023-0006-0001-0009;0023-0006-0001;d;Podzadanie 11.1.9;Wsparcie utrzymania zdolności operacyjnych;746108
0023-0006-0001-0009-0001;0023-0006-0001-0009;e;Część 29;OBRONA NARODOWA;746108
0023-0006-0002;0023-0006;c;Zadanie 11.2;Rozwój zdolności obronnych;8891457
0023-0006-0002-0001;0023-0006-0002;d;Podzadanie 11.2.1;Programy operacyjne;8633285
0023-0006-0002-0001-0001;0023-0006-0002-0001;e;Część 29;OBRONA NARODOWA;8633285
0023-0006-0002-0002;0023-0006-0002;d;Podzadanie 11.2.2;Programy NATO i UE;258172
0023-0006-0002-0002-0001;0023-0006-0002-0002;e;Część 29;OBRONA NARODOWA;258172
0023-0006-0003;0023-0006;c;Zadanie 11.3;Wsparcie wywiadowcze i ochrona kontrwywiadowcza;282295
0023-0006-0003-0001;0023-0006-0003;d;Podzadanie 11.3.1;Wsparcie wywiadowcze;120053
0023-0006-0003-0001-0001;0023-0006-0003-0001;e;Część 29;OBRONA NARODOWA;120053
0023-0006-0003-0002;0023-0006-0003;d;Podzadanie 11.3.2;Ochrona kontrwywiadowcza;162242
0023-0006-0003-0002-0001;0023-0006-0003-0002;e;Część 29;OBRONA NARODOWA;162242
0023-0006-0004;0023-0006;c;Zadanie 11.4;Realizacja zobowiązań sojuszniczych i międzynarodowych oraz uczestnictwo w działaniach na rzecz pokoju i stabilizacji międzynarodowej;895461
0023-0006-0004-0001;0023-0006-0004;d;Podzadanie 11.4.1;Misje i operacje NATO, UE oraz koalicyjne;568155
0023-0006-0004-0001-0001;0023-0006-0004-0001;e;Część 29;OBRONA NARODOWA;568155
0023-0006-0004-0002;0023-0006-0004;d;Podzadanie 11.4.2;Działalność w strukturach NATO, UE oraz przedstawicielstw dyplomatycznych i strukturach wielonarodowych;327306
0023-0006-0004-0002-0001;0023-0006-0004-0002;e;Część 29;OBRONA NARODOWA;327306
0023-0006-0005;0023-0006;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;28170
0023-0006-0005-0001;0023-0006-0005;d;Podzadanie 11.5.1;Mobilizacja gospodarki;27000
0023-0006-0005-0001-0001;0023-0006-0005-0001;e;Część 29;OBRONA NARODOWA;27000
0023-0006-0005-0002;0023-0006-0005;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;1170
0023-0006-0005-0002-0001;0023-0006-0005-0002;e;Część 29;OBRONA NARODOWA;1170
0023-0007;0023;b;FUNKCJA 13;ZABEZPIECZENIE SPOŁECZNE I WSPIERANIE RODZINY;6370323
0023-0007-0001;0023-0007;c;Zadanie 13.3;Ubezpieczenia społeczne;6360803
0023-0007-0001-0001;0023-0007-0001;d;Podzadanie 13.3.3;Świadczenia społeczne żołnierzy i funkcjonariuszy;6358532
0023-0007-0001-0001-0001;0023-0007-0001-0001;e;Część 29;OBRONA NARODOWA;6358532
0023-0007-0001-0002;0023-0007-0001;d;Podzadanie 13.3.4;Prewencja i rehabilitacja;2271
0023-0007-0001-0002-0001;0023-0007-0001-0002;e;Część 29;OBRONA NARODOWA;2271
0023-0007-0002;0023-0007;c;Zadanie 13.6;Przeciwdziałanie dyskryminacji;9520
