ID;Rodzic;Poziom;Numer;Koszty;Ogółem
120000-D-005-002;120000-D-005;d;D.5.2;składki na Fundusz Pracy;515
120000-D-005-003;120000-D-005;d;D.5.3;składki na Fundusz Gwarantowanych Świadczeń Pracowniczych;0
120000-D-005-004;120000-D-005;d;D.5.4;pozostałe świadczenia;538
120000-D-006;120000-D;c;D.6;koszty funkcjonowania Rady Funduszu;0
120000-D-007;120000-D;c;D.7;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych zakupionych ze środków własnych Funduszu;4304
120000-D-008;120000-D;c;D.8;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych otrzymanych nieodpłatnie;263
120000-D-009;120000-D;c;D.9;pozostałe koszty administracyjne;307
120000-E;120000;b;E;Pozostałe koszty ;20970
120000-E-001;120000-E;c;E.1;wydanie i utrzymanie kart ubezpieczenia (w tym części stałych i zamiennych książeczek usług medycznych) oraz recept;10
120000-E-002;120000-E;c;E.2;rezerwa na zobowiązania wynikające z postępowań sądowych;18295
120000-E-003;120000-E;c;E.3;inne rezerwy;0
120000-E-004;120000-E;c;E.4;inne koszty;2665
120000-F;120000;b;F;Koszty finansowe;181
120000-G;120000;b;G;Koszty poboru i ewidencjonowania składek;0
120000-H;120000;b;H;Obowiązkowy odpis na rezerwę ogólną;0
140000;;a;140000;MAZOWIECKIE;9094585
140000-A;140000;b;A;Koszty świadczeń zdrowotnych,  w tym:;8762582
140000-A-001;140000-A;c;A.1;podstawowa opieka zdrowotna;1011000
140000-A-002;140000-A;c;A.2;ambulatoryjna opieka specjalistyczna;662374
140000-A-003;140000-A;c;A.3;leczenie szpitalne, w tym:;4135340
140000-A-004;140000-A;c;A.4;opieka psychiatryczna i leczenie uzależnień;304442
140000-A-005;140000-A;c;A.5;rehabilitacja lecznicza;363759
140000-A-006;140000-A;c;A.6;świadczenia pielęgnacyjne i opiekuńcze w ramach opieki długoterminowej;129345
140000-A-007;140000-A;c;A.7;opieka paliatywna i hospicyjna;37242
140000-A-008;140000-A;c;A.8;leczenie stomatologiczne;210173
140000-A-009;140000-A;c;A.9;lecznictwo uzdrowiskowe;95731
140000-A-010;140000-A;c;A.10;pomoc doraźna i transport sanitarny;5439
140000-A-011;140000-A;c;A.11;koszty profilaktycznych programów zdrowotnych finansowanych ze środków własnych Funduszu;15463
140000-A-012;140000-A;c;A.12;świadczenia zdrowotne kontraktowane odrębnie;206002
140000-A-013;140000-A;c;A.13;zaopatrzenie w sprzęt ortopedyczny, środki pomocnicze i lecznicze środki techniczne;80000
140000-A-014;140000-A;c;A.14;refundacja cen leków, w tym:;1283382
140000-A-015;140000-A;c;A.15;rezerwa na koszty realizacji zadań wynikajacych z przepisów o koordynacji;0
140000-A-016;140000-A;c;A.16;rezerwa na pokrycie kosztów świadczeń zdrowotnych oraz refundacji cen leków;0
140000-A-017;140000-A;c;A.17;rezerwa na koszty świadczeń opieki zdrowotnej w ramach migracji ubezpieczonych;217798
140000-A-018;140000-A;c;A.18;koszty świadczeń zdrowotnych z lat ubiegłych;5092
140000-B;140000;b;B;Koszty programów polityki zdrowotnej realizowanych na zlecenie ;0
140000-C;140000;b;C;Koszty realizacji zadań zespołów ratownictwa medycznego;218521
140000-D;140000;b;D;Koszty administracyjne, w tym;65162
140000-D-001;140000-D;c;D.1;zużycie materiałów i energii;1990
140000-D-002;140000-D;c;D.2;usługi obce;11238
140000-D-003;140000-D;c;D.3;podatki i opłaty, w tym:;407
140000-D-003-001;140000-D-003;d;D.3.1;podatki stanowiące dochody własne jednostek samorządu terytorialnego, w tym:;25
140000-D-003-002;140000-D-003;d;D.3.2;opłaty stanowiące dochody własne jednostek samorządu terytorialnego;37
140000-D-003-003;140000-D-003;d;D.3.3;VAT;0
140000-D-003-004;140000-D-003;d;D.3.4;podatek akcyzowy;0
140000-D-003-005;140000-D-003;d;D.3.5;wpłaty na PFRON;320
140000-D-003-006;140000-D-003;d;D.3.6;inne;25
140000-D-004;140000-D;c;D.4;wynagrodzenia;38918
140000-D-005;140000-D;c;D.5;ubezpieczenie społeczne i inne świadczenia, w tym:;7829
140000-D-005-001;140000-D-005;d;D.5.1;składki na Fundusz Ubezpieczeń Społecznych;5912
140000-D-005-002;140000-D-005;d;D.5.2;składki na Fundusz Pracy;953
140000-D-005-003;140000-D-005;d;D.5.3;składki na Fundusz Gwarantowanych Świadczeń Pracowniczych;0
140000-D-005-004;140000-D-005;d;D.5.4;pozostałe świadczenia;964
140000-D-006;140000-D;c;D.6;koszty funkcjonowania Rady Funduszu;0
140000-D-007;140000-D;c;D.7;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych zakupionych ze środków własnych Funduszu;4429
140000-D-008;140000-D;c;D.8;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych otrzymanych nieodpłatnie;87
140000-D-009;140000-D;c;D.9;pozostałe koszty administracyjne;264
140000-E;140000;b;E;Pozostałe koszty ;37578
140000-E-001;140000-E;c;E.1;wydanie i utrzymanie kart ubezpieczenia (w tym części stałych i zamiennych książeczek usług medycznych) oraz recept;103
140000-E-002;140000-E;c;E.2;rezerwa na zobowiązania wynikające z postępowań sądowych;34675
140000-E-003;140000-E;c;E.3;inne rezerwy;0
140000-E-004;140000-E;c;E.4;inne koszty;2800
140000-F;140000;b;F;Koszty finansowe;10742
140000-G;140000;b;G;Koszty poboru i ewidencjonowania składek;0
140000-H;140000;b;H;Obowiązkowy odpis na rezerwę ogólną;0
160000;;a;160000;OPOLSKIE;1498184
160000-A;160000;b;A;Koszty świadczeń zdrowotnych,  w tym:;1427958
160000-A-001;160000-A;c;A.1;podstawowa opieka zdrowotna;180827
160000-A-002;160000-A;c;A.2;ambulatoryjna opieka specjalistyczna;101000
160000-A-003;160000-A;c;A.3;leczenie szpitalne, w tym:;570095
160000-A-004;160000-A;c;A.4;opieka psychiatryczna i leczenie uzależnień;43700
160000-A-005;160000-A;c;A.5;rehabilitacja lecznicza;43000
160000-A-006;160000-A;c;A.6;świadczenia pielęgnacyjne i opiekuńcze w ramach opieki długoterminowej;42200
160000-A-007;160000-A;c;A.7;opieka paliatywna i hospicyjna;8000
160000-A-008;160000-A;c;A.8;leczenie stomatologiczne;47000
160000-A-009;160000-A;c;A.9;lecznictwo uzdrowiskowe;13500
160000-A-010;160000-A;c;A.10;pomoc doraźna i transport sanitarny;1400
160000-A-011;160000-A;c;A.11;koszty profilaktycznych programów zdrowotnych finansowanych ze środków własnych Funduszu;4300
160000-A-012;160000-A;c;A.12;świadczenia zdrowotne kontraktowane odrębnie;31000
160000-A-013;160000-A;c;A.13;zaopatrzenie w sprzęt ortopedyczny, środki pomocnicze i lecznicze środki techniczne;18500
160000-A-014;160000-A;c;A.14;refundacja cen leków, w tym:;203300
160000-A-015;160000-A;c;A.15;rezerwa na koszty realizacji zadań wynikajacych z przepisów o koordynacji;0
160000-A-016;160000-A;c;A.16;rezerwa na pokrycie kosztów świadczeń zdrowotnych oraz refundacji cen leków;0
160000-A-017;160000-A;c;A.17;rezerwa na koszty świadczeń opieki zdrowotnej w ramach migracji ubezpieczonych;119236
160000-A-018;160000-A;c;A.18;koszty świadczeń zdrowotnych z lat ubiegłych;900
160000-B;160000;b;B;Koszty programów polityki zdrowotnej realizowanych na zlecenie ;0
160000-C;160000;b;C;Koszty realizacji zadań zespołów ratownictwa medycznego;48908
160000-D;160000;b;D;Koszty administracyjne, w tym;14477
160000-D-001;160000-D;c;D.1;zużycie materiałów i energii;850
160000-D-002;160000-D;c;D.2;usługi obce;1900
160000-D-003;160000-D;c;D.3;podatki i opłaty, w tym:;104
160000-D-003-001;160000-D-003;d;D.3.1;podatki stanowiące dochody własne jednostek samorządu terytorialnego, w tym:;0
160000-D-003-002;160000-D-003;d;D.3.2;opłaty stanowiące dochody własne jednostek samorządu terytorialnego;0
160000-D-003-003;160000-D-003;d;D.3.3;VAT;0
160000-D-003-004;160000-D-003;d;D.3.4;podatek akcyzowy;0
160000-D-003-005;160000-D-003;d;D.3.5;wpłaty na PFRON;102
160000-D-003-006;160000-D-003;d;D.3.6;inne;2
160000-D-004;160000-D;c;D.4;wynagrodzenia;8128
160000-D-005;160000-D;c;D.5;ubezpieczenie społeczne i inne świadczenia, w tym:;1641
160000-D-005-001;160000-D-005;d;D.5.1;składki na Fundusz Ubezpieczeń Społecznych;1235
160000-D-005-002;160000-D-005;d;D.5.2;składki na Fundusz Pracy;199
160000-D-005-003;160000-D-005;d;D.5.3;składki na Fundusz Gwarantowanych Świadczeń Pracowniczych;0
160000-D-005-004;160000-D-005;d;D.5.4;pozostałe świadczenia;207
160000-D-006;160000-D;c;D.6;koszty funkcjonowania Rady Funduszu;0
160000-D-007;160000-D;c;D.7;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych zakupionych ze środków własnych Funduszu;1534
160000-D-008;160000-D;c;D.8;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych otrzymanych nieodpłatnie;132
160000-D-009;160000-D;c;D.9;pozostałe koszty administracyjne;188
160000-E;160000;b;E;Pozostałe koszty ;6841
160000-E-001;160000-E;c;E.1;wydanie i utrzymanie kart ubezpieczenia (w tym części stałych i zamiennych książeczek usług medycznych) oraz recept;1741
160000-E-002;160000-E;c;E.2;rezerwa na zobowiązania wynikające z postępowań sądowych;5000
160000-E-003;160000-E;c;E.3;inne rezerwy;0
160000-E-004;160000-E;c;E.4;inne koszty;100
160000-F;160000;b;F;Koszty finansowe;0
160000-G;160000;b;G;Koszty poboru i ewidencjonowania składek;0
160000-H;160000;b;H;Obowiązkowy odpis na rezerwę ogólną;0
180000;;a;180000;PODKARPACKIE;3072718
180000-A;180000;b;A;Koszty świadczeń zdrowotnych,  w tym:;2937791
180000-A-001;180000-A;c;A.1;podstawowa opieka zdrowotna;399500
180000-A-002;180000-A;c;A.2;ambulatoryjna opieka specjalistyczna;200500
180000-A-003;180000-A;c;A.3;leczenie szpitalne, w tym:;1203070
180000-A-004;180000-A;c;A.4;opieka psychiatryczna i leczenie uzależnień;85066
180000-A-005;180000-A;c;A.5;rehabilitacja lecznicza;108000
180000-A-006;180000-A;c;A.6;świadczenia pielęgnacyjne i opiekuńcze w ramach opieki długoterminowej;71453
180000-A-007;180000-A;c;A.7;opieka paliatywna i hospicyjna;14324
180000-A-008;180000-A;c;A.8;leczenie stomatologiczne;97500
180000-A-009;180000-A;c;A.9;lecznictwo uzdrowiskowe;28355
180000-A-010;180000-A;c;A.10;pomoc doraźna i transport sanitarny;2483
180000-A-011;180000-A;c;A.11;koszty profilaktycznych programów zdrowotnych finansowanych ze środków własnych Funduszu;5696
180000-A-012;180000-A;c;A.12;świadczenia zdrowotne kontraktowane odrębnie;68510
180000-A-013;180000-A;c;A.13;zaopatrzenie w sprzęt ortopedyczny, środki pomocnicze i lecznicze środki techniczne;32000
180000-A-014;180000-A;c;A.14;refundacja cen leków, w tym:;409585
180000-A-015;180000-A;c;A.15;rezerwa na koszty realizacji zadań wynikajacych z przepisów o koordynacji;0
180000-A-016;180000-A;c;A.16;rezerwa na pokrycie kosztów świadczeń zdrowotnych oraz refundacji cen leków;0
180000-A-017;180000-A;c;A.17;rezerwa na koszty świadczeń opieki zdrowotnej w ramach migracji ubezpieczonych;204214
180000-A-018;180000-A;c;A.18;koszty świadczeń zdrowotnych z lat ubiegłych;7535
180000-B;180000;b;B;Koszty programów polityki zdrowotnej realizowanych na zlecenie ;0
180000-C;180000;b;C;Koszty realizacji zadań zespołów ratownictwa medycznego;100094
180000-D;180000;b;D;Koszty administracyjne, w tym;22345
180000-D-001;180000-D;c;D.1;zużycie materiałów i energii;881
180000-D-002;180000-D;c;D.2;usługi obce;2269
180000-D-003;180000-D;c;D.3;podatki i opłaty, w tym:;106
180000-D-003-001;180000-D-003;d;D.3.1;podatki stanowiące dochody własne jednostek samorządu terytorialnego, w tym:;23
180000-D-003-002;180000-D-003;d;D.3.2;opłaty stanowiące dochody własne jednostek samorządu terytorialnego;0
180000-D-003-003;180000-D-003;d;D.3.3;VAT;0
180000-D-003-004;180000-D-003;d;D.3.4;podatek akcyzowy;0
180000-D-003-005;180000-D-003;d;D.3.5;wpłaty na PFRON;53
180000-D-003-006;180000-D-003;d;D.3.6;inne;30
180000-D-004;180000-D;c;D.4;wynagrodzenia;12812
180000-D-005;180000-D;c;D.5;ubezpieczenie społeczne i inne świadczenia, w tym:;2588
180000-D-005-001;180000-D-005;d;D.5.1;składki na Fundusz Ubezpieczeń Społecznych;1946
180000-D-005-002;180000-D-005;d;D.5.2;składki na Fundusz Pracy;314
180000-D-005-003;180000-D-005;d;D.5.3;składki na Fundusz Gwarantowanych Świadczeń Pracowniczych;0
180000-D-005-004;180000-D-005;d;D.5.4;pozostałe świadczenia;328
180000-D-006;180000-D;c;D.6;koszty funkcjonowania Rady Funduszu;0
180000-D-007;180000-D;c;D.7;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych zakupionych ze środków własnych Funduszu;3003
180000-D-008;180000-D;c;D.8;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych otrzymanych nieodpłatnie;468
180000-D-009;180000-D;c;D.9;pozostałe koszty administracyjne;218
180000-E;180000;b;E;Pozostałe koszty ;10600
180000-E-001;180000-E;c;E.1;wydanie i utrzymanie kart ubezpieczenia (w tym części stałych i zamiennych książeczek usług medycznych) oraz recept;62
180000-E-002;180000-E;c;E.2;rezerwa na zobowiązania wynikające z postępowań sądowych;10288
180000-E-003;180000-E;c;E.3;inne rezerwy;0
180000-E-004;180000-E;c;E.4;inne koszty;250
180000-F;180000;b;F;Koszty finansowe;1888
180000-G;180000;b;G;Koszty poboru i ewidencjonowania składek;0
180000-H;180000;b;H;Obowiązkowy odpis na rezerwę ogólną;0
200000;;a;200000;PODLASKIE;1808688
200000-A;200000;b;A;Koszty świadczeń zdrowotnych,  w tym:;1722945
200000-A-001;200000-A;c;A.1;podstawowa opieka zdrowotna;230000
200000-A-002;200000-A;c;A.2;ambulatoryjna opieka specjalistyczna;137221
200000-A-003;200000-A;c;A.3;leczenie szpitalne, w tym:;746063
200000-A-004;200000-A;c;A.4;opieka psychiatryczna i leczenie uzależnień;62409
200000-A-005;200000-A;c;A.5;rehabilitacja lecznicza;37643
200000-A-006;200000-A;c;A.6;świadczenia pielęgnacyjne i opiekuńcze w ramach opieki długoterminowej;21413
200000-A-007;200000-A;c;A.7;opieka paliatywna i hospicyjna;7474
200000-A-008;200000-A;c;A.8;leczenie stomatologiczne;61525
200000-A-009;200000-A;c;A.9;lecznictwo uzdrowiskowe;16200
200000-A-010;200000-A;c;A.10;pomoc doraźna i transport sanitarny;1220
200000-A-011;200000-A;c;A.11;koszty profilaktycznych programów zdrowotnych finansowanych ze środków własnych Funduszu;4474
200000-A-012;200000-A;c;A.12;świadczenia zdrowotne kontraktowane odrębnie;30177
200000-A-013;200000-A;c;A.13;zaopatrzenie w sprzęt ortopedyczny, środki pomocnicze i lecznicze środki techniczne;19000
200000-A-014;200000-A;c;A.14;refundacja cen leków, w tym:;252000
200000-A-015;200000-A;c;A.15;rezerwa na koszty realizacji zadań wynikajacych z przepisów o koordynacji;0
200000-A-016;200000-A;c;A.16;rezerwa na pokrycie kosztów świadczeń zdrowotnych oraz refundacji cen leków;0
200000-A-017;200000-A;c;A.17;rezerwa na koszty świadczeń opieki zdrowotnej w ramach migracji ubezpieczonych;95892
200000-A-018;200000-A;c;A.18;koszty świadczeń zdrowotnych z lat ubiegłych;234
200000-B;200000;b;B;Koszty programów polityki zdrowotnej realizowanych na zlecenie ;0
200000-C;200000;b;C;Koszty realizacji zadań zespołów ratownictwa medycznego;63930
200000-D;200000;b;D;Koszty administracyjne, w tym;14611
200000-D-001;200000-D;c;D.1;zużycie materiałów i energii;571
200000-D-002;200000-D;c;D.2;usługi obce;934
200000-D-003;200000-D;c;D.3;podatki i opłaty, w tym:;190
200000-D-003-001;200000-D-003;d;D.3.1;podatki stanowiące dochody własne jednostek samorządu terytorialnego, w tym:;15
200000-D-003-002;200000-D-003;d;D.3.2;opłaty stanowiące dochody własne jednostek samorządu terytorialnego;33
200000-D-003-003;200000-D-003;d;D.3.3;VAT;0
200000-D-003-004;200000-D-003;d;D.3.4;podatek akcyzowy;0
200000-D-003-005;200000-D-003;d;D.3.5;wpłaty na PFRON;137
200000-D-003-006;200000-D-003;d;D.3.6;inne;5
200000-D-004;200000-D;c;D.4;wynagrodzenia;9054
200000-D-005;200000-D;c;D.5;ubezpieczenie społeczne i inne świadczenia, w tym:;1833
200000-D-005-001;200000-D-005;d;D.5.1;składki na Fundusz Ubezpieczeń Społecznych;1375
200000-D-005-002;200000-D-005;d;D.5.2;składki na Fundusz Pracy;222
200000-D-005-003;200000-D-005;d;D.5.3;składki na Fundusz Gwarantowanych Świadczeń Pracowniczych;0
200000-D-005-004;200000-D-005;d;D.5.4;pozostałe świadczenia;236
200000-D-006;200000-D;c;D.6;koszty funkcjonowania Rady Funduszu;0
200000-D-007;200000-D;c;D.7;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych zakupionych ze środków własnych Funduszu;1576
200000-D-008;200000-D;c;D.8;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych otrzymanych nieodpłatnie;226
200000-D-009;200000-D;c;D.9;pozostałe koszty administracyjne;227
200000-E;200000;b;E;Pozostałe koszty ;7153
200000-E-001;200000-E;c;E.1;wydanie i utrzymanie kart ubezpieczenia (w tym części stałych i zamiennych książeczek usług medycznych) oraz recept;6
200000-E-002;200000-E;c;E.2;rezerwa na zobowiązania wynikające z postępowań sądowych;6645
200000-E-003;200000-E;c;E.3;inne rezerwy;0
200000-E-004;200000-E;c;E.4;inne koszty;502
200000-F;200000;b;F;Koszty finansowe;49
200000-G;200000;b;G;Koszty poboru i ewidencjonowania składek;0
200000-H;200000;b;H;Obowiązkowy odpis na rezerwę ogólną;0
220000;;a;220000;POMORSKIE;3474033
220000-A;220000;b;A;Koszty świadczeń zdrowotnych,  w tym:;3332683
220000-A-001;220000-A;c;A.1;podstawowa opieka zdrowotna;423954
220000-A-002;220000-A;c;A.2;ambulatoryjna opieka specjalistyczna;271000
220000-A-003;220000-A;c;A.3;leczenie szpitalne, w tym:;1423373
220000-A-004;220000-A;c;A.4;opieka psychiatryczna i leczenie uzależnień;114000
220000-A-005;220000-A;c;A.5;rehabilitacja lecznicza;83800
220000-A-006;220000-A;c;A.6;świadczenia pielęgnacyjne i opiekuńcze w ramach opieki długoterminowej;32000
220000-A-007;220000-A;c;A.7;opieka paliatywna i hospicyjna;18000
220000-A-008;220000-A;c;A.8;leczenie stomatologiczne;101000
220000-A-009;220000-A;c;A.9;lecznictwo uzdrowiskowe;27000
220000-A-010;220000-A;c;A.10;pomoc doraźna i transport sanitarny;1197
220000-A-011;220000-A;c;A.11;koszty profilaktycznych programów zdrowotnych finansowanych ze środków własnych Funduszu;9200
220000-A-012;220000-A;c;A.12;świadczenia zdrowotne kontraktowane odrębnie;80800
220000-A-013;220000-A;c;A.13;zaopatrzenie w sprzęt ortopedyczny, środki pomocnicze i lecznicze środki techniczne;32000
220000-A-014;220000-A;c;A.14;refundacja cen leków, w tym:;550729
220000-A-015;220000-A;c;A.15;rezerwa na koszty realizacji zadań wynikajacych z przepisów o koordynacji;0
220000-A-016;220000-A;c;A.16;rezerwa na pokrycie kosztów świadczeń zdrowotnych oraz refundacji cen leków;0
220000-A-017;220000-A;c;A.17;rezerwa na koszty świadczeń opieki zdrowotnej w ramach migracji ubezpieczonych;164060
220000-A-018;220000-A;c;A.18;koszty świadczeń zdrowotnych z lat ubiegłych;570
220000-B;220000;b;B;Koszty programów polityki zdrowotnej realizowanych na zlecenie ;0
220000-C;220000;b;C;Koszty realizacji zadań zespołów ratownictwa medycznego;97188
220000-D;220000;b;D;Koszty administracyjne, w tym;29367
220000-D-001;220000-D;c;D.1;zużycie materiałów i energii;1389
220000-D-002;220000-D;c;D.2;usługi obce;2982
220000-D-003;220000-D;c;D.3;podatki i opłaty, w tym:;243
220000-D-003-001;220000-D-003;d;D.3.1;podatki stanowiące dochody własne jednostek samorządu terytorialnego, w tym:;34
220000-D-003-002;220000-D-003;d;D.3.2;opłaty stanowiące dochody własne jednostek samorządu terytorialnego;0
220000-D-003-003;220000-D-003;d;D.3.3;VAT;6
220000-D-003-004;220000-D-003;d;D.3.4;podatek akcyzowy;0
220000-D-003-005;220000-D-003;d;D.3.5;wpłaty na PFRON;191
220000-D-003-006;220000-D-003;d;D.3.6;inne;12
220000-D-004;220000-D;c;D.4;wynagrodzenia;17671
220000-D-005;220000-D;c;D.5;ubezpieczenie społeczne i inne świadczenia, w tym:;3582
220000-D-005-001;220000-D-005;d;D.5.1;składki na Fundusz Ubezpieczeń Społecznych;2684
220000-D-005-002;220000-D-005;d;D.5.2;składki na Fundusz Pracy;433
220000-D-005-003;220000-D-005;d;D.5.3;składki na Fundusz Gwarantowanych Świadczeń Pracowniczych;0
220000-D-005-004;220000-D-005;d;D.5.4;pozostałe świadczenia;465
220000-D-006;220000-D;c;D.6;koszty funkcjonowania Rady Funduszu;0
220000-D-007;220000-D;c;D.7;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych zakupionych ze środków własnych Funduszu;3342
220000-D-008;220000-D;c;D.8;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych otrzymanych nieodpłatnie;0
220000-D-009;220000-D;c;D.9;pozostałe koszty administracyjne;158
220000-E;220000;b;E;Pozostałe koszty ;11034
220000-E-001;220000-E;c;E.1;wydanie i utrzymanie kart ubezpieczenia (w tym części stałych i zamiennych książeczek usług medycznych) oraz recept;1520
220000-E-002;220000-E;c;E.2;rezerwa na zobowiązania wynikające z postępowań sądowych;7914
220000-E-003;220000-E;c;E.3;inne rezerwy;0
220000-E-004;220000-E;c;E.4;inne koszty;1600
220000-F;220000;b;F;Koszty finansowe;3761
220000-G;220000;b;G;Koszty poboru i ewidencjonowania składek;0
220000-H;220000;b;H;Obowiązkowy odpis na rezerwę ogólną;0
240000;;a;240000;ŚLĄSKIE;7279159
240000-A;240000;b;A;Koszty świadczeń zdrowotnych,  w tym:;7019467
240000-A-001;240000-A;c;A.1;podstawowa opieka zdrowotna;893414
240000-A-002;240000-A;c;A.2;ambulatoryjna opieka specjalistyczna;586718
240000-A-003;240000-A;c;A.3;leczenie szpitalne, w tym:;3017994
240000-A-004;240000-A;c;A.4;opieka psychiatryczna i leczenie uzależnień;230735
240000-A-005;240000-A;c;A.5;rehabilitacja lecznicza;199786
240000-A-006;240000-A;c;A.6;świadczenia pielęgnacyjne i opiekuńcze w ramach opieki długoterminowej;171488
240000-A-007;240000-A;c;A.7;opieka paliatywna i hospicyjna;30982
240000-A-008;240000-A;c;A.8;leczenie stomatologiczne;209310
240000-A-009;240000-A;c;A.9;lecznictwo uzdrowiskowe;70000
240000-A-010;240000-A;c;A.10;pomoc doraźna i transport sanitarny;4061
240000-A-011;240000-A;c;A.11;koszty profilaktycznych programów zdrowotnych finansowanych ze środków własnych Funduszu;20037
240000-A-012;240000-A;c;A.12;świadczenia zdrowotne kontraktowane odrębnie;163700
240000-A-013;240000-A;c;A.13;zaopatrzenie w sprzęt ortopedyczny, środki pomocnicze i lecznicze środki techniczne;79110
240000-A-014;240000-A;c;A.14;refundacja cen leków, w tym:;1086637
240000-A-015;240000-A;c;A.15;rezerwa na koszty realizacji zadań wynikajacych z przepisów o koordynacji;0
240000-A-016;240000-A;c;A.16;rezerwa na pokrycie kosztów świadczeń zdrowotnych oraz refundacji cen leków;0
240000-A-017;240000-A;c;A.17;rezerwa na koszty świadczeń opieki zdrowotnej w ramach migracji ubezpieczonych;205495
240000-A-018;240000-A;c;A.18;koszty świadczeń zdrowotnych z lat ubiegłych;50000
240000-B;240000;b;B;Koszty programów polityki zdrowotnej realizowanych na zlecenie ;0
240000-C;240000;b;C;Koszty realizacji zadań zespołów ratownictwa medycznego;187598
240000-D;240000;b;D;Koszty administracyjne, w tym;57613
240000-D-001;240000-D;c;D.1;zużycie materiałów i energii;2293
240000-D-002;240000-D;c;D.2;usługi obce;6757
240000-D-003;240000-D;c;D.3;podatki i opłaty, w tym:;615
240000-D-003-001;240000-D-003;d;D.3.1;podatki stanowiące dochody własne jednostek samorządu terytorialnego, w tym:;75
240000-D-003-002;240000-D-003;d;D.3.2;opłaty stanowiące dochody własne jednostek samorządu terytorialnego;0
240000-D-003-003;240000-D-003;d;D.3.3;VAT;13
240000-D-003-004;240000-D-003;d;D.3.4;podatek akcyzowy;0
240000-D-003-005;240000-D-003;d;D.3.5;wpłaty na PFRON;506
240000-D-003-006;240000-D-003;d;D.3.6;inne;21
240000-D-004;240000-D;c;D.4;wynagrodzenia;35546
240000-D-005;240000-D;c;D.5;ubezpieczenie społeczne i inne świadczenia, w tym:;7166
240000-D-005-001;240000-D-005;d;D.5.1;składki na Fundusz Ubezpieczeń Społecznych;5399
240000-D-005-002;240000-D-005;d;D.5.2;składki na Fundusz Pracy;871
240000-D-005-003;240000-D-005;d;D.5.3;składki na Fundusz Gwarantowanych Świadczeń Pracowniczych;0
240000-D-005-004;240000-D-005;d;D.5.4;pozostałe świadczenia;896
240000-D-006;240000-D;c;D.6;koszty funkcjonowania Rady Funduszu;0
240000-D-007;240000-D;c;D.7;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych zakupionych ze środków własnych Funduszu;4603
240000-D-008;240000-D;c;D.8;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych otrzymanych nieodpłatnie;192
240000-D-009;240000-D;c;D.9;pozostałe koszty administracyjne;441
240000-E;240000;b;E;Pozostałe koszty ;11423
240000-E-001;240000-E;c;E.1;wydanie i utrzymanie kart ubezpieczenia (w tym części stałych i zamiennych książeczek usług medycznych) oraz recept;390
240000-E-002;240000-E;c;E.2;rezerwa na zobowiązania wynikające z postępowań sądowych;10383
240000-E-003;240000-E;c;E.3;inne rezerwy;0
240000-E-004;240000-E;c;E.4;inne koszty;650
240000-F;240000;b;F;Koszty finansowe;3058
240000-G;240000;b;G;Koszty poboru i ewidencjonowania składek;0
240000-H;240000;b;H;Obowiązkowy odpis na rezerwę ogólną;0
260000;;a;260000;ŚWIĘTOKRZYSKIE;2008283
260000-A;260000;b;A;Koszty świadczeń zdrowotnych,  w tym:;1915153
260000-A-001;260000-A;c;A.1;podstawowa opieka zdrowotna;248680
260000-A-002;260000-A;c;A.2;ambulatoryjna opieka specjalistyczna;106736
260000-A-003;260000-A;c;A.3;leczenie szpitalne, w tym:;750000
260000-A-004;260000-A;c;A.4;opieka psychiatryczna i leczenie uzależnień;53620
260000-A-005;260000-A;c;A.5;rehabilitacja lecznicza;52710
260000-A-006;260000-A;c;A.6;świadczenia pielęgnacyjne i opiekuńcze w ramach opieki długoterminowej;25000
260000-A-007;260000-A;c;A.7;opieka paliatywna i hospicyjna;9000
260000-A-008;260000-A;c;A.8;leczenie stomatologiczne;54000
260000-A-009;260000-A;c;A.9;lecznictwo uzdrowiskowe;23000
260000-A-010;260000-A;c;A.10;pomoc doraźna i transport sanitarny;1300
260000-A-011;260000-A;c;A.11;koszty profilaktycznych programów zdrowotnych finansowanych ze środków własnych Funduszu;4700
260000-A-012;260000-A;c;A.12;świadczenia zdrowotne kontraktowane odrębnie;40000
260000-A-013;260000-A;c;A.13;zaopatrzenie w sprzęt ortopedyczny, środki pomocnicze i lecznicze środki techniczne;21000
260000-A-014;260000-A;c;A.14;refundacja cen leków, w tym:;284526
260000-A-015;260000-A;c;A.15;rezerwa na koszty realizacji zadań wynikajacych z przepisów o koordynacji;0
260000-A-016;260000-A;c;A.16;rezerwa na pokrycie kosztów świadczeń zdrowotnych oraz refundacji cen leków;0
260000-A-017;260000-A;c;A.17;rezerwa na koszty świadczeń opieki zdrowotnej w ramach migracji ubezpieczonych;164981
