"idef";"idef_sort";"parent";"parent_sort";"node";"leaf";"level";"type";"name";"czesc";"wartosc_bazowa";"wartosc_rok_obec";"v_total";"v_nation";"v_eu";"v_proc_nation";"v_proc_eu"
"11-2-2-1-1";"011-002-002-001-001";"11-2-2-1";"011-002-002-001";1;"f";"e";"Cel";"Osiągnięcie zdolności operacyjnych w ramach NATO i UE";"29";;;;;;;
"11-2-2-1-1-1";"011-002-002-001-001-001";"11-2-2-1-1";"011-002-002-001-001";1;"t";"f";"Miernik";"Wskaźnik realizacji zobowiązań w ramach przyjętych programów NATO i UE";"29";"100%";"100%";;;;;
"11-3";"011-003";"11";"011";;"f";"b";"Zadanie 11.3";"Wsparcie wywiadowcze i ochrona kontrwywiadowcza";;;;282295;282295;0;100;0
"11-3-1";"011-003-001";"11-3";"011-003";0;"f";"c";"Dysponent";"Ministerstwo Obrony Narodowej";"29";;;282295;282295;0;100;0
"11-3-1";"011-003-001";"11-3";"011-003";1;"f";"c";"Podzadanie 11.3.1";"Wsparcie wywiadowcze";;;;120053;120053;0;100;0
"11-3-1-1";"011-003-001-001";"11-3-1";"011-003-001";0;"f";"d";"Cel";"Rozpoznanie zagroŜeń godzących w bezpieczeństwo państwa oraz zdolność bojową SZ RP";"29";;;;;;;
"11-3-1-1";"011-003-001-001";"11-3-1";"011-003-001";1;"f";"d";"Dysponent";"Ministerstwo Obrony Narodowej";"29";;;120053;120053;0;100;0
"11-3-1-1-1";"011-003-001-001-001";"11-3-1-1";"011-003-001-001";0;"t";"e";"Miernik";"Przyjęcie sprawozdań z działalności SWW i SKW przez organ nadrzędny";"29";"przyjęcie sprawozdań";"przyjęcie sprawozdań";;;;;
"11-3-1-1-1";"011-003-001-001-001";"11-3-1-1";"011-003-001-001";1;"f";"e";"Cel";"Rozpoznanie zagroŜeń zewnętrznych godzących w bezpieczeństwo państwa oraz zdolność bojowa SZ RP";"29";;;;;;;
"11-3-1-1-1-1";"011-003-001-001-001-001";"11-3-1-1-1";"011-003-001-001-001";1;"t";"f";"Miernik";"Przyjęcie sprawozdania z działalności SWW przez organ nadrzędny";"29";"przyjęcie sprawozdania";"przyjęcie sprawozdania";;;;;
"11-3-1-2";"011-003-001-002";"11-3-1";"011-003-001";1;"f";"d";"Dysponent";"Agencja Wywiadu";"59";;;148671;148671;0;100;0
"11-3-1-2-1";"011-003-001-002-001";"11-3-1-2";"011-003-001-002";1;"f";"e";"Cel";"Rozpoznanie zagroŜeń godzących w bezpieczeństwo państwa.";"59";;;;;;;
"11-3-1-2-1-1";"011-003-001-002-001-001";"11-3-1-2-1";"011-003-001-002-001";1;"t";"f";"Miernik";"Zdolność struktur administracyjno-gospodarczych do zapewnienia bezpieczeństwa zewnętrznego państwa (tak/nie)";"59";"tak";"tak";;;;;
"11-3-2";"011-003-002";"11-3";"011-003";0;"f";"c";"Dysponent";"Agencja Wywiadu";"59";;;148671;148671;0;100;0
"11-3-2";"011-003-002";"11-3";"011-003";1;"f";"c";"Podzadanie 11.3.2";"Ochrona kontrwywiadowcza";;;;162242;162242;0;100;0
"11-3-2-1";"011-003-002-001";"11-3-2";"011-003-002";0;"f";"d";"Cel";"Rozpoznanie zagroŜeń godzących w bezpieczeństwo państwa oraz zdolność bojową SZ RP";"59";;;;;;;
"11-3-2-1";"011-003-002-001";"11-3-2";"011-003-002";1;"f";"d";"Dysponent";"Ministerstwo Obrony Narodowej";"29";;;162242;162242;0;100;0
"11-3-2-1-1";"011-003-002-001-001";"11-3-2-1";"011-003-002-001";0;"t";"e";"Miernik";"Zdolność struktur administracyjno-gospodarczych do zapewnienia bezpieczeństwa zewnętznego państwa (tak/nie)";"59";"tak";"tak";;;;;
"11-3-2-1-1";"011-003-002-001-001";"11-3-2-1";"011-003-002-001";1;"f";"e";"Cel";"Ochrona przed zagroŜeniami wewnętrznymi dla obronności państwa i zdolności bojowej Sił Zbrojnych RP";"29";;;;;;;
"11-3-2-1-1-1";"011-003-002-001-001-001";"11-3-2-1-1";"011-003-002-001-001";1;"t";"f";"Miernik";"Przyjęcie sprawozdania z działalności SKW przez organ nadrzędny";"29";"przyjęcie sprawozdania";"przyjęcie sprawozdania";;;;;
"11-4";"011-004";"11";"011";;"f";"b";"Zadanie 11.4";"Realizacja zobowiązań sojuszniczych i międzynarodowych oraz uczestnictwo w działaniach na rzecz pokoju i stabilizacji międzynarodowej";;;;895461;895461;0;100;0
"11-4-1";"011-004-001";"11-4";"011-004";0;"f";"c";"Dysponent";"Ministerstwo Obrony Narodowej";"29";;;895461;895461;0;100;0
"11-4-1";"011-004-001";"11-4";"011-004";1;"f";"c";"Podzadanie 11.4.1";"Misje i operacje NATO, UE oraz koalicyjne";;;;568155;568155;0;100;0
"11-4-1-1";"011-004-001-001";"11-4-1";"011-004-001";0;"f";"d";"Cel";"Wzmacnianie pozycji Polski na arenie międzynarodowej";"29";;;;;;;
"11-4-1-1";"011-004-001-001";"11-4-1";"011-004-001";1;"f";"d";"Dysponent";"Ministerstwo Obrony Narodowej";"29";;;568155;568155;0;100;0
"11-4-1-1-1";"011-004-001-001-001";"11-4-1-1";"011-004-001-001";0;"t";"e";"Miernik";"Średnioroczna liczba Ŝołnierzy skierowanych do PKW w stosunku do poziomu ambicji narodowych (``Strategia udziału SZ RP w operacjach poza granicami kraju``)";"29";"90";"93";;;;;
"11-4-1-1-1";"011-004-001-001-001";"11-4-1-1";"011-004-001-001";1;"f";"e";"Cel";"Wypełnianie zobowiązań sojuszniczych i uczestnictwo w działaniach na rzecz pokoju i stabilizacji międzynarodowej";"29";;;;;;;
"11-4-1-1-1-1";"011-004-001-001-001-001";"11-4-1-1-1";"011-004-001-001-001";1;"t";"f";"Miernik";"Średnioroczna liczba Ŝołnierzy skierowanych do PKW w stosunku do poziomu ambicji narodowych (``Strategia udziału SZ RP w operacjach poza granicami kraju``)";"29";"90";"93";;;;;
"11-4-1-1-2";"011-004-001-001-002";"11-4-1-1";"011-004-001-001";0;"t";"e";"Miernik";"Liczba stanowisk flagowych w stosunku do wszystkich stanowisk w strukturach NATO i UE";"29";"8/391";"11/391";;;;;
"11-4-2";"011-004-002";"11-4";"011-004";1;"f";"c";"Podzadanie 11.4.2";"Międzynarodowa współpraca bilateralna i współpraca w strukturach wielostronnych, w tym w ramach NATO i UE";;;;327306;327306;0;100;0
"11-4-2-1";"011-004-002-001";"11-4-2";"011-004-002";1;"f";"d";"Dysponent";"Ministerstwo Obrony Narodowej";"29";;;327306;327306;0;100;0
"11-4-2-1-1";"011-004-002-001-001";"11-4-2-1";"011-004-002-001";1;"f";"e";"Cel";"Wzmacnianie pozycji RP w organizacjach międzynarodowych i strukturach wielonarodowych";"29";;;;;;;
"11-4-2-1-1-1";"011-004-002-001-001-001";"11-4-2-1-1";"011-004-002-001-001";1;"t";"f";"Miernik";"Ocena realizacji ``Wytycznych do planowania współpracy międzynarodowej w resorcie obrony narodowej`` (miernik opisowy)";"29";"-";"-";;;;;
"11-5";"011-005";"11";"011";;"f";"b";"Zadanie 11.5";"Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa";;;;23;23;0;100;0
"11-5-1";"011-005-001";"11-5";"011-005";0;"f";"c";"Dysponent";"Kancelaria Prezesa Rady Ministrów";"16";;;23;23;0;100;0
"11-5-1";"011-005-001";"11-5";"011-005";1;"f";"c";"Podzadanie 11.5.1";"Mobilizacja gospodarki";;;;88233;88233;0;100;0
"11-5-1-1";"011-005-001-001";"11-5-1";"011-005-001";0;"f";"d";"Cel";"Stopniowe osiąganie określonego wymogami poziomu organizacyjnego i technicznego systemu kierowania bezpieczeństwem";"16";;;;;;;
"11-5-1-1";"011-005-001-001";"11-5-1";"011-005-001";1;"f";"d";"Dysponent";"Ministerstwo Gospodarki";"20";;;88233;88233;0;100;0
"11-5-1-1-1";"011-005-001-001-001";"11-5-1-1";"011-005-001-001";0;"t";"e";"Miernik";"Liczba przedłoŜonych sprawozdań z realizacji załoŜonych celów dla MON";"16";"1";"1";;;;;
"11-5-1-1-1";"011-005-001-001-001";"11-5-1-1";"011-005-001-001";1;"f";"e";"Cel";"Zdolność przestawienia gospodarki w celu wykorzystania jej potencjału na cele militarne";"20";;;;;;;
"11-5-1-1-1-1";"011-005-001-001-001-001";"11-5-1-1-1";"011-005-001-001-001";1;"t";"f";"Miernik";"Współczynnik pokrycia kosztów dotacją (dotacja/ustalone koszty przedsiębiorców) * 100%";"20";"71%";"100%";;;;;
"11-5-1-2";"011-005-001-002";"11-5-1";"011-005-001";1;"f";"d";"Dysponent";"Ministerstwo Obrony Narodowej";"29";;;27000;27000;0;100;0
"11-5-1-2-1";"011-005-001-002-001";"11-5-1-2";"011-005-001-002";1;"f";"e";"Cel";"Zdolność przestawienia gospodarki w celu wykorzystania jej potencjału na cele militarne";"29";;;;;;;
"11-5-1-2-1-1";"011-005-001-002-001-001";"11-5-1-2-1";"011-005-001-002-001";1;"t";"f";"Miernik";"Wskaźnik procentowy zabezpieczenia utrzymania mocy produkcyjnych lub remontowych niezbędnych do realizacji zadań wynikających z PMG";"29";"79,96%";"75,00%";;;;;
"11-5-2";"011-005-002";"11-5";"011-005";0;"f";"c";"Dysponent";"Ministerstwo Infrastruktury";"18";;;324;324;0;100;0
"11-5-2";"011-005-002";"11-5";"011-005";1;"f";"c";"Podzadanie 11.5.2";"Pozamilitarne przygotowania obronne";;;;23;23;0;100;0
"11-5-2-1";"011-005-002-001";"11-5-2";"011-005-002";0;"f";"d";"Cel";"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców";"18";;;;;;;
"11-5-2-1";"011-005-002-001";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Kancelaria Prezesa Rady Ministrów";"16";;;23;23;0;100;0
"11-5-2-1-1";"011-005-002-001-001";"11-5-2-1";"011-005-002-001";0;"t";"e";"Miernik";"Procent realizacji zadań rocznych określonych w PPPO na lata 2009-2018 (w %)";"18";"1/1  100%";"1/1  100%";;;;;
"11-5-2-1-1";"011-005-002-001-001";"11-5-2-1";"011-005-002-001";1;"f";"e";"Cel";"Stopniowe osiąganie określonego wymogami poziomu organizacyjnego i technicznego systemu kierowania bezpieczeństwem";"16";;;;;;;
"11-5-2-1-1-1";"011-005-002-001-001-001";"11-5-2-1-1";"011-005-002-001-001";1;"t";"f";"Miernik";"Liczba przedłoŜonych sprawozdań z realizacji załoŜonych celów dla MON";"16";"1";"1";;;;;
"11-5-2-2";"011-005-002-002";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Infrastruktury";"18";;;324;324;0;100;0
"11-5-2-2-1";"011-005-002-002-001";"11-5-2-2";"011-005-002-002";1;"f";"e";"Cel";"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców";"18";;;;;;;
"11-5-2-2-1-1";"011-005-002-002-001-001";"11-5-2-2-1";"011-005-002-002-001";1;"t";"f";"Miernik";"Procent realizacji zadań rocznych określonych w PPPO na lata 2009-2018 (w %)";"18";"1/1  100%";"1/1  100%";;;;;
"11-5-2-3";"011-005-002-003";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Gospodarki";"20";;;264;264;0;100;0
"11-5-2-3-1";"011-005-002-003-001";"11-5-2-3";"011-005-002-003";1;"f";"e";"Cel";"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców";"20";;;;;;;
"11-5-2-3-1-1";"011-005-002-003-001-001";"11-5-2-3-1";"011-005-002-003-001";1;"t";"f";"Miernik";"Średnia ze stopnia wykonania zadań określonych w Programie Pozamilitarnych Przygotowań Obronnych";"20";"100%";"100%";;;;;
"11-5-2-4";"011-005-002-004";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Infrastruktury";"21";;;637;637;0;100;0
"11-5-2-4-1";"011-005-002-004-001";"11-5-2-4";"011-005-002-004";1;"f";"e";"Cel";"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców";"21";;;;;;;
"11-5-2-4-1-1";"011-005-002-004-001-001";"11-5-2-4-1";"011-005-002-004-001";1;"t";"f";"Miernik";"Procent realizacji zadań rocznych określonych w PPPO na lata 2009 - 2018 (w %)";"21";"7/7  100%";"6/6  100%";;;;;
"11-5-2-5";"011-005-002-005";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Środowiska";"22";;;2533;2533;0;100;0
"11-5-2-5-1";"011-005-002-005-001";"11-5-2-5";"011-005-002-005";1;"f";"e";"Cel";"Zapewnienie mozliwości realizacji zadań obronnych przez organy administracji publicznej";"22";;;;;;;
"11-5-2-5-1-1";"011-005-002-005-001-001";"11-5-2-5-1";"011-005-002-005-001";1;"t";"f";"Miernik";"Liczba zrealizowanych zadań";"22";"16";"16";;;;;
"11-5-2-6";"011-005-002-006";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Kultury i Dziedzictwa Narodowego";"24";;;112;112;0;100;0
"11-5-2-6-1";"011-005-002-006-001";"11-5-2-6";"011-005-002-006";1;"f";"e";"Cel";"Zapewnienie moŜliwości realizacji zadań obronnych w dziele administracji rządowej kultura i ochrona dziedzictwa narodowego";"24";;;;;;;
"11-5-2-6-1-1";"011-005-002-006-001-001";"11-5-2-6-1";"011-005-002-006-001";1;"t";"f";"Miernik";"Liczba przeprowadzonych ćwiczeń (szt.)";"24";"30";"30";;;;;
"11-5-2-7";"011-005-002-007";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Sportu i Turystyki";"25";;;77;77;0;100;0
"11-5-2-7-1";"011-005-002-007-001";"11-5-2-7";"011-005-002-007";1;"f";"e";"Cel";"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców";"25";;;;;;;
"11-5-2-7-1-1";"011-005-002-007-001-001";"11-5-2-7-1";"011-005-002-007-001";1;"t";"f";"Miernik";"Stosunek pracowników przygotowanych do wykonywania zadań obronnych do wszystkich, którzy powinni być przygotowani";"25";"85%";"100%";;;;;
"11-5-2-8";"011-005-002-008";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Infrastruktury";"26";;;1886;1886;0;100;0
"11-5-2-8-1";"011-005-002-008-001";"11-5-2-8";"011-005-002-008";1;"f";"e";"Cel";"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców";"26";;;;;;;
"11-5-2-8-1-1";"011-005-002-008-001-001";"11-5-2-8-1";"011-005-002-008-001";1;"t";"f";"Miernik";"Procent realizacji zadań rocznych okreslonych w PPPO na lata 2009-2018 (w %)";"26";"6/7   85,71%";"7/7   100%";;;;;
"11-5-2-9";"011-005-002-009";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Nauki i Szkolnictwa WyŜszego";"28";;;15;15;0;100;0
"11-5-2-9-1";"011-005-002-009-001";"11-5-2-9";"011-005-002-009";1;"f";"e";"Cel";"Realizacja przedsięwzięć rzeczowo-finansowych określonych w PPPO 2009-2019";"28";;;;;;;
"11-5-2-9-1-1";"011-005-002-009-001-001";"11-5-2-9-1";"011-005-002-009-001";1;"t";"f";"Miernik";"Procent realizacji przedsięwzięć zaplanowanych w PPPO";"28";"20%";"40%";;;;;
"11-5-2-10";"011-005-002-010";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Obrony Narodowej";"29";;;1170;1170;0;100;0
"11-5-2-10-1";"011-005-002-010-001";"11-5-2-10";"011-005-002-010";1;"f";"e";"Cel";"Zapewnienia moŜliwości realizacji zadań obronnych przez organy adminstracji publicznej i przedsiębiorców";"29";;;;;;;
"11-5-2-10-1-1";"011-005-002-010-001-001";"11-5-2-10-1";"011-005-002-010-001";1;"t";"f";"Miernik";"Przyjęcie oceny pozamiiitarnych przygotowań obronnych RP";"29";"przyjęcie oceny";"przyjęcie oceny";;;;;
"11-5-2-11";"011-005-002-011";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Edukacji Narodowej";"30";;;133;133;0;100;0
"11-5-2-11-1";"011-005-002-011-001";"11-5-2-11";"011-005-002-011";1;"f";"e";"Cel";"Zapewnienie warunków organizacyjnych i technicznych do planowania i realizacji zadań obronnych w dziale administracji rządowej oświata i wychowanie";"30";;;;;;;
"11-5-2-11-1-1";"011-005-002-011-001-001";"11-5-2-11-1";"011-005-002-011-001";1;"t";"f";"Miernik";"% wskaźnik liczby zrealizowanych przedsięwzięć rzeczowo-finansowych określonych w Programie Pozamilitarnych Przygotowań Obronnych działu administracji rządowej oświata i wychowanie w latach 2009-2018";"30";"19%";"35%";;;;;
"11-5-2-12";"011-005-002-012";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Rolnictwa i Rozwoju Wsi";"32";;;140;140;0;100;0
"11-5-2-12-1";"011-005-002-012-001";"11-5-2-12";"011-005-002-012";1;"f";"e";"Cel";"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców";"32";;;;;;;
"11-5-2-12-1-1";"011-005-002-012-001-001";"11-5-2-12-1";"011-005-002-012-001";1;"t";"f";"Miernik";"Realizacja liczby osób przeszkolonych do liczby osób zaplanowanych";"32";"100%";"100%";;;;;
"11-5-2-13";"011-005-002-013";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Rolnictwa i Rozwoju Wsi";"33";;;15;15;0;100;0
"11-5-2-13-1";"011-005-002-013-001";"11-5-2-13";"011-005-002-013";1;"f";"e";"Cel";"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców";"33";;;;;;;
"11-5-2-13-1-1";"011-005-002-013-001-001";"11-5-2-13-1";"011-005-002-013-001";1;"t";"f";"Miernik";"Realizacja liczby osób przeszkolonych do liczby osób zaplanowanych";"33";"100%";"100%";;;;;
"11-5-2-14";"011-005-002-014";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Rozwoju Regionalnego";"34";;;259;259;0;100;0
"11-5-2-14-1";"011-005-002-014-001";"11-5-2-14";"011-005-002-014";1;"f";"e";"Cel";"Zapewnienie moŜliwości realizacji zadań obronnych przez MRR";"34";;;;;;;
"11-5-2-14-1-1";"011-005-002-014-001-001";"11-5-2-14-1";"011-005-002-014-001";1;"t";"f";"Miernik";"Relacja liczby  zadań zrealizowanych do liczby zadań zaplanowanych w Programie Pozamilitarnych Przygotowań Obronnych (%)";"34";"100%";"100%";;;;;
"11-5-2-15";"011-005-002-015";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Rolnictwa i Rozwoju Wsi";"35";;;15;15;0;100;0
"11-5-2-15-1";"011-005-002-015-001";"11-5-2-15";"011-005-002-015";1;"f";"e";"Cel";"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców";"35";;;;;;;
"11-5-2-15-1-1";"011-005-002-015-001-001";"11-5-2-15-1";"011-005-002-015-001";1;"t";"f";"Miernik";"Realizacja liczby osób przeszkolonych do  liczby osób zaplanowanych";"35";"100%";"100%";;;;;
"11-5-2-16";"011-005-002-016";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Sprawiedliwości";"37";;;455;455;0;100;0
"11-5-2-16-1";"011-005-002-016-001";"11-5-2-16";"011-005-002-016";1;"f";"e";"Cel";"Utrzymanie zdolności realizacji zadań obronnych przez Ministerstwo Sprawiedliwości";"37";;;;;;;
"11-5-2-16-1-1";"011-005-002-016-001-001";"11-5-2-16-1";"011-005-002-016-001";1;"t";"f";"Miernik";"Liczba przeprowadzonych szkoleń";"37";"-";"6";;;;;
"11-5-2-17";"011-005-002-017";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Nauki i Szkolnictwa WyŜszego";"38";;;24;24;0;100;0
"11-5-2-17-1";"011-005-002-017-001";"11-5-2-17";"011-005-002-017";1;"f";"e";"Cel";"Realizacja przedsięwzięć rzeczowo-finansowych określonych w PPPO 2009- 2018";"38";;;;;;;
"11-5-2-17-1-1";"011-005-002-017-001-001";"11-5-2-17-1";"011-005-002-017-001";1;"t";"f";"Miernik";"Procent realizacji przedsięwzięć zaplanowanych w PPPO";"38";"20%";"40%";;;;;
"11-5-2-18";"011-005-002-018";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Infrastruktury";"39";;;22599;22599;0;100;0
"11-5-2-18-1";"011-005-002-018-001";"11-5-2-18";"011-005-002-018";1;"f";"e";"Cel";"Utrzymanie zdolności realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców";"39";;;;;;;
"11-5-2-18-1-1";"011-005-002-018-001-001";"11-5-2-18-1";"011-005-002-018-001";1;"t";"f";"Miernik";"Procent realizacji zadań rocznych określonych w PPPO na lata 2009-2018 (w %)";"39";"14/16 87,5%";"17/17 100%";;;;;
"11-5-2-19";"011-005-002-019";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Sportu i Turystyki";"40";;;5;5;0;100;0
"11-5-2-19-1";"011-005-002-019-001";"11-5-2-19";"011-005-002-019";1;"f";"e";"Cel";"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców";"40";;;;;;;
"11-5-2-19-1-1";"011-005-002-019-001-001";"11-5-2-19-1";"011-005-002-019-001";1;"t";"f";"Miernik";"Stosunek pracowników przygotowanych do wykonywania zadań obronnych do wszystkich, którzy powinni być przygotowani";"40";"85%";"100%";;;;;
"11-5-2-20";"011-005-002-020";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Środowiska";"41";;;436;436;0;100;0
"11-5-2-20-1";"011-005-002-020-001";"11-5-2-20";"011-005-002-020";1;"f";"e";"Cel";"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej";"41";;;;;;;
"11-5-2-20-1-1";"011-005-002-020-001-001";"11-5-2-20-1";"011-005-002-020-001";1;"t";"f";"Miernik";"Liczba zrealizowanych przedsięwzięć";"41";"6";"6";;;;;
"11-5-2-21";"011-005-002-021";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Spraw Zagranicznych";"45";;;620;620;0;100;0
"11-5-2-21-1";"011-005-002-021-001";"11-5-2-21";"011-005-002-021";1;"f";"e";"Cel";"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej";"45";;;;;;;
"11-5-2-21-1-1";"011-005-002-021-001-001";"11-5-2-21-1";"011-005-002-021-001";1;"t";"f";"Miernik";"Procent realizacji zadań rocznych określonych w Programie Pozamilitarnych Przygotowań Obronnych (PPPO) (w %)";"45";"100%";"100%";;;;;
"11-5-2-22";"011-005-002-022";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Zdrowia";"46";;;11530;11530;0;100;0
"11-5-2-22-1";"011-005-002-022-001";"11-5-2-22";"011-005-002-022";1;"f";"e";"Cel";"Zabezpieczenie rezerw państwowych w zakresie ochrony zdrowia dla Sił Zbrojnych RP na wypadek zagroŜenia bezpieczeństwa i w czasie wojny";"46";;;;;;;
"11-5-2-22-1-1";"011-005-002-022-001-001";"11-5-2-22-1";"011-005-002-022-001";1;"t";"f";"Miernik";"%  zabezpieczenia w stosunku do zapotrzebowania";"46";"100%";"100%";;;;;
"11-5-2-23";"011-005-002-023";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Urząd Ochrony Konkurencji i Konsumentów";"53";;;4;4;0;100;0
"11-5-2-23-1";"011-005-002-023-001";"11-5-2-23";"011-005-002-023";1;"f";"e";"Cel";"Przygotowanie Urzędu do działan w sytuacjach kryzysowych";"53";;;;;;;
"11-5-2-23-1-1";"011-005-002-023-001-001";"11-5-2-23-1";"011-005-002-023-001";1;"t";"f";"Miernik";"Odsetek przeszkolonych osób do liczby osób zatrudnionych w Urzędzie zaplanowanych do przeszkolenia";"53";"0";"100%";;;;;
"11-5-2-24";"011-005-002-024";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Centralne Biuro Antykorupcyjne";"56";;;10;10;0;100;0
"11-5-2-24-1";"011-005-002-024-001";"11-5-2-24";"011-005-002-024";1;"f";"e";"Cel";"Realizacja szkoleń obronnych";"56";;;;;;;
"11-5-2-24-1-1";"011-005-002-024-001-001";"11-5-2-24-1";"011-005-002-024-001";1;"t";"f";"Miernik";"Ilość osób przeszkolonych";"56";"0";"12";;;;;
"11-5-2-25";"011-005-002-025";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Agencja Bezpieczeństwa Wewnętrznego";"57";;;34;34;0;100;0
"11-5-2-25-1";"011-005-002-025-001";"11-5-2-25";"011-005-002-025";1;"f";"e";"Cel";"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców";"57";;;;;;;
"11-5-2-25-1-1";"011-005-002-025-001-001";"11-5-2-25-1";"011-005-002-025-001";1;"t";"f";"Miernik";"Udział funkcjonariuszy ABW w szkoleniach w ramach programu pozamilitarnych przygotowań obronnych - wartość logicza tak (1)/ nie (0)";"57";"1";"1";;;;;
"11-5-2-26";"011-005-002-026";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Główny Urząd Statystyczny";"58";;;12;12;0;100;0
"11-5-2-26-1";"011-005-002-026-001";"11-5-2-26";"011-005-002-026";1;"f";"e";"Cel";"Przygotowanie jednostek statystyki publicznej do realizacji zadań w sytuacji zagroŜenia bezpieczeństwa państwa i w czasie wojny";"58";;;;;;;
"11-5-2-26-1-1";"011-005-002-026-001-001";"11-5-2-26-1";"011-005-002-026-001";1;"t";"f";"Miernik";"Ocena dokonanego zakupu sprzętu pod względem przydatności (wartość logiczna tak(1)/nie(0) )";"58";"nie mierzono";"1";;;;;
"11-5-2-27";"011-005-002-027";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Urząd Patentowy RP";"61";;;1;1;0;100;0
"11-5-2-27-1";"011-005-002-027-001";"11-5-2-27";"011-005-002-027";1;"f";"e";"Cel";"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców";"61";;;;;;;
"11-5-2-27-1-1";"011-005-002-027-001-001";"11-5-2-27-1";"011-005-002-027-001";1;"t";"f";"Miernik";"Stopień realizacji zadań obronnych nałoŜonych na UPRP w danym roku";"61";"100%";"100%";;;;;
"11-5-2-28";"011-005-002-028";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Ministerstwo Rolnictwa i Rozwoju Wsi";"62";;;15;15;0;100;0
"11-5-2-28-1";"011-005-002-028-001";"11-5-2-28";"011-005-002-028";1;"f";"e";"Cel";"Zapewnieni moŜliwości realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców";"62";;;;;;;
"11-5-2-28-1-1";"011-005-002-028-001-001";"11-5-2-28-1";"011-005-002-028-001";1;"t";"f";"Miernik";"Relacja liczby osób przeszkolonych do liczby osób zaplanowanych";"62";"100%";"100%";;;;;
"11-5-2-29";"011-005-002-029";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Główny Urząd Miar";"64";;;2;2;0;100;0
"11-5-2-29-1";"011-005-002-029-001";"11-5-2-29";"011-005-002-029";1;"f";"e";"Cel";"Zapewnienie moŜliwości realizacji zadań obronnych przez organy administracji publicznej i przedsiębiorców";"64";;;;;;;
"11-5-2-29-1-1";"011-005-002-029-001-001";"11-5-2-29-1";"011-005-002-029-001";1;"t";"f";"Miernik";"Relacja liczby zadań zrealizowanych do liczby zadań zaplanowanych w Programie Pozamilitarnych Przygotowań Obronnych (%)";"64";"100%";"100%";;;;;
"11-5-2-30";"011-005-002-030";"11-5-2";"011-005-002";1;"f";"d";"Dysponent";"Państwowa Agencja Atomistyki";"68";;;5;5;0;100;0
