"numer";"Funkcja / zadanie / podzadanie
";"Dysponent
";"Część
";"Cel
";"Miernik
";;;"Przewidywane wydatki w 2012 r. (w tys. zł)
";"nation";"eu"
"7.4.2";"7.4.2. Nadzór nad rynkiem wyrobów budowlanych
";"Ministerstwo Infrastruktury
";18;"Eliminowanie z obrotu wyrobów budowlanych niespełniających obowiązujących wymogów
";"Liczba wezwań skierowanych do Wojewódzkich Inspektoratów Nadzoru Budowlanego o przeprowadzenie kontroli doraźnych (w szt.)
";25;25;"1 369
";"1 369
";0
"7.4.2";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"13 600
";"13 600
";0
"7.4.3";"7.4.3. Orzecznictwo administracyjne
";"Ministerstwo Infrastruktury
";18;"Nadzór nad przestrzeganiem prawa przez organy administracji architektoniczno-budowlanej oraz nadzoru budowlanego
";"Procentowy udział rozstrzygnięć GINB niezakwestionowanych przez sądy administracyjne w stosunku do łącznej liczby zaskarŜonych rozstrzygnięć GINB
";"80%
";"82%
";"2 868
";"2 868
";0
"7.4.3";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"69 770
";"69 770
";0
"8";"FUNKCJA 8. KULTURA FIZYCZNA
";;;;;;;"643 832
";"643 832
";0
"8.1";"8.1. Promowanie i wspieranie rozwoju sportu dla wszystkich
";"Ministerstwo Sportu i Turystyki
";25;"Do roku 2015 zwiększenie aktywności fizycznej społeczeństwa o 10 % poprzez udział w programach upowszechniania sportu oraz poprzez upowszechnianie działań promujących sport
";"Liczba aktywnych uczestników programów sportowych w danym roku w relacji do liczby roku bazowego (2010) w %
";"100%
";"104%
";"23 160
";"23 160
";0
"8.1.1";"8.1.1. Upowszechnianie sportu w społeczeństwie
";"Ministerstwo Sportu i Turystyki
";25;"Do roku 2015 zwiekszenie aktywności fizycznej społeczeństwa o 10 % poprzez udział w programach upowszechniania sportu
";"Liczba aktywnych uczestników programów sportowych w danym roku w relacji do liczby roku bazowego (2010) w %
";"100%
";"104%
";"20 630
";"20 630
";0
"8.1.2";"8.1.2. Wspieranie działań promujących sport i jego rozwój
";"Ministerstwo Sportu i Turystyki
";25;"Do roku 2015 zwiększenie o 10 % aktywności fizycznej społeczeństwa poprzez upowszechnienie działań promujących sport
";"Liczba uczestników kampanii społecznych i imprez międzynarodowych  w relacji do liczby roku 2011 w %
";"0%
";"104%
";"2 530
";"2 530
";0
"8.2";"8.2. Wspieranie sportu wyczynowego
";"Ministerstwo Sportu i Turystyki
";25;"Poprawa poziomu sportowego i pozycji Polski we współzawodnictwie międzynarodowym w sportach olimpijskich
";"Pozycja Polski we współzawodnictwie międzynarodowym w danym roku (wg rankingu medalowego dla olimpijskich sportów letnich i olimpijskich sportów zimowych)
";15;"14-15
";"221 351
";"221 351
";0
"8.2.1";"8.2.1. Wspieranie działań związków sportowych i innych organizacji funkcjonujących w obszarze sportu
";"Ministerstwo Sportu i Turystyki
";25;"Zwiększenie do roku 2014  o 30 %  liczby zawodników i klubów sportowych uczestniczących we współzawodnictwie organizowanym przez polskie związki sportowe i inne organizacje funkcjonujące w obszarze sportu
";"Liczba członków kadry narodowej uczestniczących we współzawodnictwie międzynarodowym
";9064;10000;"211 849
";"211 849
";0
"8.2.2";"8.2.2. Wspieranie nauki, medycyny i ochrony integralności sportu
";"Ministerstwo Sportu i Turystyki
";25;"Wspieranie badań, diagnostyki i profilaktyki w zakresie nauki, medycyny oraz ochrony integralności sportu
";"Liczba przedsięwzięć dot. wspierania nauki, medycyny oraz ochrony integralności sportu w stosunku do liczby roku poprzedniego (%)
";"100%
";"102%
";"9 502
";"9 502
";0
"8.3";"8.3. Wspieranie rozwoju infrastruktury sportowej
";"Ministerstwo Sportu i Turystyki
";25;"Do roku 2015 zwiększenie o 4250 liczby obiektów nowoczesnej infrastruktury sportowej
";"Ogółem liczba obiektów wybudowanych/wyremontowanych/przebudowanych w danym roku (w szt.)
";1031;850;"255 170
";"255 170
";0
"8.3";;"Wojewodowie
";85;"Stworzenie warunków do rozwoju kultury fizycznej wśród młodzieŜy
";"Stopień wykonania planu kontroli
";"-
";1;23;23;0
"8.3.1";"8.3.1. Wspieranie rozwoju infrastruktury w sporcie powszechnym
";"Ministerstwo Sportu i Turystyki
";25;"Do roku 2015 zakończenie 1375 zadań inwestycyjnych dofinansowanych w obszarze budowy, remontów i przebudowy obiektów sportowych o znaczeniu lokalnym
";"Liczba obiektów o znaczeniu lokalnym wybudowanych/wyremontowanych/przebudowanych w danym roku (w szt.)
";481;275;"1 338
";"1 338
";0
"8.3.2";"8.3.2. Wspieranie rozwoju infrastruktury w sporcie wyczynowym
";"Ministerstwo Sportu i Turystyki
";25;"Do roku 2015 zakończenie 125 zadań inwestycyjnych dofinansowanych w obszarze budowy, remontów i przebudowy obiektów sportowych o znaczeniu strategicznym
";"Liczba obiektów o znaczeniu strategicznym wybudowanych/wyremontowanych/przebudowanych w danym roku (w szt.)
";31;25;"3 146
";"3 146
";0
"8.3.3";"8.3.3. Program ``Moje Boisko-Orlik 2012``
";"Ministerstwo Sportu i Turystyki
";25;"Do roku 2012 powstanie co najmniej 2479 obiektów sportowych w ramach programu ``Moje Boisko - Orlik
2012``
";"Liczba wybudowanych obiektów w ramach programu
``Moje Boisko - Orlik 2012`` w danym roku (w szt.)
";567;550;"250 686
";"250 686
";0
"8.3.3";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";23;23;0
"8.4";"8.4. Współorganizacja Mistrzostw Europy w Piłce NoŜnej UEFA EURO 2012
";"Ministerstwo Sportu i Turystyki
";25;"Wywiązywanie się Rzeczypospolitej Polskiej ze zobowiązań związanych ze współorganizacją Mistrzostw Europy
";"Stopień zaawansowania realizacji zobowiązań związanych ze współorganizacją Mistrzostw Europy w Piłce NoŜnej UEFA EURO 2012  zgodnych z harmonogramem (%)
";"0%
";"100 %
";"41 137
";"41 137
";0
"8.4";;"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"X
";"X
";"x
";"x
";"102 899
";"102 899
";0
"8.4";;"Wojewodowie
";85;"Finansowanie operatów szacunkowych na potrzeby ustalania odszkodowań
";"Ilość zleconych operatów
";"-
";"-
";92;92;0
"8.4.1";"8.4.1. Przygotowania Polski do współorganizacji
Mistrzostw Europy w Piłce NoŜnej UEFA EURO
2012
";"Ministerstwo Sportu i Turystyki
";25;"Wywiązywanie się Rzeczypospolitej Polskiej ze zobowiązań związanych ze współorganizacją Mistrzostw Europy
";"Stopień zaawansowania realizacji zobowiązań związanych ze współorganizacją Mistrzostw Europy w Piłce NoŜnej UEFA EURO 2012  zgodnych z harmonogramem (%)
";"0%
";"100%
";"41 137
";"41 137
";0
"8.4.1";;"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Zapewnienie bezpieczeństwa uczestnikom Mistrzostw
Europy
";"Wskaźnik stopnia realizacji przygotowań
";"100%
";"100%
";"102 899
";"102 899
";0
"8.4.1";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";92;92;0
"9";"FUNKCJA 9. KULTURA I DZIEDZICTWO NARODOWE
";;85;;;;;"1  767 638
";"1  767 638
";0
"9.1";"9.1. Podtrzymywanie i rozpowszechnianie tradycji narodowej i państwowej
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Kształtowanie patriotyzmu i świadomości narodowej
";"Liczba dofinansowanych przedsięwzięć upamiętniających wydarzenia historyczne w danym roku
";15;25;"32 483
";"32 483
";0
"9.1";;"Wojewodowie
";85;"Utrzymanie we właściwym stanie miejsc pamięci narodowej na terenie województwa
";"Liczba odnowionych obiektów w stosunku do liczby zinwentaryzowanych
";"-
";"8,25 %
";"9 484
";"9 484
";0
"9.1.1";"9.1.1. Ochrona miejsc pamięci narodowej w kraju i za granicą
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Utrzymanie i ochrona miejsc pamięci narodowej
";"Liczba obiektów poddanych pracom porządkowym i zabezpieczającym w kraju i za granicą w danym roku
";202;200;"31 847
";"31 847
";0
"9.1.1";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"9 484
";"9 484
";0
"9.1.2";"9.1.2. Restytucja dóbr kultury
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Odzyskiwanie utraconych dóbr kultury
";"Liczba dokonanych rejestracji narastająco
";10524;14000;636;636;0
"9.2";"9.2. Ochrona dziedzictwa narodowego
";"Kancelaria Prezydenta RP
";1;"Ochrona, poprawa i upowszechnianie stanu zachowania dziedzictwa narodowego
";"Wskaźnik jakości plannowania wydatków
";100;100;"42 000
";"42 000
";0
"9.2";;"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Ochrona, poprawa i upowszechnianie stanu zachowania dziedzictwa narodowego
";"Liczba zabezpieczonych obiektów dziedzictwa narodowego: zabytków, muzealiów, archiwaliów (w tym filmowych), księgozbiorów, itp. w danym roku
";71920323;77582373;"687 353
";"687 353
";0
"9.2";;"Ministerstwo Obrony Narodowej
";29;"Ochrona, poprawa i upowszechnianie stanu zachowania dziedzictwa narodowego
";"Liczba imprez i ekspozycji zorganizowanych przez muzea
";99;150;"16 925
";"16 925
";0
"9.2";;;29;;"Liczba zgromadzonych muzealiów
";252485;352720;;;
"9.2";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";32;"Ochrona, poprawa i upowszechnianie stanu zachowania dziedzictwa narodowego
";"Liczba wspieranych muzeów
";4;4;"5 880
";"5 880
";0
"9.2";;;32;;"Liczba zakupionych publikacji
";381200;383700;;;
"9.2";;"Ministerstwo Zdrowia
";46;"Upowszechnianie zbiorów bibliotecznych
";"Liczba wypoŜyczeń woluminów i udostępnień
bibliograficznych w Głównej Bibliotece Lekarskiej
";"305 016
";"397 902
";"8 813
";"8 813
";0
"9.2";;"Wojewodowie
";85;"Ochrona i poprawa stanu zachowania dziedzictwa narodowego
";"Liczba obiektów podlegających odrestaurowaniu w województwie w stosunku do zgłoszonych potrzeb w danym roku
";"-
";"62%
";"81 381
";"81 381
";0
"9.2.1";"9.2.1. Utrzymywanie muzeów
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Gromadzenie, bezpieczne przechowywanie i udostępnianie zbiorów muzealnych
";"Frekwencja w muzeach państwowych i współprowadzonych w danym roku / 2009 rok (%)
";9735;10531;"328 819
";"328 819
";0
"9.2.1";;"Ministerstwo Obrony Narodowej
";29;"Gromadzenie, bezpieczne przechowywanie i udostępnianie zbiorów muzealnych
";"Liczba zgromadzonych muzealiów
";252485;352720;"16 925
";"16 925
";0
"9.2.1";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";32;"Gromadzenie, bezpieczne przechowywanie i udostępnianie zbiorów muzealnych
";"Liczba wspieranych muzeów
";4;4;"1 540
";"1 540
";0
"9.2.2";"9.2.2. Ochrona Polskiego dziedzictwa kulturowego za granicą
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Poprawa stanu zachowania obiektów ruchomych i nieruchomych oraz kolekcji i zbiorów polskich za granicą
";"Liczba obiektów polskich za granicą poddanych pracom remontowo - konserwatorskim i dokumentacyjno - inwentaryzacyjnym w danym roku
";2;24;"4 007
";"4 007
";0
"9.2.3";"9.2.3. Zachowanie, utrzymanie i zagospodarowanie zabytków
";"Kancelaria Prezydenta RP
";1;"Poprawa stanu zachowania zabytków ruchomych i nieruchomych
";"Wskaźnik jakości planowania wydatków
";100;100;"42 000
";"42 000
";0
"9.2.3";;"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Poprawa stanu zachowania zabytków ruchomych, nieruchomych i archeologicznych
";"Liczba obiektów zabytkowych poddanych badaniom i pracom remontowo - konserwatorskim w danym roku
";149;539;"119 320
";"119 320
";0
"9.2.3";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"60 036
";"60 036
";0
"9.2.4";"9.2.4. Dokumentowanie, rejestrowanie i ewidencjonowanie zabytków oraz dóbr kultury
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Poprawa stanu ochrony prawnej zabytków poprzez rozbudowę ich rejestrów i ewidencję
";"Liczba obiektów objętych wpisem do rejestru i objętych ewidencjami (w tym liczba obiektów o zweryfikowanych wpisach do rejestrów i ewidencja)
";73701;406274;"19 265
";"19 265
";0
"9.2.4";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"21 345
";"21 345
";0
"9.2.5";"9.2.5. Utrzymywanie i powiększanie zasobów archiwalnych oraz zbiorów bibliotecznych, filmowych i audiowizulanych
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Ochrona i poprawa stanu zachowania materialnego dziedzictwa kulturowego oraz zwiększenie narodowego zasobu dziedzictwa kulturowego
";"Liczba zasobów archiwalnych oraz zbiorów bibliotecznych, filmowych i audiowizualnych poddanych konserwacji w danym roku (w szt.)
";62376953;66380122;"215 942
";"215 942
";0
"9.2.5";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";32;"Utrzymanie, wzbogacanie i upowszchnianie zbirów bibliotecznych
";"Liczba zakupionych publkacji
";381200;383700;"4 340
";"4 340
";0
"9.2.5";;"Ministerstwo Zdrowia
";46;"Upowszechnianie zbiorów bibliotecznych
";"Liczba wypoŜyczeń woluminów i udostępnień
bibliograficznych w Głównej Bibliotece Lekarskiej
";"305 016
";"397 902
";"8 813
";"8 813
";0
"9.3";"9.3. Działalność artystyczna, upowszechniająca i promująca kulturę polską w kraju i zagranicą
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Wzbogacanie oferty programowej placówek kulturalnych
";"Liczba premier i nowych przedsięwzięć artystycznych w państwowych i współprowadzonych samorzadowych instytucji kultury
";397;342;"586 429
";"586 429
";0
"9.3";;;24;"Promocja oraz kreowanie pozytywnego wizerunku Polski w kraju i za granicą
";"Liczba imprez kulturalnych organizowanych i współorganizowanych w Polsce i za granicą w danym roku
";9780;9484;;;
"9.3.1";"9.3.1. Wspieranie działalności artystycznej, upowszechniającej i promującej kulturę polską
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Kreowanie zainteresowania kulturą i wzrost udziału społeczeństwa w Ŝyciu kulturalnym
";"Liczba osób uczestniczących w realizowanych przedsięwzięciach kulturalnych w państwowych i współprowadzonych samorządowych instytucjach kultury / Liczba przedsięwzięć w danym roku
";546;440;"575 354
";"575 354
";0
"9.3.2";"9.3.2. Wspieranie kinematografii
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Wsparcie kinematografii
";"Liczba dofinansowanych przedsięwzięć w zakresie kinematografii w danym roku
";688;718;"11 075
";"11 075
";0
"9.4";"9.4. Budowa i modernizacja infrastruktury kultury
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Utrzymanie i pielęgnacja materialnej substancji sfery kultury
";"Liczba nowych, zmodernizowanych i wyposaŜonych obiektów
";106;156;"259 940
";"259 940
";0
"9.4";;"Ministerstwo Obrony Narodowej
";29;"Zapewnienie odpowiednich warunków dla przechowywania dóbr kultury oraz rozwój infrastruktury do prowadzenia działalności kulturalnej
";"Wskaźnik procentowy realizacji inwestycjij dotyczący budowy Muzeum Wojska Polskiego
";"1,20%
";"21,00%
";"36 950
";"36 950
";0
"9.4";;;29;;"Wskaźnik procentowy realizacji inwestycji dotyczący adaptacji kaponiery na potrzeby Oddziału Muzeum Wojska Polskiego - Muzeum Katyńskiego
";"26,50%
";"100%
";;;
"9.4.1";"9.4.1. Budowa obiektów
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Utrzymanie i pielęgnacja materialnej substancji sfery kultury
";"Powierzchnia budowanych obiektów w m2
";0;17364;"152 863
";"152 863
";0
"9.4.1";;"Ministerstwo Obrony Narodowej
";29;"Zapewnienie odpowiednich warunków dla przechowywania dóbr kultury oraz prowadzenia działalności kulturalnej
";"Wskaźnik procentowy realizacji inwestycji dotyczący budowy Muzeum Wojska Polskiego
";"1,20%
";"21,00%
";"15 150
";"15 150
";0
"9.4.2";"9.4.2. Modernizacja i wyposaŜanie obiektów
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Utrzymanie i pielęgnacja materialnej substancji sfery kultury
";"Liczba zmodernizowanych i wyposaŜonych obiektów
";100;150;"107 077
";"107 077
";0
"9.4.2";;"Ministerstwo Obrony Narodowej
";29;"Utrzymanie i pielęgnacja materialnej substancji sfery kultury
";"Wskaźnik procentowy realizacji inwestycji dotyczący adaptacji kaponiery na potrzeby Oddziału Muzeum Wojska Polskiego - Muzeum Katyńskie
";"26,50%
";"100%
";"21 800
";"21 800
";0
"10";"FUNKCJA 10. NAUKA POLSKA
";;;;;;;"6  447 880
";"5  136 291
";"1  311 589
"
"10.1";"10.1. Prowadzenie badań naukowych oraz rozbudowa infrastruktury nauki polskiej
";"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";28;"Podniesienie poziomu wyników badań naukowych
";"Liczba prac indeksowanych z Polski do liczby prac naukowych publikowanych w Polsce (%)
";"19,8%
";"27,0%
";"3  584 119
";"3  562 792
";"21 327
"
"10.1";;"Ministerstwo Sprawiedliwości
";37;"Doskonalenie instytucji prawa materialnego i procesowego oraz wyznaczanie poŜądanych kierunków stosowania prawa
";"Liczba opublikowanych opracowań naukowych w okresie sprawozdawczym
";35;34;"19 395
";"19 395
";0
"10.1";;;37;"Zapewnienie sprawnego przebiegu postępowań
sądowych i prokuratorskich
";"Liczba sporządzonych opinii i ekspertyz w okresie sprawozdawczym
";5600;5700;;;
"10.1";;"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";67;"Podniesienie poziomu wyników badań naukowych
";"Liczba indeksowanych z Polski do liczby prac naukowych publikowanych w Polsce (%)
";"19,8%
";"27%
";"22 403
";"22 403
";0
"10.1.1";"10.1.1. Wspieranie badań naukowych
";"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";28;"Wspieranie rozwoju poznawczych badań naukowych
";"Liczba prac indeksowanych z Polski do liczby prac naukowych publikowanych w Polsce (%)
";"19,8%
";"27,0%
";"3  016 656
";"2  995 329
";"21 327
"
"10.1.1";;"Ministerstwo Sprawiedliwości
";37;"Doskonalenie instytucji prawa materialnego i procesowego oraz wyznaczanie poŜądanych kierunków stosowania prawa
";"Liczba opublikowanych opracowań naukowych w okresie sprawozdawczym
";35;34;"19 395
";"19 395
";0
"10.1.1";;"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";67;"Wspieranie rozwoju poznawczych badań naukowych
";"Liczba prac indeksowanych z Polski do liczby prac naukowych publikowanych w Polsce (%)
";"19,8%
";"27%
";"22 403
";"22 403
";0
"10.1.2";"10.1.2.  Rozbudowa infrastruktury badawczej nauki polskiej
";"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";28;"Rozwój infrastruktury badawczej oraz zwiększenie
dostępu polskich naukowców do wielkiej infrastruktury badawczej
";"ZuŜycie aparatury naukowo-badawczej
";"77,5%
";"76,5%
";"567 463
";"567 463
";0
"10.2";"10.2. Wzmocnienie badań naukowych słuŜących praktycznym zastosowaniom
";"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";28;"Zwiększenie powiązań prac B+R z zastosowaniami praktycznymi
";"Udział nakładów na B+R przedsiębiorstw w nakładach na B+R ogółem
";"30,9%
";"35,0%
";"2  677 577
";"1  387 315
";"1  290 262
"
"10.2";;;28;;"Liczba patentów międzynarodowych udzielonych w Europejskim Urzędzie Patentowym (EPO), Urzędzie Patentowym Stanów Zjednoczonych Ameryki Północnej (UPSTO)
";"33 EPO (2009), 39
UPSTO
";"54 EPO 45 UPSTO
";;;
"10.2";;"Ministerstwo Obrony Narodowej
";29;"Zwiększenie powiązań prac B+R z praktyką gospodarczą
";"Wskaźnik procentowy opracowanych demontratorów technologii oraz metod badawczych do ogólnej liczby zakończonych badań naukowych
";"100%
";"100%
";"30 712
";"30 712
";0
"10.2";;"Ministerstwo Zdrowia
";46;"Opracowanie i wdroŜenie do praktyki klinicznej polskich protez serca z całkowicie implantowalną protezą serca jako element finalny
";"Liczba wytworzonych prototypów protez serca
";1;1;"1 750
";"1 750
";0
"10.2.1";"10.2.1. Wsparcie badań stosowanych i prac rozwojowych
";"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";28;"Zwiększenie atrakcyjności badań naukowych dla sektora gospodarczego
";"Liczba wspartych projektów dotyczących badań
stosowanych i prac rozwojowych
";1272;1160;"2  591 929
";"1  304 724
";"1  287 205
"
"10.2.1";;"Ministerstwo Obrony Narodowej
";29;"Zwiększenie udziału badań naukowych w obszarze obronności państwa
";"Wskaźnik procentowy opracowanych demontratorów technologii oraz metod badawczych do ogólnej liczby zakończonych badań naukowych
";"100%
";"100%
";"30 712
";"30 712
";0
"10.2.1";;"Ministerstwo Zdrowia
";46;"Opracowanie i wdroŜenie do praktyki klinicznej polskich protez serca z całkowicie implantowalną protezą serca jako element finalny
";"Liczba wytworzonych prototypów protez serca
";1;1;"1 750
";"1 750
";0
"10.2.2";"10.2.2. Rozbudowa infrastruktury słuŜącej praktycznym zastosowaniom
";"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";28;"Poprawa stanu infrastruktury badawczej
";"ZuŜycie aparatury naukowo-badawczej
";"77,5%
";"76,5%
";"85 648
";"82 591
";"3 057
"
"10.3";"10.3. Upowszechnianie, promocja oraz popularyzacja nauki
";"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";28;"Popularyzacja w społeczeństwie informacji o roli nauki w rozwoju cywilizacyjnym i gospodarczym
";"Liczba osób biorących udział w wydarzeniach promujących naukę
";"550 tys.
";"680 tys.
";"53 154
";"53 154
";0
"10.3";;"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";67;"Zwiększenie zainteresowania nauką i dziedzictwem narodowym poprzez upowszechnianie i promocję
";"Liczba wydarzeń promujących naukę
";0;3180;"58 770
";"58 770
";0
"10.3.1";"10.3.1. Wspieranie działalności Polskiej Akademii
Nauk
";"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";67;"UmoŜliwienie integracji uczonych całego kraju
";"Liczba członków PAN oraz przedstawicieli nauki uczestniczących w gremiach Akademii
";4068;3628;"24 838
";"24 838
";0
"10.3.2";"10.3.2. Poszerzanie wiedzy o nauce polskiej oraz wzbogacanie kultury narodowej
";"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";28;"Popularyzacja wiedzy o nauce
";"Liczba zadań wydawniczych dofinansowanych w danym roku
";797;850;"53 154
";"53 154
";0
"10.3.2";;"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";67;"Gromadzenie, opracowanie i zabezpieczanie zasobów bibliotecznych, muzealnych i archiwalnych oraz realizacja przedsięwzięć prezentujących osiągnięcia nauki
";"Liczba woluminów znajdujących się w zasobach bibliotecznych
";1308769;1361643;"33 932
";"33 932
";0
"11";"FUNKCJA 11. BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC
";;;;;;;"22 602 803
";"22 602 803
";0
"11.1";"11.1. Utrzymanie zdolności obronnych
";"Ministerstwo Obrony Narodowej
";29;"Zapewnienie gotowości SZ do podjęcia i realizacji zadań
zgodnie z operacyjnym przeznaczeniem
";"Poziom gotowości SZ do działań (miernik opisowy)
";"-
";"-
";"12 017 935
";"12 017 935
";0
"11.1";;"Wojewodowie
";85;"Przygotowanie i przeprowadzenie kwalifikacji wojskowej
";"Liczba poborowych podlegających kwalifikacji wojskowej
";"-
";"-
";586;586;0
"11.1.1";"11.1.1. Utrzymanie zdolności operacyjnych Wojsk
Lądowych
";"Ministerstwo Obrony Narodowej
";29;"Utrzymywanie gotowości do podjęcia działań
";"Poziom gotowości Wojsk Lądowych do działań
(miernik opisowy)
";"-
";"-
";"2  755 613
";"2  755 613
";0
"11.1.1";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";586;586;0
"11.1.2";"11.1.2. Utrzymanie zdolności operacyjnych Sił
Powietrznych
";"Ministerstwo Obrony Narodowej
";29;"Utrzymywanie gotowości do podjęcia działań
";"Poziom gotowości Sił Powietrznych do działań
(miernik opisowy)
";"-
";"-
";"1  388 530
";"1  388 530
";0
"11.1.3";"11.1.3. Utrzymanie zdolności operacyjnych
Marynarki Wojennej
";"Ministerstwo Obrony Narodowej
";29;"Utrzymywanie gotowości do podjęcia działań
";"Poziom gotowości Marynarki Wojennej do działań
(miernik opisowy)
";"-
";"-
";"628 945
";"628 945
";0
"11.1.4";"11.1.4. Utrzymanie zdolności operacyjnych Wojsk
Specjalnych
";"Ministerstwo Obrony Narodowej
";29;"Utrzymanie gotowości do podjęcia działań
";"Poziom gotowości Wojsk Specjalnych do działań
(miernik opisowy)
";"-
";"-
";"291 959
";"291 959
";0
"11.1.5";"11.1.5. Utrzymanie zdolności operacyjnych
śandarmerii Wojskowej
";"Ministerstwo Obrony Narodowej
";29;"Utrzymanie gotowości do podjęcia działań
";"Stopień zdolności do realizacji zadań (miernik opisowy)
";"-
";"-
";"201 022
";"201 022
";0
"11.1.6";"11.1.6. Zabezpieczenie dowodzenia Siłami
Zbrojnymi RP
";"Ministerstwo Obrony Narodowej
";29;"Utrzymanie skutecznego, szybkiego i bezpiecznego systemu dowodzenia
";"Poziom gotowości systemu dowodzenia do realizacji zadań (miernik opisowy)
";"-
";"-
";"434 308
";"434 308
";0
"11.1.7";"11.1.7. Zabezpieczenie logistyczne zdolności operacyjnych Sił Zbrojnych
";"Ministerstwo Obrony Narodowej
";29;"Utrzymanie sprawnego i skutecznego systemu zaopatrzenia wojsk
";"Ukompletowanie w UiSW oraz środki bojowe i materiałowe (miernik opisowy)
";"-
";"-
";"5  412 506
";"5  412 506
";0
"11.1.8";"11.1.8. Zabezpieczenie medyczne zdolności operacyjnych Sił Zbrojnych
";"Ministerstwo Obrony Narodowej
";29;"Utrzymanie sprawnego i skutecznego systemu zabepieczenia medycznego wojsk
";"Poziom gotowości systemu medycznego do realizacij zadań (miernik opisowy)
";"-
";"-
";"158 944
";"158 944
";0
"11.1.9";"11.1.9. Zakwaterowanie Sił Zbrojnych
";"Ministerstwo Obrony Narodowej
";29;"Zapewnienie świadczeń i uprawnień Ŝołnierzom zagwarantowanych prawem w zakresie zakwaterowania
";"Relacja liczby zrealizowanych świadczeń i uprawnień
do liczby oczekujących
";"99,60%
";"99,60%
";"746 108
";"746 108
";0
"11.2";"11.2. Rozwój zdolności obronnych
";"Ministerstwo Obrony Narodowej
";29;"Osiągnięcie poŜądanych zdolności obronnych
";"Przyjęcie przez Radę Ministrów oceny realizacji
Programu rozwoju SZ
";"przyjęcie oceny
";"przyjęcie oceny
";"8  891 457
";"8  891 457
";0
"11.2";;"Ministerstwo Finansów
";78;"Realizacja zobowiązań dłuŜnika
";"Pełna i terminowa realizacja zobowiązań dłuŜnika
";"-
";".100%
";"163 994
";"163 994
";0
"11.2.1";"11.2.1. Pozyskiwanie zdolności w ramach programów operacyjnych i poza nimi
";"Ministerstwo Obrony Narodowej
";29;"Osiągnięcie zdolności operacyjnych przez Siły Zbrojne
";"Relacja wskaźnika potencjału bojowego do jego poziomu z roku poprzedniego
";1;1003;"8  633 285
";"8  633 285
";0
"11.2.1";;"Ministerstwo Finansów
";78;"Realizacja zobowiązań dłuŜnika
";"Pełna i terminowa realizacja zobowiązań dłuŜnika
";"-
";".100%
";"163 994
";"163 994
";0
"11.2.2";"11.2.2. Programy NATO i UE
";"Ministerstwo Obrony Narodowej
";29;"Osiągnięcie zdolności operacyjnych w ramach NATO i
UE
";"Wskaźnik realizacji zobowiązań w ramach przyjętych programów NATO i UE
";"100%
";"100%
";"258 172
";"258 172
";0
