"numer";"funkcja_zadanie";"podzadanie";"dysponent";"czesc";"cel";"miernik_nazwa";"miernik_wartosc_bazowa";"miernik_wartosc_rok_obec";"ogolem";"budzet_panstwa";"budzet_srodkow_europejskich"
"3.1.5";;;"Wojewodowie";"85";"-";"-";"-";"-";7782;7782;0
"3.1.6";;"3.1.6. Edukacja pozalekcyjna i pozaszkolna";"Ministerstwo Edukacji Narodowej";"30";"Rozszerzanie i pogłębianie wiedzy oraz umiejętności dzieci i młodzieży, kształtowanie ich postaw, uzdolnień oraz zainteresowań";"Liczba ostatecznych beneficjentów działań w tysiącach ";"1500";"1700";101788;14582;87206
"3.1.6";;;"Ministerstwo Rolnictwa i Rozwoju Wsi";"32";"Rozszerzanie i pogłębianie wiedzy oraz umiejętności dzieci i młodzieży, kształtowanie ich postaw, uzdolnień oraz zainteresowań";"Liczba zrealizowanych zadań z zakresu wspierania rozwoju i edukacji młodzieży wiejskiej";"5";"5";620;620;0
"3.1.6";;;"Wojewodowie";"85";"Zwiększenie udziału dzieci i młodzieży w zajęciach pozalekcyjnych, pozaszkolnych i w różnych formach wypoczynku";"Procent uczniów biorących udział w różnych formach zajęć pozalekcyjnych i pozaszkolnych";"-";"-";15451;15451;0
"3.1.7";;"3.1.7. Wspieranie dostępu do podręczników";"Ministerstwo Edukacji Narodowej";"30";"Zapewnienie podręczników przeznaczonych do kształcenia specjalnego i zawodowego oraz do kształcenia w zakresie podtrzymywania tożsamości narodowej, etnicznej i językowej";"Liczba dofinansowanych tytułów podręczników do kształcenia specjalnego (1), kształcenia zawodowego (2) oraz w zakresie podtrzymywania tożsamości narodowej, etnicznej i językowej (3) ";"1) 13 2) 23  3) 14";"1)200  2)70  3) 8";5228;5228;0
"3.1.7";;;"Wojewodowie";"85";"-";"-";"-";"-";138;138;0
"3.1.8";;"3.1.8. Wsparcie działalności edukacyjno-wychowawczej";"Ministerstwo Kultury i Dziedzictwa Narodowego";"24";"Zapewnienie sprawnego funkcjonowania szkół i placówek systemu oświaty oraz placówek opiekuńczo-wychowawczych";"Liczba wychowanków w internatach i bursach / liczba uczniów kształcących się poza miejscem stałego zamieszkania (%)";"90,91";"91,00";25183;25183;0
"3.1.8";;;"Ministerstwo Edukacji Narodowej";"30";"Zapewnienie sprawnego funkcjonowania szkół i placówek systemu oświaty oraz placówek opiekuńczo-wychowawczych";"Liczba uczniów objętych wsparciem edukacyjnym do liczby uczniów ogółem (%)";"16%";"20%";577;577;0
"3.1.8";;;"Ministerstwo Pracy i Polityki Społecznej";"31";"-";"-";"-";"-";37743;37743;0
"3.1.8";;;"Wojewodowie";"85";"-";"-";"-";"-";2271;2271;0
"3.1.9";;"3.1.9. Prowadzenie działalności edukacyjnej, badawczej i popularyzatorskiej przez IPN";"Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu";"13";"Upowszechnianie wiedzy o najnowszej historii Polski ";"Ilość przedsięwzięć";"806";"1916";55198;55198;0
"3.1.10";;"3.1.10. Infrastruktura edukacji";"Ministerstwo Kultury i Dziedzictwa Narodowego";"24";"Zapewnienie odpowiedniej bazy dydaktycznej i socjalnej do procesów edukacyjno-wychowawczych";"Liczba prowadzonych zadań inwestycyjnych";"61,00";"64,00";11740;11740;0
"3.1.10";;;"Ministerstwo Środowiska";"41";"Zapewnienie odpowiedniej bazy dydaktycznej do procesu kształcenia";"Liczba wykonanych remontów i inwestycji, dokonanych zakupów oraz zrealizowanych umów";"78";"104";5340;5340;0
"3.1.10";;;"Wojewodowie";"85";"Zwiększenie udziału dzieci do piątego roku życia w edukacji wczesnoszkolnej";"1. Liczba wyposażonych szkolnych sal zabaw i wybudowanych szkolnych placów zabaw                                                                                              2. Procentowy udział dzieci do piątego roku życia w edukacji wczesnoszkolnej";"-";"-";920;920;0
"3.2";"3.2. Szkolnictwo wyższe";;"Ministerstwo Infrastruktury";"21";"Podnoszenie jakości kształcenia";"Procentowy udział środków przeznaczonych na infrastrukturę w dotacji budżetowej przekazanej uczelniom (w %)";"21";"20";106661;106661;0
"3.2";;;;"21";;"Liczba absolwentów (w szt.)";"2016";"2062";;;
"3.2";;;"Ministerstwo Kultury i Dziedzictwa Narodowego";"24";"Podnoszenie jakości kształcenia";"Liczba kadry wyższego szkolnictwa artystycznego posiadająca doktorat, habilitację i profesurę / ogół zatrudnionych nauczycieli akademickich (%)";"75,64";"75,92";483437;483437;0
"3.2";;;"Ministerstwo Obrony Narodowej";"29";"Dostosowanie kształcenia do potrzeb gospodarki";"Liczba absolwentów kształconych w trybie stacjonarnym, którzy objęli stanowisko służbowe w relacji do liczby wakatów na stanowiskach podporucznika";"46%";"46%";294434;294434;0
"3.2";;;;"29";;"Relacja liczby absolwentów kursów do ogólnej liczby potrzeb SZ RP określonych w Planie doskonalenia zawodowego SZ RP";"85%";"100%";;;
"3.2";;;"Ministerstwo Nauki i Szkolnictwa Wyższego";"38";"Podnoszenie jakości kształcenia";"Liczba polskich uczelni na liście the Times (ranking miejsc 1-400)";"2";"2";10126490;9506799;619691
"3.2";;;;"38";;"Liczba studentów i doktorantów zagranicznych studiujących w Polsce w stosunku do ogólnej liczby studentów i doktorantów";"0,87%";"1,20%";;;
"3.2";;;;"38";"Dostosowanie kształcenia do potrzeb rynku";"Liczba aktywnych zawodowo pracujących z wyższym wykształceniem w liczbie aktywnych zawodowo pracujących ogółem";"23,4%";"25,3%";;;
"3.2";;;"Ministerstwo Infrastruktury";"39";"Podnoszenie jakości kształcenia";"Liczba studentów kończących szkolenie lotnicze z wynikiem pozytywnym w szt.";"112";"235";5473;5473;0
"3.2";;;"Ministerstwo Spraw Wewnętrznych i Administracji";"42";"Podnoszenie jakości kształcenia";"-";"-";"-";60609;60609;0
"3.2";;;"Ministerstwo Zdrowia";"46";"Podnoszenie jakości kształcenia";"Liczba absolwentów uczelni medycznych studiów stacjonarnych";"10 520";"12 417";1365628;1365628;0
"3.2.1";;"3.2.1. Zarządzanie systemem szkolnictwa wyższego";"Ministerstwo Nauki i Szkolnictwa Wyższego";"38";"Zapewnienie sprawnego funkcjonowania systemu szkolnictwa wyższego";"Liczba wykonanych akredytacji";"407";"600";28892;28892;0
"3.2.2";;"3.2.2. Kształcenie w szkolnictwie wyższym akademickim ";"Ministerstwo Infrastruktury";"21";"Zwiększenie efektywności i dostępności kształcenia";"Liczba absolwentów (w szt.)";"2016";"2062";81296;81296;0
"3.2.2";;;"Ministerstwo Kultury i Dziedzictwa Narodowego";"24";"Zwiększenie efektywności i dostępności kształcenia";"Liczba studentów na kierunkach projektowych / ogół studentów (%)";"65,00";"70,00";443982;443982;0
"3.2.2";;;"Ministerstwo Obrony Narodowej";"29";"Zwiększenie efektywności i dostępności kształcenia";"Średnioroczna liczba kształconych kandydatów i żołnierzy zawodowych na studiach i kursach";"3 040";"3 484";272694;272694;0
"3.2.2";;;"Ministerstwo Nauki i Szkolnictwa Wyższego";"38";"Zwiększenie efektywności i dostępności kształcenia";"Udział osób z wyższym wykształceniem w społeczeństwie polskim";"16,5%";"20,5%";7818650;7462965;355685
"3.2.2";;;"Ministerstwo Infrastruktury";"39";"Zwiększenie efektywności i dostępności kształcenia";"Liczba studentów kończących szkolenie lotnicze z wynikiem pozytywnym w szt.";"112";"235";5473;5473;0
"3.2.2";;;"Ministerstwo Zdrowia";"46";"Zwiększenie efektywności i dostępności kształcenia";"Liczba studentów studiów stacjonarnych wg rocznego sprawozdania S-10";"48 846";"56 151";1226071;1226071;0
"3.2.3";;"3.2.3. Kształcenie w szkolnictwie wyższym zawodowym";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";"Wykształcenie kadry, funkcjonariuszy i osób cywilnych do wykonywania zadań dla potrzeb ochrony przeciw pożarowej";"Liczba osób kształcących się na studiach wyższych oraz szkolonych na kursach";"2427";"2533";59317;59317;0
"3.2.4";;"3.2.4. Wsparcie procesu studiowania";"Ministerstwo Kultury i Dziedzictwa Narodowego";"24";"Zwiększenie dostępności wykształcenia wyższego dla osób w trudnej sytuacji materialnej i osób niepełnosprawnych";"Liczba studentów otrzymujących pomoc socjalną / rok poprzedni (%)";"101,50";"103,45";26855;26855;0
"3.2.4";;;"Ministerstwo Nauki i Szkolnictwa Wyższego";"38";"Zwiększenie dostępności wykształcenia wyższego dla osób w trudnej sytuacji materialnej i osób niepełnosprawnych";"Odsetek studentów otrzymujących pomoc o charakterze socjalnym";"12,3%";"13,00%";1565599;1565599;0
"3.2.4";;;"Ministerstwo Spraw Wewnętrznych i Administracji";"42";"Zwiększenie dostępności wykształcenia wyższego dla osób w trudnej sytuacji materialnej i osób niepełnosprawnych";"Odsetek (%) studentów otrzymujących pomoc materialną do ogólnej liczby studentów";"26%";"20%";1292;1292;0
"3.2.4";;;"Ministerstwo Zdrowia";"46";"Zwiększenie dostępności wykształcenia wyższego dla osób w trudnej sytuacji materialnej i osób niepełnosprawnych";"Liczba udzielonych stypendiów socjalnych i dopłat do zakwaterowania";"19 878";"24 129";95196;95196;0
"3.2.5";;"3.2.5. Infrastruktura szkolnictwa wyższego";"Ministerstwo Infrastruktury";"21";"Zapewnianie odpowiedniej bazy dydaktycznej i socjalnej do procesu kształcenia";"Procentowy udział środków przeznaczonych na infrastrukturę w dotacji budżetowej przekazanej uczelniom (w %)";"21";"20";25365;25365;0
"3.2.5";;;"Ministerstwo Kultury i Dziedzictwa Narodowego";"24";"Zapewnianie odpowiedniej bazy dydaktycznej i socjalnej do procesu kształcenia";"Nakłady na inwestycje w wyższym szkolnictwie artystycznym w przeliczeniu na jednego studenta (w zł)";"660,59";"792,45";12600;12600;0
"3.2.5";;;"Ministerstwo Obrony Narodowej";"29";"Zapewnianie odpowiedniej bazy dydaktycznej i socjalnej do procesu kształcenia";"Opis stopnia osiągnięcia celu";"-";"-";21740;21740;0
"3.2.5";;;"Ministerstwo Nauki i Szkolnictwa Wyższego";"38";"Zapewnianie odpowiedniej bazy dydaktycznej i socjalnej do procesu kształcenia";"Sumaryczna powierzchnia użytkowa budynków w m2 oddanych do użytku w danym roku budżetowym";"80813";"72300";574395;310389;264006
"3.2.5";;;"Ministerstwo Zdrowia";"46";"Zapewnianie odpowiedniej bazy dydaktycznej i socjalnej do procesu kształcenia";"Zaawansowanie realizacji nadzorowanych inwestycji";"54%";"77%";44361;44361;0
"3.2.6";;"3.2.6. Program wieloletni ``Budowa kampusu 600-lecia Odnowienia Uniwersytetu Jagiellońskiego``";"Ministerstwo Nauki i Szkolnictwa Wyższego";"38";"Rozbudowa infrastruktury Uniwersytetu Jagiellońskiego";"Sumaryczna powierzchnia użytkowa w m2 obiektów oddanych do użytków ramach programu wieloletniego";"24480";"59995";55000;55000;0
"3.2.7";;"3.2.7. Program wieloletni ``Uniwersytet im. Adama Mickiewicza w Poznaniu 2004-2015``";"Ministerstwo Nauki i Szkolnictwa Wyższego";"38";"Rozbudowa infrastruktury Uniwersytetu im. Adama Mickiewicza w Poznaniu";"Sumaryczna powierzchnia użytkowa w m2 obiektów oddanych do użytku w ramach programu wieloletniego";"29553";"43413";83954;83954;0
"3.3";"3.3. Informatyzacja działalności i budowa społeczeństwa informacyjnego";;"Ministerstwo Edukacji Narodowej";"30";"Zwiększenie wykorzystania technologii informacyjno -komunikacyjnych w zarządzaniu polityką edukacyjną, wychowawczą i opiekuńczą państwa";"Liczba tablic wynikowych i wskaźników obrazujących realizację zadań z zakresu oświaty";"30";"100";6285;4900;1385
"3.3";;;"Wojewodowie";"85";"Zwiększenie wykorzystania technologii informacyjno-komunikacyjnych";"Procentowy udział czasu bezawaryjnego funkcjonowania serwisów";"95%";"96%";552;552;0
"3.3.1";;"3.3.1. Utrzymanie i rozwój systemów informatycznych";"Ministerstwo Edukacji Narodowej";"30";"Zapewnienie sprawności gromadzenia, utrzymania oraz przetwarzania zasobów i danych z obszaru oświaty";"Sprawność działania systemu bazodanowego (%) ";"99,5%";"99,5%";4372;4372;0
"3.3.1";;;"Wojewodowie";"85";"Zapewnienie dostępu do usługi szerokopasmowego dostępu do Internetu jednostkom uprawnionym";"1. Stosunek liczby udzielonych dotacji związanych z przyłączeniem do sieci do ogólnej liczby jednostek uprawnionych; 2. Procent jednostek uprawnionych, które uzyskały dostęp do szerokopasmowego Internetu";"-";"-";552;552;0
"3.3.2";;"3.3.2. Budowa i wdrożenie rozwiązań informatycznych";"Ministerstwo Edukacji Narodowej";"30";"Zwiększenie rzetelności gromadzenia danych i rozszerzenie możliwości analitycznych systemu";"Liczba korekt danych w Systemie Informacji Oświatowej, skutkujących zmniejszeniem wysokości naliczonej subwencji oświatowej";"542";"520";1913;528;1385
"4";"FUNKCJA 4. ZARZĄDZANIE FINANSAMI PAŃSTWA";;;;;;;;162662835;125881146;36781689
"4.1";"4.1. Opracowywanie i wykonywanie budżetu państwa";;"Ministerstwo Finansów";"19";"Zapewnianie prawidłowej realizacji opracowania i wykonania budżetu państwa";"Wartość logiczna Tak/Nie";"Tak";"Tak";58973;42272;16701
"4.1";;;"Ministerstwo Finansów";"81";"-";"-";"-";"-";95000;95000;0
"4.1";;;"Ministerstwo Finansów";"83";"-";"-";"-";"-";54644058;17940064;36703994
"4.1";;;"Wojewodowie";"85";"Zapewnianie prawidłowej realizacji opracowania i wykonania budżetu państwa";"-";"-";"-";915;915;0
"4.1.1";;"4.1.1. Opracowanie metodologii i planowanie budżetowe";"Ministerstwo Finansów";"19";"Skonstruowanie projektu ustawy budżetowej";"Wartość logiczna Tak/Nie";"Tak";"Tak";35697;18996;16701
"4.1.1";;;"Ministerstwo Finansów";"81";"-";"-";"-";"-";95000;95000;0
"4.1.1";;;"Wojewodowie";"85";"-";"-";"-";"-";915;915;0
"4.1.2";;"4.1.2. Realizacja budżetu państwa ";"Ministerstwo Finansów";"19";"Efektywne, zgodne z harmonogramem, wykonywanie ustawy budżetowej przy zapewnieniu płynności finansowej oraz szybkiej i precyzyjnej informacji o realizacji budżetu państwa";"Wartość logiczna Tak/Nie";"Tak";"Tak";23276;23276;0
"4.1.2";;;"Ministerstwo Finansów";"83";"-";"-";"-";"-";54644058;17940064;36703994
"4.2";"4.2. Opracowanie systemu finansowania jednostek samorządu terytorialnego (jst) i sfery budżetowej";;"Ministerstwo Finansów";"19";"Zapewnienie finansowania zadań jst i sfery budżetowej";"Stopień realizacji zadania";"100%";"100%";4585;2327;2258
"4.2";;;"Ministerstwo Finansów";"82";"Zapewnienie finansowania zadań jst i sfery budżetowej";"Stopień realizacji zadania";"100";"100";48357658;48357658;0
"4.2";;;"Wojewodowie";"85";"Utrzymanie płynności budżetów jst";"Liczba zawiadomień o naruszeniu dyscypliny finansów publicznych";"16";"17";2022;2022;0
"4.2.1";;"4.2.1. Zapewnienie spójności systemu finansów publicznych";"Ministerstwo Finansów";"19";"Prawidłowe funkcjonowanie systemu finansów publicznych";"Stopień realizacji zadania";"100%";"100%";1195;1195;0
"4.2.1";;;"Ministerstwo Finansów";"82";"Prawidłowe funkcjonowanie systemu finansów publicznych";"Stopień realizacja zadania ";"100%";"100%";48357658;48357658;0
"4.2.1";;;"Wojewodowie";"85";"-";"-";"-";"-";299;299;0
"4.2.2";;"4.2.2. Analiza i ocena funkcjonowania systemu finansowania jst";"Ministerstwo Finansów";"19";"Uzyskanie informacji o sytuacji finansowej jst";"Stopień realizacji zadania ";"100%";"100%";3390;1132;2258
"4.2.2";;;"Wojewodowie";"85";"Zapewnienie stabilności finansowej jst";"Stosunek liczba wydanych zaleceń pokontrolnych do liczby przeprowadzonych kontroli";"-";"-";1723;1723;0
"4.3";"4.3. Realizacja dochodów z podatków bezpośrednich, pośrednich oraz dochodów niepodatkowych";;"Ministerstwo Finansów";"19";"Zapewnienie dochodów dla budżetu państwa z tytułu podatków i należności niepodatkowych";"Wskaźnik realizacji wpływów z podatków stanowiących dochód budżetu jednostki samorządu terytorialnego do należności z tytułu podatków stanowiących dochody budżetu jednostek samorządu terytorialnego";"88,27%";"86,34%";3410277;3382722;27555
"4.3";;;;"19";;"Wskaźnik realizacji wpływów z tytułu należności stanowiących dochód budżetu państwa do należności budżetowych";"95,52%";"92,75%";;;
"4.3";;;"Wojewodowie";"85";"Zapewnienie dochodów dla budżetu państwa z tytułu podatków i należności niepodatkowych";"Udział procentowy ściągalności należności tj. stosunek wykonania dochodów do przypisanych należności";"78%";"75%";17670;17670;0
"4.3.1";;"4.3.1. Pobór podatków w tym ustalanie i określanie zobowiązań podatkowych oraz niepodatkowych należności budżetu państwa i jednostek samorządu terytorialnego";"Ministerstwo Finansów";"19";"Skuteczny i efektywny pobór należności podatkowych i niepodatkowych należności budżetu państwa";"Wskaźnik realizacji wypływów z decyzji pokontrolnych ";"23,01%";"20,13%";2444819;2444819;0
"4.3.1";;;"Wojewodowie";"85";"Skuteczny pobór należności budżetu państwa";"Liczba wystawionych tytułów wykonawczych w stosunku do liczby niezapłaconych należności";"-";"-";17670;17670;0
"4.3.2";;"4.3.2. Zapewnienie sprawnej obsługi podatników";"Ministerstwo Finansów";"19";"Poprawa efektywności funkcjonowania organów administracji podatkowej oraz jakości obsługi klienta (w tym poprawa satysfakcji podatników)";"Liczba udzielonych informacji telefonicznych w stosunku do liczby czynnych podatników";"0,083";"0,086";84695;71383;13312
"4.3.3";;"4.3.3. Pobór ceł i udogodnienia w handlu i podróżach przez granicę";"Ministerstwo Finansów";"19";"Skuteczny i efektywny pobór należności celnych oraz przyspieszenie przepływu towarów i osób z krajów trzecich";"Odsetek zgłoszeń celnych przyjmowanych drogą elektroniczną";"96,11%";"96,29%";503947;489704;14243
"4.3.4";;"4.3.4. Prowadzenie postępowań egzekucyjnych";"Ministerstwo Finansów";"19";"Doprowadzenie do zapłaty należności podatkowych, niepodatkowych i celnych przez podatników uchylających się od tego obowiązku";"Wskaźnik efektywności egzekucji liczony jako udział kwoty wyegzekwowanych zaległości ogółem do kwot objętych tytułami wykonawczymi";"18,64%";"19,63%";376816;376816;0
"4.4";"4.4. Zarządzanie długiem publicznym";;"Ministerstwo Finansów";"19";"Opracowanie i realizacja Strategii zarządzania długiem sektora finansów publicznych";"Przyjęcie Strategii zarządzania długiem sektora finansów publicznych ";"Tak";"Tak";13648;13648;0
"4.4";;;"Ministerstwo Finansów";"78";"Opracowanie i realizacja Strategii zarządzania długiem sektora finansów publicznych";"Przyjęcie Strategii zarządzania długiem sektora finansów publicznych ";"Tak";"Tak";8689386;8689386;0
"4.4";;;"Ministerstwo Finansów";"79";"Opracowanie i realizacja Strategii zarządzania długiem sektora finansów publicznych";"Przyjęcie Strategii zarządzania długiem sektora finansów publicznych ";"Tak";"Tak";29621700;29621700;0
"4.4.1";;"4.4.1. Zarządzanie i obsługa długu krajowego";"Ministerstwo Finansów";"19";"Realizacja zobowiązań dłużnika i gwaranta";"Pełna i terminowa realizacja zobowiązań dłużnika i gwaranta";"Tak";"Tak";10892;10892;0
"4.4.1";;;"Ministerstwo Finansów";"79";"Realizacja  zobowiązań dłużnika i gwaranta";"Pełna i terminowa realizacja zobowiązań dłużnika i gwaranta";"Tak";"Tak";29621700;29621700;0
"4.4.2";;"4.4.2. Zarządzanie i obsługa długu zagranicznego";"Ministerstwo Finansów";"19";"Realizacja zobowiązań dłużnika i gwaranta";"Pełna i terminowa realizacja zobowiązań dłużnika i gwaranta";"Tak";"Tak";2756;2756;0
"4.4.2";;;"Ministerstwo Finansów";"78";"Realizacja zobowiązań dłużnika i gwaranta";"Pełna i terminowa realizacja zobowiązań dłużnika i gwaranta";"Tak";"Tak";8689386;8689386;0
"4.5";"4.5. Przeciwdziałanie zagrożeniom bezpieczeństwa finansowego państwa";;"Ministerstwo Finansów";"19";"Wykrywanie nieprawidłowości zagrażających bezpieczeństwu państwa";"Liczba wszczętych postępowań karnych skarbowych na 1000 przeprowadzonych kontroli";"363,19";"374,15";313209;311895;1314
"4.5";;;"Wojewodowie";"85";"Wykrywanie nieprawidłowości zagrażających bezpieczeństwu państwa";"Liczba wszczętych kontroli";"7";"7";1185;1185;0
"4.5.1";;"4.5.1. Prowadzenie postępowań karnych skarbowych";"Ministerstwo Finansów";"19";"Wykrywanie osób podejrzanych o dokonanie przestępstw lub wykroczeń skarbowych i prowadzenie działań zmierzających do ich ukarania";"Liczba wszczętych postępowań karnych skarbowych na 1000 przeprowadzonych kontroli";"363,19";"374,15";14243;14243;0
"4.5.2";;"4.5.2. Przeciwdziałanie praniu pieniędzy i finansowaniu terroryzmu";"Ministerstwo Finansów";"19";"Zabezpieczenie systemu finansowego państwa przed wykorzystaniem go do legalizacji środków pochodzących z przestępstw";"Liczba podmiotów, których transakcje podlegają analizie GIIF";"12766";"13600";4732;4732;0
"4.5.2";;;"Wojewodowie";"85";"Zapewnienie skutecznego wypełniania obowiązków przez jst ";"Stosunek wykrytych nieprawidłowości do liczby przeprowadzonych kontroli";"-";"-";1185;1185;0
"4.5.3";;"4.5.3. Wywiad skarbowy";"Ministerstwo Finansów";"19";"Dostarczanie informacji na potrzeby bezpieczeństwa finansowego państwa";"-";"-";"-";49245;49245;0
"4.5.4";;"4.5.4. Ochrona rynku przed przemytem towarów";"Ministerstwo Finansów";"19";"Poprawa skuteczności walki z nadużyciami celnymi i przemytem";"Liczba ujawnień przemytu na 100 kontroli przeprowadzonych przez wydziały zwalczania przestępczości (szt.)";"12,23";"12,46";244989;243675;1314
"4.6";"4.6. Koordynowanie i organizowanie współpracy finansowej, kredytowej i płatniczej z zagranicą oraz w ramach Unii Europejskiej";;"Ministerstwo Finansów";"19";"Wspieranie eksportu polskich towarów i usług oraz wpłata składki do budżetu Unii Europejskiej";"Wartość kredytów eksportowych objętych systemem finansowych instrumentów wspierania eksportu";"12 mld";"8,5 mld";14019;14019;0
"4.6";;;"Ministerstwo Finansów";"84";"Wypełnianie traktatowego zobowiązania wobec UE - wpłata składki członkowskiej do budżetu UE ";"Wpłaty składki członkowskiej dokonane terminowo i bez błędów/liczba wszystkich dokonanych płatności ";"100%";"100%";15656425;15656425;0
"4.6.1";;"4.6.1. Nadzór w zakresie finansowych instrumentów wspierania eksportu";"Ministerstwo Finansów";"19";"Wspieranie eksportu polskich towarów i usług";"Wartość kredytów eksportowych objętych programem DOKE";"12 mld";"8,5 mld";13744;13744;0
"4.6.2";;"4.6.2. Środki własne UE";"Ministerstwo Finansów";"19";"Wypełnianie traktatowego zobowiązania Polski wobec UE";"Wpłata składki członkowskiej dokonane terminowo i bez błędów/liczba wszystkich dokonanych płatności";"100%";"100%";275;275;0
"4.6.2";;;"Ministerstwo Finansów";"84";"Wypełniania traktatowego zobowiązania wobec UE- wpłata składki członkowskiej do UE ";"Wpłaty składki członkowskiej dokonane terminowo i bez błędów/ liczba wszystkich płatności";"100%";"100%";15656425;15656425;0
"4.7";"4.7. Działania kontrolne w zakresie poboru należności budżetu państwa";;"Ministerstwo Finansów";"19";"Zapewnianie wywiązywania się z obowiązków podatkowych i celnych przez podatników";"Kwota ustaleń dokonanych w toku kontroli podatkowych i celnych (mln zł)";"4265";"4629";1024172;1024172;0
"4.7";;;;"19";;"Liczba kontroli w wyniku których stwierdzono nieprawidłowości w stosunku do liczby przeprowadzonych kontroli przedsiębiorców dokonujących obrotu wyrobami akcyzowymi oraz przedsiębiorców dokonujących obrotu towarowego z krajami trzecimi";"0,50";"0,46";;;
"4.7";;;;"19";;"Liczba wydanych decyzji i postanowień na 1000 zgłoszeń celnych ";"52,93";"42,88";;;
"4.7.1";;"4.7.1. Prowadzenie kontroli podatkowych";"Ministerstwo Finansów";"19";"Zapewnianie wywiązywania się z obowiązków wynikających z przepisów prawa podatkowego";"Liczba przeprowadzonych kontroli podatkowych w stosunku do liczby jednostek podlegających kontroli";"3,87%";"3,50%";313361;313361;0
"4.7.2";;"4.7.2. Prowadzenie kontroli wykonywanej przez Służbę Celną";"Ministerstwo Finansów";"19";"Zapewnianie wywiązywania się z obowiązków podatkowych i celnych przez podatników";"Wysokość ustaleń kontrolnych w stosunku do osób zatrudnionych w komórkach kontroli (mln zł/os)";"5,20";"5,73";516943;516943;0
"4.7.3";;"4.7.3. Prowadzenie czynności sprawdzających";"Ministerstwo Finansów";"19";"Usuwanie nieprawidłowości w rozliczeniach podatkowych dokonywanych przez podatników w składanych deklaracjach i wpłacanych podatkach";"Liczba czynności sprawdzających przeprowadzonych z udziałem podatników (w mln.szt.)";"2,92";"2,90";193868;193868;0
"4.8";"4.8. Kontrola skarbowa oraz nadzór nad organami kontroli skarbowej";;"Ministerstwo Finansów";"19";"Poprawa działań kontroli skarbowej";"Wysokość ustaleń w zakresie należności budżetowych na 1000 kontrolerów";"680,78";"701,3";379105;379105;0
"4.8";;;;"19";;"Wysokość wpływów budżetowych w wyniku postępowań kontrolnych na 1000 kontrolerów";"91,74";"94,51";;;
"4.8.1";;"4.8.1. Analiza, zarządzanie i wykorzystywanie danych uzyskanych w wyniku działań organów kontroli skarbowej";"Ministerstwo Finansów";"19";"Poprawa efektywności i skuteczności działań kontroli skarbowej";"Wysokość ustaleń w zakresie należności budżetowych na 1000 kontrolerów";"680,78";"701,3";31123;31123;0
"4.8.2";;"4.8.2. Inicjowanie i prowadzenie postępowań kontrolnych prowadzonych przez organ kontroli skarbowej";"Ministerstwo Finansów";"19";"Wykrywanie istotnych nieprawidłowości zagrażających bezpieczeństwu państwa";"Wysokość wpływów budżetowych w wyniku postępowań kontrolnych na 1000 kontrolerów";"91,74";"94,51";294620;294620;0
"4.8.3";;"4.8.3. Audyt i kontrola środków pochodzących z UE";"Ministerstwo Finansów";"19";"Potwierdzanie prawidłowości wydatków i systemów zarządzania i kontroli dla środków pochodzących z UE- wykonywanie zadań państwa członkowskiego określonych w przepisach UE oraz przekazywanie do KE informacji o nieprawidłowościach";"Liczba audytów i kontroli dotyczących środków budżetu UE i innych źródeł zagranicznych";"40";"nie mniej niż 50 kontroli";53362;53362;0
"4.9";"4.9. Nadzór nad rynkiem kapitałowym, ubezpieczeniowym, emerytalnym i bankowym";;"Ministerstwo Finansów";"19";"Zapewnianie stabilności rynków kapitałowego, ubezpieczeniowego, emerytalnego i bankowego, a także ochrony interesów ich uczestników";"Wartość logiczna Tak/Nie";"Tak";"Tak";4409;4409;0
"4.9";;;"Komisja Nadzoru Finansowego";"70";"
Zapewnienie zgodności postępowań podmiotów nadzorowanych z regulacjami rynku finansowego";"Liczba zakończonych postępowań kontrolnych";"170";"210";202674;202674;0
"4.9";;;;"70";"Zapewnienie ochrony interesów uczestników rynku finansowego";"Odsetek zakończonych postępowań administracyjnych (liczba rozstrzygnięć w stosunku do liczby wniosków)";"81";"82";;;
"4.9.1";;"4.9.1. Nadzór nad podmiotami rynku kapitałowego";"Ministerstwo Finansów";"19";"Zapewnienie zgodności postępowania z regulacjami rynku kapitałowego.";"Wartość logiczna Tak/Nie";"Tak";"Tak";1021;1021;0
"4.9.1";;;"Komisja Nadzoru Finansowego";"70";"Zapewnienie zgodności postępowania z regulacjami rynku kapitałowego.";"Stwierdzone nieprawidłowości skutkujące zastosowaniem środków prawnych lub skierowaniem powiadomienia o nieprawidłowościach.";"113";"115";36483;36483;0
"4.9.2";;"4.9.2. Nadzór nad działalnością zakładów ubezpieczeń";"Ministerstwo Finansów";"19";"Ochrona interesów uczestników rynku ubezpieczeniowego";"Logiczny Tak/Nie";"Tak";"Tak";550;550;0
"4.9.2";;;"Komisja Nadzoru Finansowego";"70";"Zapewnienie spełnienia przez zakłady ubezpieczeń wymogów finansowych w celu ochrony interesów ubezpieczonych, ubezpieczających i uprawnionych w umów ubezpieczenia.";"Procentowy udział liczby zakładów ubezpieczeń realizujących programy naprawcze w ogólnej liczbie zakładów ubezpieczeń.";"5%";"6,5%";22295;22295;0
