"Numer umowy/decyzji";"Tytuł projektu";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Cały kraj";"Powiat";"Gmina";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"POIG.03.03.02-00-026/09-00";"Pozyskanie inwestora w zakresie finansowania rynku obligacji budowlanych";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.03.00";"POIG.03.03.02";"Cały kraj";"";"";"243,390.00";"199,500.00";"99,750.00";"84,787.50";"MULTIFINANSE Spółka z ograniczoną odpowiedzialnością ";"8992636336";"52-317";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"spółka z ograniczoną odpowiedzialnością - mikro przedsiębiorstwo";"00 Nie dotyczy";"POIG.03.03.02-00-026/09-02";"Tak";"2010/01/28";"2010/02/04"
"POIG.03.03.02-00-038/09-00";"DORADZTWO PRZYGOTOWUJACE PRZEDSIEBIORCE DO POZYSKANIA
INWESTORÓW ZEWNETRZNYCH O CHARAKTERZE UDZIAŁOWYM";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.03.00";"POIG.03.03.02";"Cały kraj";"";"";"437,980.00";"339,000.00";"169,500.00";"144,075.00";"Lauren Peso Polska";"6272595631";"41-500";"Chorzów";"Śląskie";"Powiat m. Chorzów";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"spółka akcyjna - małe przedsiębiorstwo";"00 Nie dotyczy";"POIG.03.03.02-00-038/09-01";"Tak";"2010/05/25";"2010/05/25"
"POIG.03.03.02-00-047/09-01";"Doradztwo dla Małkowski - Martech Sp. z o.o. w drodze na rynek New Connect";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.03.00";"POIG.03.03.02";"Cały kraj";"";"";"439,810.00";"360,500.00";"180,250.00";"153,212.50";"MAŁKOWSKI MARTECH Sp. z o.o.";"1230029611";"62-035";"Konarskie";"Wielkopolskie";"Powiat poznański";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"POIG.03.03.02-00-047/09-03";"Tak";"2010/10/11";"2010/11/30"
"POIG.03.03.02-00-062/09-02";"Specjalistyczna pomoc doradcza w przygotowaniu przedsiębiorstwa do pozyskania
inwestora zewnętrznego.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.03.00";"POIG.03.03.02";"Cały kraj";"";"";"200,080.00";"158,000.00";"79,000.00";"67,150.00";"ANALIZY ONLINE S.A.";"8971755969";"02-001";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"spółka akcyjna - małe przedsiębiorstwo";"00 Nie dotyczy";"POIG.03.03.02-00-062/09-02";"Tak";"2010/08/16";"2011/02/01"
"POIG.03.03.02-00-073/09-01";"Zakup usług doradczych w ramach procedury debiutu w ASO NewConnect";"Program Operacyjny Innowacyjna Gospodarka";"POIG.03.00.00";"POIG.03.03.00";"POIG.03.03.02";"Cały kraj";"";"";"451,400.00";"370,000.00";"185,000.00";"157,250.00";"GOLAB Spółka Akcyjna";"9241864043";"68-100";"Żegań";"Lubuskie";"Powiat żagański / Powiat żarski";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"spółka akcyjna - małe przedsiębiorstwo";"00 Nie dotyczy";"POIG.03.03.02-00-073/09-01";"Tak";"2010/09/30";"2010/10/08"
"POIG.04.01.00-04-001/09-04";"Budowa i produkcja innowacyjnej turbiny hydroenergetycznej z opcją aeracji. PKWiU 24.33";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.01.00";"";"Cały kraj";"";"";"35,265,783.60";"28,906,380.00";"20,000,000.00";"17,000,000.00";"AIRON INVESTMENT Anna Niemczewska";"9531008306";"85-880";"Bydgoszcz";"Kujawsko-pomorskie";"Powiat m. Bydgoszcz";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"osoba fizyczna prowadząca działalność gospodarczą - małe przedsiębiorstwo";"00 Nie dotyczy";"";"";"2010/11/17";"2010/12/15"
"POIG.04.01.00-04-005/09-00";"Wykorzystanie wysokogradientowej separacji magnetycznej do optymalizacji spalania w kotłowniach olejowych i gazowych.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.01.00";"";"Cały kraj";"";"";"3,589,972.00";"2,942,600.00";"2,059,820.00";"1,750,847.00";"Nesta Instal  Spółka z ograniczoną odpowiedzialnością";"8792467538";"87-100";"Toruń";"Kujawsko-pomorskie";"Powiat m. Toruń / Powiat toruński";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - mikro przedsiębiorstwo";"00 Nie dotyczy";"";"";"2010/06/11";"2010/07/05"
"POIG.04.01.00-04-011/09-03";"Uruchomienie laboratorium technik optoelektronicznych w celu świadczenia innowacyjnych usług konserwatorskich, PKWiU 92.52.12";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.01.00";"";"Cały kraj";"";"";"3,970,362.00";"3,767,398.00";"2,637,178.00";"2,241,601.30";"Restauro Spółka z ograniczoną odpowiedzialnością";"8790007086";"87-100";"Toruń";"Kujawsko-pomorskie";"Powiat m. Toruń / Powiat toruński";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - małe przedsiębiorstwo";"00 Nie dotyczy";"";"";"2010/06/21";"2010/06/25"
"POIG.04.01.00-14-195/09-00";"Opracowanie innowacyjnej metodyki i informatycznego systemu zarządzania dla kodyfikacji linii kolejowej";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.01.00";"";"Cały kraj";"";"";"3,263,360.00";"1,890,000.00";"567,000.00";"481,950.00";"PKP POLSKIE LINIE KOLEJOWE SPÓŁKA AKCYJNA";"1132316427";"03-734";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka akcyjna - duże przedsiębiorstwo";"00 Nie dotyczy";"";"";"2010/11/09";"2010/11/14"
"POIG.04.01.00-24-028/09-02";"Zespół mobilnych robotów czyszczących z przeznaczeniem do kanałów wentylacyjnych i technologicznych";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.01.00";"";"Cały kraj";"";"";"73,200.00";"11,000.00";"5,500.00";"4,675.00";"J.T.C. Spółka Akcyjna";"6250007650";"42-500";"Będzin";"Śląskie";"Powiat będziński / Powiat m. Sosnowiec";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka akcyjna - średnie przedsiębiorstwo";"00 Nie dotyczy";"";"";"2010/06/25";"2010/07/13"
"POIG.04.01.00-24-073/09-00";"Przeprowadzenie prac rozwojowych celem wprowadzenia na rynek innowacyjnego systemu lekkich paneli samonośnych do konstrukcji domów oraz zastosowania jako ekrany akustyczne";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.01.00";"";"Cały kraj";"";"";"24,395,852.00";"19,996,600.00";"11,994,660.00";"10,195,461.00";"LS Tech Homes Spółka z ograniczoną odpowiedzialnością";"5472105335";"43-300";"Bielsko-Biała";"Śląskie";"Powiat m. Bielsko-Biała";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - małe przedsiębiorstwo";"00 Nie dotyczy";"";"";"2010/07/30";"2010/08/02"
"POIG.04.01.00-30-068/09-00";"Stworzenie zintegrowanej sali operacyjnej ALVO INTEGRA i jej wdrożenie.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.01.00";"";"Cały kraj";"";"";"488,000.00";"400,000.00";"200,000.00";"170,000.00";"ALVO Grupa Gastrometal Barbara Staszczuk-Olszewska";"6980010535";"64-030";"Śmigiel";"Wielkopolskie";"Powiat kościański";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"osoba fizyczna prowadząca działalność gospodarczą - średnie przedsiębiorstwo";"00 Nie dotyczy";"";"";"2010/12/23";"2010/12/31"
"POIG.04.04.00-22-017/09-01";"Wdrożenie innowacyjnej technologii instalacji turbin wiatrowych i innych specjalistycznych usług dźwigowych";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Cały kraj";"";"";"29,802,900.00";"29,757,900.00";"17,779,065.00";"15,112,205.25";"Viatron Spółka z o.o.";"5851443987";"81-350";"Gdynia";"Pomorskie";"Powiat m. Gdynia";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - mikro przedsiębiorstwo";"00 Nie dotyczy";"POIG.04.04.00-22-017/09-04";"Nie";"2010/05/14";"2010/12/16"
"POIG.04.05.02-00-046/09-00";"Utworzenie Centrum Badawczo - Rozwojowego Odlewnictwa i Obróbki Metali Lekkich Sp. z o.o. w Kędzierzynie - Koźlu";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.05.00";"POIG.04.05.02";"Cały kraj";"";"";"17,991,000.00";"12,000,000.00";"8,400,000.00";"7,140,000.00";"Centrum Badawczo Rozwojowe Odlewnictwa i Obróbki Metali Lekkich Sp. z o.o.";"7492057250";"47-225";"Kędzierzyn - Koźle";"Opolskie";"Powiat kędzierzyńsko-kozielski";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - mikro przedsiębiorstwo";"00 Nie dotyczy";"";"";"2010/12/07";"2010/12/07"
"POIG.05.02.00-00-002/08-01";"Rozwój usług doradczych o charakterze proinnowacyjnym świadczonych przez ośrodki Krajowej Sieci Innowacji (KSI)";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.02.00";"";"Cały kraj";"";"";"18,967,087.01";"18,967,087.01";"18,967,087.01";"16,122,023.95";"Polska Agencja Rozwoju Przedsiębiorczości";"5262501444";"00-834";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIG.05.02.00-00-002/08-09";"Nie";"2010/03/03";"2010/08/23"
"POIG.05.02.00-00-013/10-00";"Analiza poziomu kreatywności i absorpcji innowacji w przedsiębiorstwach";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.02.00";"";"Cały kraj";"";"";"3,879,793.20";"3,879,793.20";"3,879,793.20";"3,297,824.22";"Park Naukowo-Technologiczny ""TECHNOPARK GLIWICE"" Sp. z o.o.";"6312420815";"44-100";"Gliwice";"Śląskie";"Powiat m. Gliwice";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"spółka z ograniczoną odpowiedzialnością - duże przedsiębiorstwo";"00 Nie dotyczy";"POIG.05.02.00-00-013/10-01";"Nie";"2010/09/29";"2010/10/12"
"POIG.05.02.00-00-014/10-01";" Katalizator innowacji -  usługi doradcze dla biznesu realizowane w modelu audytu benchmarkowego";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.02.00";"";"Cały kraj";"";"";"9,950,686.19";"9,102,331.56";"9,102,331.56";"7,736,981.82";"Fundacja Obserwatorium Zarządzania";"7010000181";"02-952";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"fundacja";"00 Nie dotyczy";"POIG.05.02.00-00-014/10-02-K01";"Nie";"2010/12/02";"2010/12/28"
"POIG.05.02.00-00-016/10-00";"Nowe usługi proinnowacyjne narzędziem stymulowania innowacji w MSP.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.02.00";"";"Cały kraj";"";"";"10,540,392.00";"9,996,200.00";"9,996,200.00";"8,496,770.00";"Sekwencja Spółka z ograniczoną odpowiedzialnością";"7342823116";"05-820";"Piastów";"Mazowieckie";"Powiat pruszkowski";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"spółka z ograniczoną odpowiedzialnością - mikro przedsiębiorstwo";"00 Nie dotyczy";"POIG.05.02.00-00-016/10-01";"Nie";"2010/09/27";"2010/09/27"
"POIG.05.02.00-00-017/09-03";"Centrum Promocji i Wsparcia Innowacyjności Organizacyjnej Przedsiębiorstw - stymulowanie relacji kooperacyjnych i współpracy pomiędzy firmami";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.02.00";"";"Cały kraj";"";"";"2,014,800.00";"2,014,800.00";"2,014,800.00";"1,712,580.00";"WIELKOPOLSKA IZBA PRZEMYSŁOWO-HANDLOWA";"7770006278";"60-734";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"organizacja pracodawców";"00 Nie dotyczy";"POIG.05.02.00-00-017/09-05-K01";"Nie";"2010/11/30";"2010/12/30"
"POIG.05.02.00-00-023/09-01";"Opracowanie, wdrożenie i świadczenie usług budowania scenariuszy technologicznych dla podniesienia innowacyjności przedsiębiorstw z sektora MŚP";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.02.00";"";"Cały kraj";"";"";"1,827,951.66";"1,794,750.00";"1,794,750.00";"1,525,537.50";"Izba Przemysłowo-Handlowa w Krakowie";"6760016748";"31-019";"Kraków";"Małopolskie";"Powiat m. Kraków";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"stowarzyszenie";"00 Nie dotyczy";"POIG.05.02.00-00-023/09-04";"Nie";"2010/06/24";"2010/06/30"
"POIG.05.02.00-00-026/09-02";"Nowa usługa PIKE - doradztwo dla operatorów telewizyjnych w sprawie dostępu do cyfrowej telewizji naziemnej oraz cyfryzacji sieci telewizji kablowych.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.02.00";"";"Cały kraj";"";"";"1,309,710.00";"1,165,500.00";"1,165,500.00";"990,675.00";"Polska Izba Komunikacji Elektronicznej";"9730612134";"00-450";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"organizacja społeczna oddzielnie nie wymieniona";"00 Nie dotyczy";"POIG.05.02.00-00-026/09-05";"Tak";"2010/09/06";"2010/09/17"
"POIG.05.02.00-00-028/09-01";"Wykorzystanie modeli scoringowych, w celu zwiększenia efektywności zarządzania ryzykiem w przedsiębiorstwach, w oparciu o doświadczenia z bankowości.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.02.00";"";"Cały kraj";"";"";"4,670,333.04";"4,154,448.00";"4,154,448.00";"3,531,280.80";"Krajowa Izba Gospodarcza Elektroniki i Telekomunikacji";"5260029121";"00-739";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"organizacja pracodawców";"00 Nie dotyczy";"POIG.05.02.00-00-028/09-05";"Nie";"2010/06/21";"2010/09/14"
"POIG.05.02.00-00-030/10-00";"Budowa i wdrożenie proinnowacyjnych usług optymalizacji dla MŚP opartych na zintegrowanym systemie eksperckim ";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.02.00";"";"Cały kraj";"";"";"6,822,900.00";"6,822,900.00";"6,822,900.00";"5,799,465.00";"Wielkopolski Instytut Jakości Sp. z o.o.";"7781066806";"61-626";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"spółka z ograniczoną odpowiedzialnością - małe przedsiębiorstwo";"00 Nie dotyczy";"POIG.05.02.00-00-030/10-01";"Nie";"2010/12/22";"2010/12/28"
"POIG.05.04.01-06-001/10-00";"Sposób wytwarzania brykietów z rozdrobnionej słomy i urządzenie do wytwarzania brykietów P-388314 w trybie PCT";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.04.00";"POIG.05.04.01";"Cały kraj";"";"";"305,572.78";"305,572.78";"213,900.95";"181,815.80";"POL-LUX - Adam Piotr Junczyk";"5371896938";"21-500";"Biała Podlaska";"Lubelskie";"Powiat bialski / Powiat m. Biała Podlaska";"09 Inne działania mające na celu pobudzanie badań, innowacji i przedsiębiorczości w MŚP";"osoba fizyczna prowadząca działalność gospodarczą - mikro przedsiębiorstwo";"00 Nie dotyczy";"";"";"2010/11/08";"2010/11/16"
"POIG.05.04.01-14-006/09-00";"Opracowanie i zgłoszenie ochrony wzoru przemysłowego zabawki";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.04.00";"POIG.05.04.01";"Cały kraj";"";"";"121,760.00";"111,200.00";"77,840.00";"66,164.00";"DREWIK Piotr Warchoł";"5251086361";"04-885";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"09 Inne działania mające na celu pobudzanie badań, innowacji i przedsiębiorczości w MŚP";"osoba fizyczna prowadząca działalność gospodarczą - mikro przedsiębiorstwo";"00 Nie dotyczy";"POIG.05.04.01-14-006/09-01";"Nie";"2010/04/15";"2010/04/15"
"POIG.05.04.02-00-001/08-07";"Strategie zarządzania międzynarodowego oparte na własności intelektualnej. Promocja korzyści z ochrony własności intelektualnej w polskich przedsiębiorstwach";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.04.00";"POIG.05.04.02";"Cały kraj";"";"";"2,161,954.00";"1,991,300.00";"1,991,300.00";"1,692,605.00";"Krajowa Izba Gospodarcza";"5260001708";"00-074";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"09 Inne działania mające na celu pobudzanie badań, innowacji i przedsiębiorczości w MŚP";"organizacja pracodawców";"00 Nie dotyczy";"POIG.05.04.02-00-001/08-07";"Tak";"2010/06/22";"2010/06/30"
"POIG.05.04.02-00-005/09-02";"Zarządzanie własnością intelektualną";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.04.00";"POIG.05.04.02";"Cały kraj";"";"";"2,086,710.80";"1,919,732.00";"1,919,732.00";"1,631,772.20";"Krajowa Izba Gospodarcza";"5260001708";"00-074";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"09 Inne działania mające na celu pobudzanie badań, innowacji i przedsiębiorczości w MŚP";"organizacja pracodawców";"00 Nie dotyczy";"POIG.05.04.02-00-005/09-06";"Tak";"2010/05/27";"2010/05/31"
"POIG.05.04.02-00-012/09-04";"IP HERMES. Ochrona własności przemysłowej w innowacyjnych firmach.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.04.00";"POIG.05.04.02";"Cały kraj";"";"";"1,833,188.00";"1,709,750.00";"1,709,750.00";"1,453,287.50";"Krajowa Izba Gospodarcza";"5260001708";"00-074";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"09 Inne działania mające na celu pobudzanie badań, innowacji i przedsiębiorczości w MŚP";"organizacja pracodawców";"00 Nie dotyczy";"POIG.05.04.02-00-012/09-07";"Nie";"2010/11/15";"2010/11/17"
"POIG.05.04.02-00-018/09-01";"Rozwój biznesu dzięki własności intelektualnej. Program promocyjno-informacyjny.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.04.00";"POIG.05.04.02";"Cały kraj";"";"";"754,898.00";"754,898.00";"754,898.00";"641,663.30";"INVESTIN Spółka z ograniczoną odpowiedzialnością";"5252245152";"00-656";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"09 Inne działania mające na celu pobudzanie badań, innowacji i przedsiębiorczości w MŚP";"spółka z ograniczoną odpowiedzialnością - mikro przedsiębiorstwo";"00 Nie dotyczy";"POIG.05.04.02-00-018/09-04";"Nie";"2010/07/26";"2010/07/30"
"POIG.05.04.02-00-019/09-01";"Metody ochrony własności intelektualnej. Działania popularyzatorskie.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.04.00";"POIG.05.04.02";"Cały kraj";"";"";"633,318.00";"633,318.00";"633,318.00";"538,320.30";"INVESTIN Spółka z ograniczoną odpowiedzialnością";"5252245152";"00-656";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"09 Inne działania mające na celu pobudzanie badań, innowacji i przedsiębiorczości w MŚP";"spółka z ograniczoną odpowiedzialnością - mikro przedsiębiorstwo";"00 Nie dotyczy";"POIG.05.04.02-00-019/09-04";"Nie";"2010/07/26";"2010/07/30"
"POIG.05.04.02-00-026/08-03";"Własność intelektualna jako narzędzie zwiększania innowacyjności i konkurencyjności przedsiębiorstw.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.05.00.00";"POIG.05.04.00";"POIG.05.04.02";"Cały kraj";"";"";"452,000.00";"452,000.00";"452,000.00";"384,200.00";"Uniwersytet Jagielloński, Instytut Prawa Własności Intelektualnej";"6750002236";"31-007";"Kraków";"Małopolskie";"Powiat m. Kraków";"09 Inne działania mające na celu pobudzanie badań, innowacji i przedsiębiorczości w MŚP";"uczelnia wyższa";"00 Nie dotyczy";"POIG.05.04.02-00-026/08-08";"Tak";"2010/09/16";"2010/09/23"
"POIG.06.01.00-04-042/10-00";"Eksport innowacyjnych pojemników oxybiodegradowalnych kierunkiem rozwoju firmy CHEKO";"Program Operacyjny Innowacyjna Gospodarka";"POIG.06.00.00";"POIG.06.01.00";"";"Cały kraj";"";"";"12,500.00";"12,500.00";"10,000.00";"8,500.00";"Zakłady Wytwórcze ""CHEKO"" Sp. z o.o.";"8880401065";"87-800";"Włocławek";"Kujawsko-pomorskie";"Powiat m. Włocławek";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"POIG.06.01.00-04-042/10-01";"Tak";"2010/11/05";"2010/11/29"
"POIG.06.01.00-28-013/10-00";"Przygotowanie Planu Rozwoju Eksportu dla AVARTE";"Program Operacyjny Innowacyjna Gospodarka";"POIG.06.00.00";"POIG.06.01.00";"";"Cały kraj";"";"";"12,500.00";"12,500.00";"10,000.00";"8,500.00";"AVARTE Spółka z o.o.";"8431594853";"82-300";"Elbląg";"Warmińsko-mazurskie";"Powiat elbląski / Powiat m. Elbląg";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"spółka z ograniczoną odpowiedzialnością - mikro przedsiębiorstwo";"00 Nie dotyczy";"";"";"2010/12/31";"2011/01/20"
"POIG.06.02.01-00-001/09-01";"Sieć Centrów Obsługi Inwestorów i Eksporterów (COIE)";"Program Operacyjny Innowacyjna Gospodarka";"POIG.06.00.00";"POIG.06.02.00";"POIG.06.02.01";"Cały kraj";"";"";"77,818,573.00";"77,818,573.00";"77,818,573.00";"66,145,787.05";"Minister Gospodarki, Departament Instrumentów Wsparcia";"5262897181";"00-507";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"05 Usługi w zakresie zaawansowanego wsparcia dla przedsiębiorstw i grup przedsiębiorstw";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.06.02.01-00-001/09-09";"Nie";"2010/09/23";"2010/10/19"
"POIG.06.04.00-00-007/10-00";"Turystyka w siodle - infrastruktura innowacyjnego i unikatowego produktu turystycznego";"Program Operacyjny Innowacyjna Gospodarka";"POIG.06.00.00";"POIG.06.04.00";"";"Cały kraj";"";"";"33,321,467.00";"31,574,958.00";"16,184,656.00";"13,756,957.60";"Wojwództwo Łódzkie";"7251739344";"90-051";"Łódź ";"Łódzkie";"Powiat m. Łódź";"57 Inne wsparcie na rzecz wzmocnienia usług turystycznych";"wspólnota samorządowa - województwo";"00 Nie dotyczy";"";"";"2010/08/26";"2010/09/01"
"POIG.06.04.00-00-008/10-00";"Wschodnioeuropejskie Centrum Kongresowo - Sportowe Arłamów";"Program Operacyjny Innowacyjna Gospodarka";"POIG.06.00.00";"POIG.06.04.00";"";"Cały kraj";"";"";"67,009,316.00";"54,925,669.00";"8,610,000.00";"7,318,500.00";"Ośrodek Wypoczynkowy ARŁAMÓW S.A.";"6891093258";"38-712";"Wojtkowa";"Podkarpackie";"Powiat bieszczadzki";"57 Inne wsparcie na rzecz wzmocnienia usług turystycznych";"spółka akcyjna - średnie przedsiębiorstwo";"00 Nie dotyczy";"POIG.06.04.00-00-008/10-02";"Nie";"2010/08/26";"2010/08/27"
"POIG.06.04.00-00-011/10-00";"Toruń - Hanza nad Wisłą";"Program Operacyjny Innowacyjna Gospodarka";"POIG.06.00.00";"POIG.06.04.00";"";"Cały kraj";"";"";"23,933,790.00";"19,676,286.88";"12,520,000.00";"10,642,000.00";"Gmina Miasta Toruń";"8790001014";"87-100";"Toruń";"Kujawsko-pomorskie";"Powiat m. Toruń / Powiat toruński";"57 Inne wsparcie na rzecz wzmocnienia usług turystycznych";"gminna samorządowa jednostka organizacyjna";"00 Nie dotyczy";"POIG.06.04.00-00-011/10-01";"Nie";"2010/09/30";"2010/10/08"
